dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_2,pilot,4,1634,3,1634.0,,,0.8766697256193191,12996480.193617305,0.03184318542480469,11036314.40478011,0.8948014642809685,11360146.738050794,0.9035006330686313,16
auction,outer_2,pilot,4,1634,3,817.0,,,0.8766697255192474,12996480.203734735,0.03061842918395996,11036314.40478011,0.8948014642809685,11360146.738050794,0.9035006330686313,16
auction,outer_2,pilot,4,1634,3,408.0,,,0.8751736902703139,13158638.33848908,0.0296781063079834,11036314.422198927,0.8948014641149318,11360146.738050794,0.9035006330686313,15
auction,outer_2,pilot,4,1634,3,204.0,,,0.8741236523202817,13263652.523219695,0.029642105102539062,11052710.992566096,0.8946451714315072,11328849.166959506,0.9037664919405667,15
auction,outer_2,pilot,4,1634,3,102.0,,,0.8747275867571037,13195211.94943349,0.02661418914794922,11283065.307167945,0.8924494260310155,11534495.239554603,0.9020196205070421,13
auction,outer_2,pilot,4,1634,3,64.0,,,0.8747752487188354,13188459.808133336,0.026603221893310547,11322431.129478602,0.8920741896330145,13712964.676690346,0.8835144967256037,13
auction,outer_2,pilot,4,1634,3,32.0,,,0.8790802567015,12734254.277707262,0.026476383209228516,11701976.376870189,0.8884563510321661,13319346.03748114,0.8868581110619262,13
auction,outer_2,pilot,4,1634,3,24.0,,,0.8800184427970391,12640387.24970024,0.0266265869140625,10326705.579382412,0.901565480475796,10421520.286941942,0.911473845070696,13
auction,outer_2,pilot,4,1634,3,20.0,,,0.8635926414201308,14474433.408210034,0.02677750587463379,10326705.579382412,0.901565480475796,10421520.286941942,0.911473845070696,13
auction,outer_2,pilot,4,1634,3,16.0,,,0.8570107492237383,15174478.427914523,0.024775266647338867,10327562.424093047,0.9015573130019825,10422174.17907671,0.9114682905493943,12
auction,outer_2,pilot,4,1634,3,14.0,,,0.8569607632846217,15179771.53633488,0.022472620010375977,12178181.725671763,0.8839171449568302,11629044.014758427,0.9012164709384942,10
auction,outer_2,pilot,4,1634,3,12.0,,,0.8567241682211502,15204031.045115015,0.016617536544799805,15013755.488513662,0.8568883564651693,14080622.884360543,0.8803914046471836,8
auction,outer_2,pilot,4,1634,3,10.0,,,0.731562993715371,28189407.603782613,0.015099525451660156,15044595.873253461,0.8565943848369023,14127867.01150252,0.8799900869119861,7
auction,outer_2,pilot,4,1634,3,8.0,,,0.4273721417636984,59711519.09189702,0.013252973556518555,15119153.57903604,0.8558836981722038,14376727.28659377,0.8778761301511782,5
auction,outer_2,pilot,4,1634,3,6.0,,,0.3273615008649126,70335041.41451769,0.009232282638549805,58998325.840816446,0.43762589024829013,63978090.99706583,0.45653472432578135,4
auction,outer_2,pilot,4,1634,3,4.0,,,0.3201023724429916,71089693.74844716,0.0070514678955078125,69854400.0125776,0.3341454107476498,74547599.74811545,0.3667514735658659,3
auction,outer_2,pilot,4,1634,3,2.0,,,-0.001673590922470621,105016463.75392498,0.001981973648071289,104909391.84036124,0.0,118481815.76105408,-0.006450046593549308,1
