dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_3,pilot,4,615,3,615.0,,,0.9468585297561409,5.281198266510423,0.027799367904663086,3.4723561207718605,0.9651729349682487,3.58783544578362,0.9672382939032802,15
energe_h,outer_3,pilot,4,615,3,307.0,,,0.9468585297561409,5.281198266510423,0.027106046676635742,3.4723561207718614,0.9651729349682487,3.58783544578362,0.9672382939032802,15
energe_h,outer_3,pilot,4,615,3,153.0,,,0.9468373191180691,5.283286404511653,0.027393341064453125,3.4723561207718605,0.9651729349682487,3.58783544578362,0.9672382939032802,15
energe_h,outer_3,pilot,4,615,3,76.0,,,0.9468517112126555,5.281819915716014,0.02554035186767578,3.4775197747032967,0.9651211445109866,3.5892113053775367,0.967225730476577,15
energe_h,outer_3,pilot,4,615,3,64.0,,,0.9468811402376222,5.2789388458108695,0.025540590286254883,3.477519774703297,0.9651211445109866,3.5892113053775367,0.967225730476577,15
energe_h,outer_3,pilot,4,615,3,32.0,,,0.9457814159293839,5.387146571831143,0.023845911026000977,3.7620320982013205,0.9622675405463685,3.7060167580659855,0.9661591414511604,14
energe_h,outer_3,pilot,4,615,3,24.0,,,0.935794388710979,6.382327426866872,0.02213001251220703,3.837733943303561,0.9615082655783929,4.264915804787759,0.9610556503398404,13
energe_h,outer_3,pilot,4,615,3,20.0,,,0.9268813598145643,7.26134782680121,0.020582199096679688,5.468178943882656,0.9451552153465406,5.301145972810889,0.9515934916855955,12
energe_h,outer_3,pilot,4,615,3,16.0,,,0.9174145497133083,8.20162040393553,0.016101360321044922,6.025318551304017,0.9395672120817387,6.048995459142893,0.944764631932681,9
energe_h,outer_3,pilot,4,615,3,14.0,,,0.9128014564184767,8.663620815597442,0.016032695770263672,6.374826455236201,0.9360617149276473,6.2739216418219,0.9427107569426653,9
energe_h,outer_3,pilot,4,615,3,12.0,,,0.9128014564184767,8.663620815597442,0.015113353729248047,6.391393084679179,0.9358955548159249,6.2318075292746595,0.9430953147627343,9
energe_h,outer_3,pilot,4,615,3,10.0,,,0.9026044494962234,9.676482650392092,0.011976957321166992,7.986319385064662,0.9198987503257137,7.994809125355557,0.926996767041788,7
energe_h,outer_3,pilot,4,615,3,8.0,,,0.8742683188039431,12.486513495021038,0.010416269302368164,8.57575723085449,0.9139868019328932,9.050087579067506,0.9173606722227401,6
energe_h,outer_3,pilot,4,615,3,6.0,,,0.8348407942147578,16.430743831241106,0.0072023868560791016,10.6568661970694,0.8931136786748973,11.963485814546637,0.8907574742289084,4
energe_h,outer_3,pilot,4,615,3,4.0,,,0.8332196304007929,16.583613118816324,0.004666328430175781,15.579741192359897,0.8437381879011995,17.53379053559449,0.8398931888128636,2
energe_h,outer_3,pilot,4,615,3,2.0,,,-0.005009145828079949,99.97676557763236,0.006138324737548828,21.181643790699006,0.787552180674923,19.548028059846647,0.8215005231581207,1
