dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_3,pilot,4,504,3,504.0,,,0.8717534109914716,0.004972741154318206,0.09478330612182617,0.0024486213619461794,0.936868536632302,0.008667578667822948,0.8321013450253094,13
optical_net,outer_3,pilot,4,504,3,252.0,,,0.8706390438398275,0.005014254715711704,0.09274077415466309,0.0024625881030683225,0.9365084397960897,0.008667578667822948,0.8321013450253094,12
optical_net,outer_3,pilot,4,504,3,126.0,,,0.8726877455214103,0.004926375554914391,0.0912785530090332,0.0024625881030683225,0.9365084397960897,0.008667578667822948,0.8321013450253094,12
optical_net,outer_3,pilot,4,504,3,64.0,,,0.8730089629299229,0.004923658767851434,0.08294153213500977,0.002933543805436919,0.9243660468830995,0.008928578490641985,0.8270455479129475,11
optical_net,outer_3,pilot,4,504,3,32.0,,,0.8599128117883762,0.005403131137375922,0.07398605346679688,0.003029563372289735,0.921890426984671,0.009538991052235274,0.815221317409954,11
optical_net,outer_3,pilot,4,504,3,24.0,,,0.8475363865379687,0.005887855690439369,0.0782308578491211,0.003057599256030729,0.9211675931505462,0.008151741038591346,0.8420935755492549,10
optical_net,outer_3,pilot,4,504,3,20.0,,,0.8433056622251153,0.006049812552905467,0.06961441040039062,0.00348705389222291,0.9100951994949972,0.008025239982255078,0.8445440127504291,9
optical_net,outer_3,pilot,4,504,3,16.0,,,0.8422351251400776,0.006092053912952738,0.0666041374206543,0.0038817406672415383,0.8999192065603447,0.007854800650784617,0.8478455731521719,9
optical_net,outer_3,pilot,4,504,3,14.0,,,0.8346804334237977,0.006375296733420992,0.061722517013549805,0.004749713288922396,0.8775407438786921,0.009255828935207377,0.8207064177373689,8
optical_net,outer_3,pilot,4,504,3,12.0,,,0.83188365406157,0.006496515371289902,0.05391669273376465,0.005157565444353414,0.8670253151520697,0.008856006055932205,0.8284513400774012,7
optical_net,outer_3,pilot,4,504,3,10.0,,,0.7945887471277963,0.007964669946829957,0.046878814697265625,0.005885190466808042,0.8482653577473019,0.008193215935630316,0.8412901701583229,6
optical_net,outer_3,pilot,4,504,3,8.0,,,0.7811812835057305,0.008466600970417409,0.04481172561645508,0.005904727314084425,0.8477616499150837,0.008254157002574522,0.8401096878616188,6
optical_net,outer_3,pilot,4,504,3,6.0,,,0.6884513901336128,0.012027279414006886,0.03264212608337402,0.008245706449457721,0.7874054671151833,0.011681844043244672,0.7737123621656703,4
optical_net,outer_3,pilot,4,504,3,4.0,,,0.5301265714526785,0.01815494607387353,0.019603252410888672,0.011693566110421686,0.6985111900064898,0.01519183251597949,0.7057207850327608,3
optical_net,outer_3,pilot,4,504,3,2.0,,,-0.0026052208196668905,0.03884142099010352,0.005022525787353516,0.03878607007229686,0.0,0.0526402034571886,-0.019687238705609067,1
