dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_1,pilot,4,133,3,133.0,,,0.5754141768365818,1.0629869041196571,0.002284526824951172,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,66.0,,,0.5754141768365818,1.0629869041196571,0.0019545555114746094,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,32.0,,,0.5754141768365818,1.0629869041196571,0.001989603042602539,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,24.0,,,0.5754141768365818,1.0629869041196571,0.0019032955169677734,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,20.0,,,0.5754141768365818,1.0629869041196571,0.0019583702087402344,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,16.0,,,0.5754141768365818,1.0629869041196571,0.0018804073333740234,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,14.0,,,0.5754141768365818,1.0629869041196571,0.001954793930053711,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,12.0,,,0.5753643764554721,1.0631601818362861,0.0018117427825927734,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,10.0,,,0.575364376455472,1.0631601818362866,0.0019366741180419922,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,8.0,,,0.575364376455472,1.0631601818362866,0.0019297599792480469,0.9987517683633194,0.6171986859976899,0.9112726979274391,0.43744395421668203,3
servo,outer_1,pilot,4,133,3,6.0,,,0.5752612650386687,1.0635189524011675,0.0018281936645507812,0.9989033593349419,0.6171405842501224,0.9127513901273341,0.4365311130454327,3
servo,outer_1,pilot,4,133,3,4.0,,,0.09017107549945462,2.338240920928472,0.0019252300262451172,0.9989948366454038,0.6171055228507283,0.9125555519324805,0.4366520098535569,3
servo,outer_1,pilot,4,133,3,2.0,,,-0.02422272368258353,2.6411460853475046,0.00089263916015625,2.3016818756733186,0.11781197857911352,1.3080298847918028,0.1925138090623697,1
