dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_1,pilot,4,445,3,445.0,,,0.9999578832246255,1.3330007860209116e-06,0.008955717086791992,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,222.0,,,0.9999578832246255,1.3330007860209116e-06,0.008649349212646484,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,111.0,,,0.9999578832246255,1.3330007860209116e-06,0.00859379768371582,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,64.0,,,0.9999578832246255,1.3330007860209116e-06,0.008544445037841797,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,32.0,,,0.9999578832246255,1.3330007860209116e-06,0.008392095565795898,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,24.0,,,0.9999578832246255,1.3330007860209116e-06,0.008202075958251953,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,20.0,,,0.9999578832246255,1.3330007860209116e-06,0.008275270462036133,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,16.0,,,0.9999578832246255,1.3330007860209116e-06,0.008197546005249023,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,14.0,,,0.9999578832246255,1.3330007860209116e-06,0.008043050765991211,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,12.0,,,0.9999578832246255,1.3330007860209116e-06,0.007863998413085938,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,10.0,,,0.9999578832246255,1.3330007860209116e-06,0.007881402969360352,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,8.0,,,0.9999578832246255,1.3330007860209116e-06,0.007546186447143555,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,6.0,,,0.9999578832246255,1.3330007860209116e-06,0.0071527957916259766,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,4.0,,,0.9999578832246255,1.3330007860209116e-06,0.0064601898193359375,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
synch,outer_1,pilot,4,445,3,2.0,,,-0.002316795724328191,0.031817055780321714,0.004012346267700195,1.2741433160170838e-32,1.0,1.4967226996380803e-32,1.0,1
