dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_3,streed,5,0.1,3,20,20,0.33428878849391025,31.61135435141593,0.7843618392944336,30.471830313087114,0.3608652101668455,33.086002295622194,0.2972569374182401,3
airfoil,outer_3,streed,5,0.08,3,20,20,0.33428878849391025,31.61135435141593,2.545609951019287,30.471830313087114,0.3608652101668455,33.086002295622194,0.2972569374182401,3
airfoil,outer_3,streed,5,0.05,3,20,20,0.3723317721395986,29.796329408754286,15.051110029220581,30.471830313087114,0.3608652101668455,33.086002295622194,0.2972569374182401,3
airfoil,outer_3,streed,5,0.03,3,20,20,0.4766474994853455,24.785126360924085,22.834287643432617,22.459630940269435,0.5289179759387733,23.92163508996048,0.4919070924653097,7
airfoil,outer_3,streed,5,0.01,3,20,20,0.6449059776333986,16.822596883483698,27.363259077072144,14.057744532024719,0.7051442757232411,18.189406249196985,0.6136590047992647,17
airfoil,outer_3,streed,5,0.008,3,20,20,0.6634282286576453,15.952408506361886,27.622970581054688,14.057744532024719,0.7051442757232411,18.189406249196985,0.6136590047992647,17
airfoil,outer_3,streed,5,0.005,3,20,20,0.6721089400796959,15.513287827566066,27.78086829185486,11.860073985197355,0.7512395607335993,15.950246933588975,0.6612185032542067,25
airfoil,outer_3,streed,5,0.003,3,20,20,0.6803469983884164,15.136776339147012,27.024439573287964,10.622646260958703,0.7771941259940037,12.353713564850963,0.7376084778314274,31
airfoil,outer_3,streed,5,0.001,3,20,20,0.7004594258486095,14.200823862776716,26.329238176345825,10.5266157210335,0.7792083292211167,13.61761391927522,0.7107633728250786,32
airfoil,outer_3,streed,5,0.0005,3,20,20,0.7004594258486095,14.200823862776716,26.00157880783081,10.5266157210335,0.7792083292211167,13.61761391927522,0.7107633728250786,32
airfoil,outer_3,streed,5,0.0001,3,20,20,0.7004594258486095,14.200823862776716,25.72901749610901,10.5266157210335,0.7792083292211167,13.61761391927522,0.7107633728250786,32
