dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_1,streed,5,0.1,3,20,20,0.7331103245011222,29688834.587448046,0.005345344543457031,29671100.466292765,0.7328981431596346,27902834.655953117,0.7009427516727553,3
auction,outer_1,streed,5,0.08,3,20,20,0.7331103245011222,29688834.587448046,0.005833625793457031,29671100.466292765,0.7328981431596346,27902834.655953117,0.7009427516727553,3
auction,outer_1,streed,5,0.05,3,20,20,0.8620763229403021,15412240.199373225,0.015297651290893555,15233330.31137462,0.8628682203191919,17684577.77621156,0.8104600757308857,4
auction,outer_1,streed,5,0.03,3,20,20,0.8620763229403021,15412240.199373225,0.016671180725097656,15233330.31137462,0.8628682203191919,17684577.77621156,0.8104600757308857,4
auction,outer_1,streed,5,0.01,3,20,20,0.8777795200935916,13698469.204661861,0.8783886432647705,10867092.009559318,0.9021734816507445,15360977.646138333,0.8353639777781378,7
auction,outer_1,streed,5,0.008,3,20,20,0.9065603284638583,10412255.427068202,1.1117713451385498,9818987.953726254,0.9116086065728202,14660759.620864008,0.8428687807291526,8
auction,outer_1,streed,5,0.005,3,20,20,0.9223960322893886,8695076.479056077,1.340395212173462,6383429.107941189,0.9425358095606569,12441229.853090452,0.8666572765259104,12
auction,outer_1,streed,5,0.003,3,20,20,0.9297952056750018,7903600.685954448,1.6540727615356445,6383429.107941189,0.9425358095606569,12441229.853090452,0.8666572765259104,12
auction,outer_1,streed,5,0.001,3,20,20,0.9323173305569696,7621902.1454594685,1.9880781173706055,6015192.146608996,0.9458507110838013,12329862.747650875,0.8678508878746349,14
auction,outer_1,streed,5,0.0005,3,20,20,0.9343943281969468,7386548.232764174,2.036756992340088,5627181.944991017,0.9493436130556342,11499959.959739229,0.8767456273228729,20
auction,outer_1,streed,5,0.0001,3,20,20,0.9358274459279633,7226357.37280267,2.0434858798980713,5588195.286861991,0.9496945743821308,11465227.16009187,0.8771178868304574,21
