dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_3,streed,5,0.1,3,20,20,0.7979623551074889,18.106359829138274,0.0030128955841064453,18.083753053429636,0.7984891640699721,16.9597630870824,0.8169715110373417,2
energe_c,outer_3,streed,5,0.08,3,20,20,0.7979623551074889,18.106359829138274,0.002990245819091797,18.083753053429636,0.7984891640699721,16.9597630870824,0.8169715110373417,2
energe_c,outer_3,streed,5,0.05,3,20,20,0.8702721257248566,11.60243641070339,0.003192901611328125,11.502324686360206,0.8718273216937423,9.237759376559293,0.9003067948879502,3
energe_c,outer_3,streed,5,0.03,3,20,20,0.8702721257248566,11.60243641070339,0.0036034584045410156,11.502324686360206,0.8718273216937423,9.237759376559293,0.9003067948879502,3
energe_c,outer_3,streed,5,0.01,3,20,20,0.9069705266572955,8.305951004469541,0.21093273162841797,8.704329864454236,0.9030059312348204,8.259786725648866,0.9108610022565234,5
energe_c,outer_3,streed,5,0.008,3,20,20,0.9241483552899297,6.78391072662842,0.3287954330444336,6.9244636361569905,0.9228393325452736,6.757380209318773,0.9270748604973259,7
energe_c,outer_3,streed,5,0.005,3,20,20,0.9401249676220741,5.366122488242968,0.5380637645721436,5.142479458483744,0.9426963345844005,4.570650750267314,0.9506738805193191,10
energe_c,outer_3,streed,5,0.003,3,20,20,0.9440977703006822,5.003068502736142,0.68119215965271,4.365522777484479,0.9513541165064938,4.915003240085808,0.9469576543221494,12
energe_c,outer_3,streed,5,0.001,3,20,20,0.9534475275296632,4.1696697096396225,0.7646839618682861,2.6577005432289615,0.9703847173462598,3.3187761458127545,0.9641840171908957,24
energe_c,outer_3,streed,5,0.0005,3,20,20,0.961123390765709,3.4782911976877755,0.7453396320343018,2.1243501967016885,0.976327945715655,3.0648822107792615,0.9669240214614364,31
energe_c,outer_3,streed,5,0.0001,3,20,20,0.9635161292138298,3.2661325878534426,0.7305126190185547,2.091937024244764,0.9766891321053187,3.0471614837133068,0.967115262216484,32
