dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_1,streed,5,0.1,3,20,20,0.7437047242796834,35332306.88197327,0.005839824676513672,34720422.830643624,0.7490287182933824,34665940.41941294,0.8062455317142107,3
insurance,outer_1,streed,5,0.08,3,20,20,0.7437047242796834,35332306.88197327,0.006128549575805664,34720422.830643624,0.7490287182933824,34665940.41941294,0.8062455317142107,3
insurance,outer_1,streed,5,0.05,3,20,20,0.8075926201601699,26524999.27818643,0.0064716339111328125,25384117.965023417,0.816514774265616,25838109.658719722,0.855585940036069,4
insurance,outer_1,streed,5,0.03,3,20,20,0.8075926201601699,26524999.27818643,0.025920391082763672,25384117.965023417,0.816514774265616,25838109.658719722,0.855585940036069,4
insurance,outer_1,streed,5,0.01,3,20,20,0.8100936506629451,26183359.081221346,8.19463062286377,23944916.41319023,0.8269178232106,26376521.306859534,0.8525766559565929,5
insurance,outer_1,streed,5,0.008,3,20,20,0.8182059936432978,25091101.976422425,9.222032308578491,22823464.89002497,0.835024064528958,24734574.286741212,0.8617538070157434,6
insurance,outer_1,streed,5,0.005,3,20,20,0.8327970760956668,23006180.381056752,11.322895050048828,21739770.702787302,0.8428573827024052,24122966.247513186,0.865172199507227,7
insurance,outer_1,streed,5,0.003,3,20,20,0.8341242692205695,22842828.431975592,12.705976486206055,21300673.981027223,0.8460313263951658,22927284.11290915,0.8718550920936139,8
insurance,outer_1,streed,5,0.001,3,20,20,0.7609383816025534,33199808.18900382,13.617137670516968,17578147.794826165,0.8729390392618644,23740059.83954106,0.8673123355191817,22
insurance,outer_1,streed,5,0.0005,3,20,20,0.7563758222300652,33847706.91744556,13.653216361999512,16729674.254916552,0.8790721008563024,26913323.048442613,0.8495763699479932,31
insurance,outer_1,streed,5,0.0001,3,20,20,0.7606802313133367,33247572.32549059,13.37299656867981,16715087.545108007,0.8791775386637389,26913263.886852685,0.849576700613259,32
