dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_0,streed,5,0.1,3,20,20,0.47356353117051436,90.073399379558,0.004541873931884766,88.79472845999356,0.4878057329467417,113.09404507365511,0.4898605949100925,2
real_estate,outer_0,streed,5,0.08,3,20,20,0.5210177096076726,82.22284499785235,0.043364524841308594,73.39994883990938,0.5766073769261824,92.10178922042363,0.5845514949083034,3
real_estate,outer_0,streed,5,0.05,3,20,20,0.5566977975993769,75.86102110432604,4.839869022369385,73.39994883990938,0.5766073769261824,92.10178922042363,0.5845514949083034,3
real_estate,outer_0,streed,5,0.03,3,20,20,0.5735158463151047,72.76761603757059,41.32559680938721,58.44319416623561,0.6628823634083956,101.46204237232314,0.5423296964812412,5
real_estate,outer_0,streed,5,0.01,3,20,20,0.5828255673267169,71.04200985629336,93.50125098228455,38.05139658717689,0.78050828553293,114.60537458611704,0.4830433594148016,12
real_estate,outer_0,streed,5,0.008,3,20,20,0.5882145218846527,70.28042700940608,97.81659197807312,34.94155625101944,0.7984467647563727,114.41948483298894,0.48388186234403463,14
real_estate,outer_0,streed,5,0.005,3,20,20,0.49848353393417294,86.44825998997607,96.61085915565491,25.83800905738981,0.8509587185997439,110.19402556040102,0.502941869244891,22
real_estate,outer_0,streed,5,0.003,3,20,20,0.45332292261720647,93.37013154333873,93.05960464477539,21.758894974431364,0.8744882555912205,120.8894989351615,0.45469722098775445,28
real_estate,outer_0,streed,5,0.001,3,20,20,0.5425581923475512,78.59886428845651,89.52949857711792,20.22243090561844,0.883351034961438,115.44603647889642,0.47925134050182594,32
real_estate,outer_0,streed,5,0.0005,3,20,20,0.48514279402943233,87.59728427183057,80.19147205352783,20.22243090561844,0.883351034961438,115.44603647889642,0.47925134050182594,32
real_estate,outer_0,streed,5,0.0001,3,20,20,0.48514279402943233,87.59728427183057,80.90344977378845,20.22243090561844,0.883351034961438,115.44603647889642,0.47925134050182594,32
