dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_4,streed,5,0.1,3,20,20,0.39218719588545436,248003.87104802465,28.91208004951477,244921.8791611115,0.40022862658704617,254478.01755150306,0.42910173842995225,3
seoul_bike,outer_4,streed,5,0.08,3,20,20,0.47208760228809954,215420.50421125547,305.726957321167,210560.11512149812,0.48437465095007937,218857.43424897888,0.5090132737334148,4
seoul_bike,outer_4,streed,5,0.05,3,20,20,0.5137192512414699,197925.86933019586,599.687356710434,187457.94619764414,0.5409478718960258,198716.52274711212,0.5541975748116987,5
seoul_bike,outer_4,streed,5,0.03,3,20,20,0.5704153690873113,175314.3989088328,599.1312291622162,171234.5528035053,0.5806761598331791,173592.9551386545,0.6105600111828606,6
seoul_bike,outer_4,streed,5,0.01,3,20,20,0.5940017828664014,165794.5354882103,599.0990755558014,151100.23681693187,0.6299816216129079,163121.2037974254,0.6340524318399477,10
seoul_bike,outer_4,streed,5,0.008,3,20,20,0.6067785989426866,160536.20318355018,599.0980949401855,147184.42466311468,0.6395707691466697,151976.6896235264,0.6590541346555319,11
seoul_bike,outer_4,streed,5,0.005,3,20,20,0.6316240092373012,150397.45999834355,599.125928401947,140173.18207407315,0.6567400911009351,152268.48188640387,0.6583995252821206,14
seoul_bike,outer_4,streed,5,0.003,3,20,20,0.6514013799565307,142358.30022128663,599.1491258144379,134897.6677137435,0.6696589144587834,148387.5271001969,0.6671060939751478,17
seoul_bike,outer_4,streed,5,0.001,3,20,20,0.6714332285953821,134111.69249592544,599.1528913974762,126086.61086343766,0.691235670632744,143689.575233075,0.6776455212297507,30
seoul_bike,outer_4,streed,5,0.0005,3,20,20,0.6669125547805862,135950.1568515056,599.1855673789978,125479.68449720592,0.6927219284610857,145776.0132318041,0.6729647875545638,32
seoul_bike,outer_4,streed,5,0.0001,3,20,20,0.6673428771927129,135775.98874625264,599.1434762477875,125479.68449720592,0.6927219284610857,145776.0132318041,0.6729647875545638,32
