dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_1,streed,5,0.1,3,20,20,0.8640587240701002,0.004284877604038436,0.0042133331298828125,0.00398783516592482,0.8744739616612995,0.0038030172865094317,0.888558543266488,3
synch,outer_1,streed,5,0.08,3,20,20,0.8640587240701002,0.004284877604038436,0.0040740966796875,0.00398783516592482,0.8744739616612995,0.0038030172865094317,0.888558543266488,3
synch,outer_1,streed,5,0.05,3,20,20,0.8960707684185795,0.0032192260365095766,0.004678010940551758,0.0023708442175181966,0.9253723712839925,0.002973631485429644,0.9128623933158408,4
synch,outer_1,streed,5,0.03,3,20,20,0.9232373909984428,0.0024347233852210137,0.004580020904541016,0.0023708442175181966,0.9253723712839925,0.002973631485429644,0.9128623933158408,4
synch,outer_1,streed,5,0.01,3,20,20,0.9232373909984428,0.0024347233852210137,0.004961490631103516,0.0023708442175181966,0.9253723712839925,0.002973631485429644,0.9128623933158408,4
synch,outer_1,streed,5,0.008,3,20,20,0.9535363266970597,0.0015292841718473691,0.012967586517333984,0.0008422960804860925,0.9734868454456005,0.0009494493725289559,0.9721778753032014,7
synch,outer_1,streed,5,0.005,3,20,20,0.9746933323368497,0.0007987213782950612,0.013040781021118164,0.0006830018393270254,0.9785009882551441,0.0007730291346972035,0.9773475936662984,8
synch,outer_1,streed,5,0.003,3,20,20,0.9746933323368497,0.0007987213782950612,0.01282191276550293,0.0006830018393270254,0.9785009882551441,0.0007730291346972035,0.9773475936662984,8
synch,outer_1,streed,5,0.001,3,20,20,0.9894874299239338,0.00033357202376588214,0.07674694061279297,0.000272143785303626,0.9914336651826632,0.0002682788659746479,0.992138508614966,13
synch,outer_1,streed,5,0.0005,3,20,20,0.9917206931552455,0.00026420723312752767,0.06206560134887695,0.0002061014878313389,0.9935124943266856,0.00020999214111653178,0.99384650966704,16
synch,outer_1,streed,5,0.0001,3,20,20,0.9959646434462514,0.00012789136511754063,0.4148542881011963,8.210210261705553e-05,0.9974156525402909,0.0001420517381301555,0.9958373966153381,29
