dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_2,streed,5,0.1,3,20,20,0.6472022488796566,2.1896285121076353,0.33712100982666016,2.1600102287121943,0.6520263980329899,2.293684457972748,0.6228269054883955,3
temperature_min,outer_2,streed,5,0.08,3,20,20,0.6472022488796566,2.1896285121076353,0.32874035835266113,2.1600102287121943,0.6520263980329899,2.293684457972748,0.6228269054883955,3
temperature_min,outer_2,streed,5,0.05,3,20,20,0.6816321233642282,1.9759440924151768,8.455984592437744,1.8132117812766666,0.7078949783325634,1.9436480954076616,0.6803868272995011,4
temperature_min,outer_2,streed,5,0.03,3,20,20,0.7057115918536948,1.826489016291698,599.6142225265503,1.8132117812766666,0.7078949783325634,1.9436480954076616,0.6803868272995011,4
temperature_min,outer_2,streed,5,0.01,3,20,20,0.7534645314173246,1.530249228428706,599.5353310108185,1.5266932145736691,0.7540525827553485,1.6607739233518215,0.7269026095645161,6
temperature_min,outer_2,streed,5,0.008,3,20,20,0.7555501785191095,1.517003850710088,599.6899087429047,1.4694196325190092,0.7632792495461791,1.581183170508454,0.7399904998539126,7
temperature_min,outer_2,streed,5,0.005,3,20,20,0.772805049295668,1.4094129908826716,599.6750683784485,1.3770833711823887,0.7781544482940236,1.498577374652425,0.7535741833197499,9
temperature_min,outer_2,streed,5,0.003,3,20,20,0.7809842087789955,1.3590580133719123,599.7007670402527,1.2715894880972631,0.7951493152602341,1.4283315396170762,0.7651253968638533,13
temperature_min,outer_2,streed,5,0.001,3,20,20,0.7912545622563214,1.2955287478959516,599.7010498046875,1.2317251628800925,0.8015713833835288,1.357345324193779,0.7767983584370142,16
temperature_min,outer_2,streed,5,0.0005,3,20,20,0.7912545622563214,1.2955287478959516,599.6984379291534,1.2317251628800925,0.8015713833835288,1.357345324193779,0.7767983584370142,16
temperature_min,outer_2,streed,5,0.0001,3,20,20,0.7912545622563214,1.2955287478959516,599.7107627391815,1.2317251628800925,0.8015713833835288,1.357345324193779,0.7767983584370142,16
