dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_3,streed,5,0.1,3,20,20,-0.0010231316477940695,319288984482.0905,0.16442418098449707,319109797681.8414,1.1102230246251565e-16,315912949860.225,-0.0008110453466738665,1
walmart,outer_3,streed,5,0.08,3,20,20,-0.0010231316477940695,319288984482.0905,4.151933193206787,319109797681.8414,1.1102230246251565e-16,315912949860.225,-0.0008110453466738665,1
walmart,outer_3,streed,5,0.05,3,20,20,-0.0010231316477940695,319288984482.0905,84.3570020198822,319109797681.8414,1.1102230246251565e-16,315912949860.225,-0.0008110453466738665,1
walmart,outer_3,streed,5,0.03,3,20,20,-0.0010231316477940695,319288984482.0905,156.80302262306213,319109797681.8414,1.1102230246251565e-16,315912949860.225,-0.0008110453466738665,1
walmart,outer_3,streed,5,0.01,3,20,20,0.09638790119413003,288247125711.67334,208.05056166648865,279853863961.5566,0.12301701171652457,280896768549.9012,0.1101200862727777,8
walmart,outer_3,streed,5,0.008,3,20,20,0.09531238464637577,288608999898.4341,214.7639045715332,279853863961.5566,0.12301701171652457,280896768549.9012,0.1101200862727777,8
walmart,outer_3,streed,5,0.005,3,20,20,0.1414767883066733,273974360483.71423,213.36527371406555,263724205105.41794,0.17356280809542557,268639716925.80215,0.14895038004266015,16
walmart,outer_3,streed,5,0.003,3,20,20,0.1461552459915367,272193378419.43857,214.73636937141418,244891997377.49777,0.23257762952906957,254463414530.38928,0.19386085308841883,30
walmart,outer_3,streed,5,0.001,3,20,20,0.15785737215941986,268382483217.43466,212.2437388896942,243399079243.41852,0.23725601341112057,255674130542.3033,0.1900253092842228,32
walmart,outer_3,streed,5,0.0005,3,20,20,0.15785737215941986,268382483217.43466,212.57614254951477,243399079243.41852,0.23725601341112057,255674130542.3033,0.1900253092842228,32
walmart,outer_3,streed,5,0.0001,3,20,20,0.15785737215941986,268382483217.43466,216.17833137512207,243399079243.41852,0.23725601341112057,255674130542.3033,0.1900253092842228,32
