dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_3,streed,5,0.1,3,20,20,0.890438300259974,24.629246887673446,0.0019795894622802734,20.05490472998649,0.9116822711523151,21.322836210163317,0.9093297264723174,3
yacht,outer_3,streed,5,0.08,3,20,20,0.890438300259974,24.629246887673446,0.002038717269897461,20.05490472998649,0.9116822711523151,21.322836210163317,0.9093297264723174,3
yacht,outer_3,streed,5,0.05,3,20,20,0.890438300259974,24.629246887673446,0.0020818710327148438,20.05490472998649,0.9116822711523151,21.322836210163317,0.9093297264723174,3
yacht,outer_3,streed,5,0.03,3,20,20,0.9524215204116748,10.642260225468965,0.002128124237060547,9.849250352275703,0.9566259010612694,8.959302476104687,0.9619027038373787,4
yacht,outer_3,streed,5,0.01,3,20,20,0.9524215204116748,10.642260225468965,0.0024271011352539062,9.849250352275703,0.9566259010612694,8.959302476104687,0.9619027038373787,4
yacht,outer_3,streed,5,0.008,3,20,20,0.9524215204116748,10.642260225468965,0.002252817153930664,9.849250352275703,0.9566259010612694,8.959302476104687,0.9619027038373787,4
yacht,outer_3,streed,5,0.005,3,20,20,0.9696300580174905,6.7421776724544324,0.005643367767333984,3.6573855554969965,0.9838936165426481,3.1499064333261035,0.9866057744344462,6
yacht,outer_3,streed,5,0.003,3,20,20,0.9831832123641764,3.824399762490323,0.005465269088745117,2.1203640736597222,0.9906623470997672,2.5637052598313304,0.9890984550618801,8
yacht,outer_3,streed,5,0.001,3,20,20,0.9881832919537361,2.647106351754305,0.005431413650512695,2.1203640736597222,0.9906623470997672,2.5637052598313304,0.9890984550618801,8
yacht,outer_3,streed,5,0.0005,3,20,20,0.9856203641747149,3.3533617420578543,0.02742171287536621,1.021620405523682,0.9955009911453035,1.850633933181441,0.992130620745415,13
yacht,outer_3,streed,5,0.0001,3,20,20,0.9723177242814839,6.996727352114882,0.07540392875671387,0.2657981914831659,0.9988294787275396,1.5169628435404692,0.9935494774428935,27
