dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_4,streed,4,20,3,0.1,0.1,0.1,0.581263018614897,5592528986.815807,599.7403845787048,5585439265.788818,0.5819735775536299,5483261475.458951,0.5838518532952088,1
california_housing,outer_4,streed,4,20,3,0.1,0.1,0.001,0.5812638069269709,5592518469.383854,599.6632087230682,5585428726.81634,0.5819743663132513,5483251485.922446,0.5838526114438256,1
california_housing,outer_4,streed,4,20,3,0.1,0.01,0.1,0.6156633371106084,5133565342.022201,599.6560628414154,5124476032.982009,0.6164730684477144,5061284191.686501,0.6158775127278968,1
california_housing,outer_4,streed,4,20,3,0.1,0.01,0.001,0.6156639908140622,5133556644.988948,599.6512463092804,5124467189.351594,0.6164737303242487,5061276256.411435,0.6158781149698339,1
california_housing,outer_4,streed,4,20,3,0.1,0.001,0.1,0.6179624931117448,5102921671.161477,599.6459324359894,5093558675.052102,0.618786990757477,5034232058.525268,0.6179306147238246,1
california_housing,outer_4,streed,4,20,3,0.1,0.001,0.001,0.6179631189529338,5102913339.089439,599.6484770774841,5093550505.011536,0.6187876022210821,5034224820.21706,0.6179311640699683,1
california_housing,outer_4,streed,4,20,3,0.1,0.0001,0.1,0.6181852757174063,5099952791.314317,599.6518287658691,5090561160.034623,0.6190113313006929,5031629349.876767,0.6181281454061264,1
california_housing,outer_4,streed,4,20,3,0.1,0.0001,0.001,0.6181858958577565,5099944535.589222,599.6612133979797,5090553063.72881,0.6190119372458285,5031622187.498843,0.6181286889895962,1
california_housing,outer_4,streed,4,20,3,0.1,1e-05,0.1,0.6182074749732692,5099656960.622677,599.6592381000519,5090262452.481884,0.6190336872236001,5031370205.435322,0.6181478129852704,1
california_housing,outer_4,streed,4,20,3,0.1,1e-05,0.001,0.6182080945383096,5099648712.602013,599.6569797992706,5090254363.617663,0.6190342926117909,5031363050.716935,0.6181483559874252,1
california_housing,outer_4,streed,4,20,3,0.08,0.1,0.1,0.581263018614897,5592528986.815807,599.6581163406372,5585439265.788818,0.5819735775536299,5483261475.458951,0.5838518532952088,1
california_housing,outer_4,streed,4,20,3,0.08,0.1,0.001,0.5812638069269709,5592518469.383854,599.6647050380707,5585428726.81634,0.5819743663132513,5483251485.922446,0.5838526114438256,1
california_housing,outer_4,streed,4,20,3,0.08,0.01,0.1,0.6156633371106084,5133565342.022201,599.6576602458954,5124476032.982009,0.6164730684477144,5061284191.686501,0.6158775127278968,1
california_housing,outer_4,streed,4,20,3,0.08,0.01,0.001,0.6156639908140622,5133556644.988948,599.6621673107147,5124467189.351594,0.6164737303242487,5061276256.411435,0.6158781149698339,1
california_housing,outer_4,streed,4,20,3,0.08,0.001,0.1,0.6179624931117448,5102921671.161477,599.6716318130493,5093558675.052102,0.618786990757477,5034232058.525268,0.6179306147238246,1
california_housing,outer_4,streed,4,20,3,0.08,0.001,0.001,0.6179631189529338,5102913339.089439,599.6697101593018,5093550505.011536,0.6187876022210821,5034224820.21706,0.6179311640699683,1
california_housing,outer_4,streed,4,20,3,0.08,0.0001,0.1,0.6181852757174063,5099952791.314317,599.6693806648254,5090561160.034623,0.6190113313006929,5031629349.876767,0.6181281454061264,1
