dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_3,streed,4,20,3,0.1,0.1,0.1,0.6025757915708227,79.63016141737972,23.815236568450928,81.43103800128084,0.5867752366907866,62.71942614957548,0.5281185588919435,1
real_estate,outer_3,streed,4,20,3,0.1,0.1,0.001,0.6050724336969954,79.17391662607217,22.551260471343994,81.2304306644552,0.5877932259159339,63.01882136899619,0.5258660024469246,1
real_estate,outer_3,streed,4,20,3,0.1,0.01,0.1,0.6019873192417649,79.69729978777129,21.95647644996643,81.44350435231087,0.5867119757391868,64.61629086379149,0.5138471391758794,1
real_estate,outer_3,streed,4,20,3,0.1,0.01,0.001,0.606179158321532,78.86422186382724,20.997916221618652,82.2425897143356,0.5826569880134829,66.25614597641118,0.5015093797087253,1
real_estate,outer_3,streed,4,20,3,0.1,0.001,0.1,0.6112322779717924,77.98271818477794,21.754924297332764,82.0985640866345,0.5833878512982701,65.91917031197518,0.5040446797252336,1
real_estate,outer_3,streed,4,20,3,0.1,0.001,0.001,0.6693128868946774,66.04198107356474,20.607022762298584,60.612602048448466,0.692419146927346,55.13213141692292,0.5852030029367156,2
real_estate,outer_3,streed,4,20,3,0.1,0.0001,0.1,0.6115783693194761,77.91749734674501,21.95975971221924,61.19845384488717,0.6894462206837453,54.21599661028415,0.5920957160775369,2
real_estate,outer_3,streed,4,20,3,0.1,0.0001,0.001,0.6689512381797423,66.08777309223144,20.625904321670532,60.56163705580184,0.6926777706357056,55.477293171883524,0.5826061133229974,2
real_estate,outer_3,streed,4,20,3,0.1,1e-05,0.1,0.6116138792911833,77.91080869721566,21.902251958847046,61.18421059483098,0.6895184985740643,54.23544967867681,0.5919493572456622,2
real_estate,outer_3,streed,4,20,3,0.1,1e-05,0.001,0.6689009272332703,66.09492576391743,20.680314540863037,60.558063164109065,0.6926959064790533,55.51487697301724,0.5823233445011176,2
real_estate,outer_3,streed,4,20,3,0.08,0.1,0.1,0.6239977678894916,74.85557006524955,52.50166201591492,65.62298079388745,0.6669937977976816,60.65544870950516,0.5436472827439791,2
real_estate,outer_3,streed,4,20,3,0.08,0.1,0.001,0.6282932770855083,73.99838863637207,50.65192222595215,65.46546175887345,0.6677931338685215,60.34652165536986,0.5459715537466343,2
real_estate,outer_3,streed,4,20,3,0.08,0.01,0.1,0.6298037667822851,73.49749040052033,49.244117975234985,65.99752034886383,0.6650931832070556,60.75033180578462,0.5429334118596638,2
real_estate,outer_3,streed,4,20,3,0.08,0.01,0.001,0.6351032124422695,72.41754595404824,44.71307873725891,61.95875573986725,0.6855880410717925,53.423256759885604,0.5980600439739328,2
real_estate,outer_3,streed,4,20,3,0.08,0.001,0.1,0.6422658970626127,71.06585640077891,49.43779754638672,61.32141579452333,0.6888222457992099,54.06055271836767,0.5932652275388514,2
real_estate,outer_3,streed,4,20,3,0.08,0.001,0.001,0.6693128868946774,66.04198107356474,26.860240936279297,60.612602048448466,0.692419146927346,55.13213141692292,0.5852030029367156,2
real_estate,outer_3,streed,4,20,3,0.08,0.0001,0.1,0.6430680550606606,70.89898612329036,47.118953466415405,61.19845384488717,0.6894462206837453,54.21599661028415,0.5920957160775369,2
real_estate,outer_3,streed,4,20,3,0.08,0.0001,0.001,0.6689512381797423,66.08777309223144,25.349032163619995,60.56163705580184,0.6926777706357056,55.477293171883524,0.5826061133229974,2
real_estate,outer_3,streed,4,20,3,0.08,1e-05,0.1,0.6431508207878468,70.88176497582097,47.04731249809265,61.18421059483098,0.6895184985740643,54.23544967867681,0.5919493572456622,2
real_estate,outer_3,streed,4,20,3,0.08,1e-05,0.001,0.6689009272332703,66.09492576391743,25.337377309799194,60.558063164109065,0.6926959064790533,55.51487697301724,0.5823233445011176,2
real_estate,outer_3,streed,4,20,3,0.05,0.1,0.1,0.6390996140734936,71.2437770126444,79.94712948799133,65.62298079388745,0.6669937977976816,60.65544870950516,0.5436472827439791,2
real_estate,outer_3,streed,4,20,3,0.05,0.1,0.001,0.6154956443205971,76.31259376027812,78.88067674636841,65.46546175887345,0.6677931338685215,60.34652165536986,0.5459715537466343,2
real_estate,outer_3,streed,4,20,3,0.05,0.01,0.1,0.6185323624331649,75.53570654388942,75.05552387237549,65.99752034886383,0.6650931832070556,60.75033180578462,0.5429334118596638,2
real_estate,outer_3,streed,4,20,3,0.05,0.01,0.001,0.6146241675770742,76.20098287848273,75.6840751171112,61.95875573986725,0.6855880410717925,53.423256759885604,0.5980600439739328,2
real_estate,outer_3,streed,4,20,3,0.05,0.001,0.1,0.594365883108483,79.7977191783022,76.7511339187622,61.32141579452333,0.6888222457992099,54.06055271836767,0.5932652275388514,2
real_estate,outer_3,streed,4,20,3,0.05,0.001,0.001,0.5788159135159381,82.4977174711145,76.7930383682251,60.612602048448466,0.692419146927346,55.13213141692292,0.5852030029367156,2
real_estate,outer_3,streed,4,20,3,0.05,0.0001,0.1,0.5914799943176359,80.29855053645711,76.65933108329773,61.19845384488717,0.6894462206837453,54.21599661028415,0.5920957160775369,2
real_estate,outer_3,streed,4,20,3,0.05,0.0001,0.001,0.5745750657916197,83.24600522543295,77.07350087165833,60.56163705580184,0.6926777706357056,55.477293171883524,0.5826061133229974,2
real_estate,outer_3,streed,4,20,3,0.05,1e-05,0.1,0.590895831872398,80.40278214652379,76.65437507629395,61.18421059483098,0.6895184985740643,54.23544967867681,0.5919493572456622,2
real_estate,outer_3,streed,4,20,3,0.05,1e-05,0.001,0.5740745042055346,83.33475636705963,77.20332908630371,60.558063164109065,0.6926959064790533,55.51487697301724,0.5823233445011176,2
real_estate,outer_3,streed,4,20,3,0.03,0.1,0.1,0.6328363938278198,72.40550098388418,75.80817461013794,58.298634867002185,0.7041614575293966,54.76383601986779,0.5879739428732733,3
real_estate,outer_3,streed,4,20,3,0.03,0.1,0.001,0.6333125233127296,72.30192695496949,75.26116490364075,58.02493517187553,0.7055503565845056,54.61723091233253,0.5890769540719496,3
real_estate,outer_3,streed,4,20,3,0.03,0.01,0.1,0.6048652115883231,78.84343038627418,76.99464869499207,38.45807314890366,0.8048431094046208,77.94111478476711,0.4135953113076547,5
real_estate,outer_3,streed,4,20,3,0.03,0.01,0.001,0.5985730241129957,79.90878588777282,79.07407236099243,37.620253275426926,0.809094656817141,80.96340974187777,0.39085650473098377,5
