dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_0,streed,4,20,3,0.1,0.1,0.1,0.4625748461923623,223611.78861960903,599.9006516933441,223218.11818262347,0.4635450175774808,218304.6531645436,0.4745630445117361,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.1,0.001,0.4626145171638136,223595.2669629536,599.8623442649841,223199.98437754557,0.4635885981352039,218285.584908275,0.474608939852834,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.01,0.1,0.4665244882131523,221968.66076409773,599.8595824241638,221583.11705096293,0.4674743782874754,216247.27698085937,0.4795149384021255,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.01,0.001,0.4664365836900878,222005.07019840585,599.8494338989258,221577.1007945085,0.4674888370185891,216238.2314658348,0.4795367100309317,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.001,0.1,0.496418751160842,209457.03773834117,599.8405418395996,221524.77758809872,0.4676145841801697,216146.3287915178,0.4797579103612699,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.001,0.001,0.4965519760380896,209401.7293558024,599.8538956642151,221520.45807472945,0.4676249651675532,216138.96394648225,0.4797756367894381,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.4964021453307832,209463.9983560309,599.8488628864288,221520.37288069335,0.4676251699124255,216137.6898230569,0.4797787034741093,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.4965352773557543,209408.73032309764,599.8532032966614,221516.25863655817,0.4676350575809679,216130.52207137103,0.4797959555187585,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.4964003700447002,209464.7423246782,599.8461940288544,221519.9475587677,0.4676261920788519,216136.8413096036,0.4797807457591415,1.0
seoul_bike,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.4965334883821448,209409.4801587361,599.8417270183563,221515.853903916,0.4676360302656416,216129.6933271422,0.4797979502212909,1.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.1,0.1,0.5526547449365337,186129.1443874292,599.843608379364,183164.67121748097,0.559804547774163,174579.88961661063,0.5798040749022032,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.1,0.001,0.5526578347966247,186127.92811026485,599.8430988788605,183147.9161563458,0.5598448148281993,174555.04432706724,0.5798638749710825,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.01,0.1,0.5619156622123077,182284.27987467835,599.8570969104767,181143.5488273623,0.5646618648463273,172219.92361537737,0.5854842715117055,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.01,0.001,0.5619068226061993,182287.9499188533,599.8477263450623,181143.03958005516,0.5646630887086976,172212.3067359352,0.5855026045608934,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.001,0.1,0.5614746031473893,182467.74776390125,599.8539774417877,181209.3030999473,0.5645038391115393,172364.34081537856,0.5851366740931954,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.001,0.001,0.5614524432910358,182476.96118926696,599.84494972229,181213.71876106728,0.5644932270544727,172361.8936547141,0.5851425641584344,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.0001,0.1,0.5613947694716049,182500.94463010947,599.8488445281982,181227.6430037817,0.564459763241403,172396.9404600732,0.5850582100851678,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,0.0001,0.001,0.5613709880628127,182510.8329942373,599.8520047664642,181232.6637610176,0.5644476969707227,172395.13290819267,0.5850625606775314,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,1e-05,0.1,0.5613863002088643,182504.4662196144,599.8322465419769,181229.63990864847,0.564454964125749,172400.4505182883,0.5850497617343178,2.0
seoul_bike,outer_0,streed,4,20,3,0.08,1e-05,0.001,0.5613623480806866,182514.4256332137,599.8595826625824,181234.72260635367,0.5644427489949599,172398.70847664165,0.5850539546502538,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.1,0.1,0.5526547449365337,186129.1443874292,599.8363816738129,183164.67121748097,0.559804547774163,174579.88961661063,0.5798040749022032,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.1,0.001,0.5526578347966247,186127.92811026485,599.8410265445709,183147.9161563458,0.5598448148281993,174555.04432706724,0.5798638749710825,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.01,0.1,0.5619156622123077,182284.27987467835,599.8438062667847,181143.5488273623,0.5646618648463273,172219.92361537737,0.5854842715117055,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.01,0.001,0.5619068226061993,182287.9499188533,599.8371524810791,181143.03958005516,0.5646630887086976,172212.3067359352,0.5855026045608934,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.001,0.1,0.5649636202624413,181021.63533140876,599.8392102718353,181209.3030999473,0.5645038391115393,172364.34081537856,0.5851366740931954,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.001,0.001,0.5649319861495037,181034.7756048762,599.8435142040253,181213.71876106728,0.5644932270544727,172361.8936547141,0.5851425641584344,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.0001,0.1,0.5647946169336826,181091.79084227685,599.8389573097229,181227.6430037817,0.564459763241403,172396.9404600732,0.5850582100851678,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,0.0001,0.001,0.5647626571542089,181105.0689414303,599.8426575660706,181232.6637610176,0.5644476969707227,172395.13290819267,0.5850625606775314,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,1e-05,0.1,0.5647762940542937,181099.39651537043,599.8335592746735,181229.63990864847,0.564454964125749,172400.4505182883,0.5850497617343178,2.0
seoul_bike,outer_0,streed,4,20,3,0.05,1e-05,0.001,0.5647440391976805,181112.7972072491,599.8362336158752,181234.72260635367,0.5644427489949599,172398.70847664165,0.5850539546502538,2.0
seoul_bike,outer_0,streed,4,20,3,0.03,0.1,0.1,0.6069085215471096,163567.78307846296,599.8432970046997,158279.73045068287,0.6196099550158647,153744.70872079476,0.6299522227233729,4.0
seoul_bike,outer_0,streed,4,20,3,0.03,0.1,0.001,0.6069601449875691,163546.28556113612,599.8304581642151,158248.83788129245,0.6196841984191523,153708.19869492814,0.6300400986186325,4.0
seoul_bike,outer_0,streed,4,20,3,0.03,0.01,0.1,0.6180049453795667,158956.59822943414,599.8341979980469,152566.5935122956,0.6333402059507486,145068.14980063846,0.6508358119507872,4.0
seoul_bike,outer_0,streed,4,20,3,0.03,0.01,0.001,0.6180009023110643,158958.3058684809,599.8394801616669,152556.57172638588,0.6333642910789085,145053.5619537657,0.6508709234050638,4.0
seoul_bike,outer_0,streed,4,20,3,0.03,0.001,0.1,0.6215670906562165,157476.58159588004,599.8302612304688,151984.48307115896,0.6347391786193222,143221.40246498844,0.6552807437629764,4.0
