dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_2,streed,4,20,3,0.1,0.1,0.1,0.812945501791284,1.16062036757061,599.7770290374756,1.1575561392714515,0.8135198741621408,1.2473909051968521,0.7948792449879702,1
temperature_min,outer_2,streed,4,20,3,0.1,0.1,0.001,0.8223933057477529,1.1020505558867724,257.3187394142151,1.0950015695196866,0.8235972981792464,1.1820779670069401,0.8056192937872315,1
temperature_min,outer_2,streed,4,20,3,0.1,0.01,0.1,0.8107988726578537,1.1738454816815382,230.67365622520447,1.1707793607473944,0.8113896379505583,1.266209355081434,0.7917847421882467,1
temperature_min,outer_2,streed,4,20,3,0.1,0.01,0.001,0.8149637279673753,1.14803409548697,1.4481091499328613,1.1403159699998522,0.8162972331395267,1.2347856619206456,0.7969520491162942,1
temperature_min,outer_2,streed,4,20,3,0.1,0.001,0.1,0.8102565109394352,1.177202139270505,234.28278493881226,1.1735361397377577,0.8109455260188867,1.2697110136293133,0.7912089300333376,1
temperature_min,outer_2,streed,4,20,3,0.1,0.001,0.001,0.8136425813710267,1.1562010249564718,1.5552780628204346,1.1484888582169528,0.8149805961562502,1.2439789819497937,0.7954403010847912,1
temperature_min,outer_2,streed,4,20,3,0.1,0.0001,0.1,0.8102003749595127,1.1775495499091395,240.5995056629181,1.1738401740212683,0.8108965466652946,1.270091050387312,0.7911464368514423,1
temperature_min,outer_2,streed,4,20,3,0.1,0.0001,0.001,0.8135012519145578,1.1570760329027594,1.4861607551574707,1.149352411893066,0.814841479276536,1.2449486920560815,0.7952808421146194,1
temperature_min,outer_2,streed,4,20,3,0.1,1e-05,0.1,0.8101947582840774,1.1775843095939218,237.2388608455658,1.1738708770551491,0.8108916004640457,1.2701293628952568,0.7911401367489457,1
temperature_min,outer_2,streed,4,20,3,0.1,1e-05,0.001,0.8134870411567348,1.157164015790296,1.4865176677703857,1.1494392429041096,0.8148274909632987,1.2450461812377323,0.7952648110096446,1
temperature_min,outer_2,streed,4,20,3,0.08,0.1,0.1,0.812945501791284,1.16062036757061,599.7201616764069,1.1575561392714515,0.8135198741621408,1.2473909051968521,0.7948792449879702,1
temperature_min,outer_2,streed,4,20,3,0.08,0.1,0.001,0.8223933057477529,1.1020505558867724,250.3919322490692,1.0950015695196866,0.8235972981792464,1.1820779670069401,0.8056192937872315,1
temperature_min,outer_2,streed,4,20,3,0.08,0.01,0.1,0.8107988726578537,1.1738454816815382,599.7242150306702,1.1707793607473944,0.8113896379505583,1.266209355081434,0.7917847421882467,1
temperature_min,outer_2,streed,4,20,3,0.08,0.01,0.001,0.8149637279673753,1.14803409548697,253.7804946899414,1.1403159699998522,0.8162972331395267,1.2347856619206456,0.7969520491162942,1
temperature_min,outer_2,streed,4,20,3,0.08,0.001,0.1,0.8102565109394352,1.177202139270505,599.7160038948059,1.1735361397377577,0.8109455260188867,1.2697110136293133,0.7912089300333376,1
temperature_min,outer_2,streed,4,20,3,0.08,0.001,0.001,0.8136425813710267,1.1562010249564718,245.9154577255249,1.1484888582169528,0.8149805961562502,1.2439789819497937,0.7954403010847912,1
temperature_min,outer_2,streed,4,20,3,0.08,0.0001,0.1,0.8102003749595127,1.1775495499091395,599.7123761177063,1.1738401740212683,0.8108965466652946,1.270091050387312,0.7911464368514423,1
temperature_min,outer_2,streed,4,20,3,0.08,0.0001,0.001,0.8135012519145578,1.1570760329027594,244.8268382549286,1.149352411893066,0.814841479276536,1.2449486920560815,0.7952808421146194,1
temperature_min,outer_2,streed,4,20,3,0.08,1e-05,0.1,0.8101947582840774,1.1775843095939218,599.7189848423004,1.1738708770551491,0.8108916004640457,1.2701293628952568,0.7911401367489457,1
temperature_min,outer_2,streed,4,20,3,0.08,1e-05,0.001,0.8134870411567348,1.157164015790296,244.9789137840271,1.1494392429041096,0.8148274909632987,1.2450461812377323,0.7952648110096446,1
temperature_min,outer_2,streed,4,20,3,0.05,0.1,0.1,0.812945501791284,1.16062036757061,599.717208147049,1.1575561392714515,0.8135198741621408,1.2473909051968521,0.7948792449879702,1
temperature_min,outer_2,streed,4,20,3,0.05,0.1,0.001,0.8223933057477529,1.1020505558867724,599.7113564014435,1.0950015695196866,0.8235972981792464,1.1820779670069401,0.8056192937872315,1
temperature_min,outer_2,streed,4,20,3,0.05,0.01,0.1,0.8107988726578537,1.1738454816815382,599.7036998271942,1.1707793607473944,0.8113896379505583,1.266209355081434,0.7917847421882467,1
temperature_min,outer_2,streed,4,20,3,0.05,0.01,0.001,0.8149637279673753,1.14803409548697,599.6963806152344,1.1403159699998522,0.8162972331395267,1.2347856619206456,0.7969520491162942,1
temperature_min,outer_2,streed,4,20,3,0.05,0.001,0.1,0.8102565109394352,1.177202139270505,599.6976759433746,1.1735361397377577,0.8109455260188867,1.2697110136293133,0.7912089300333376,1
temperature_min,outer_2,streed,4,20,3,0.05,0.001,0.001,0.8136425813710267,1.1562010249564718,599.7035937309265,1.1484888582169528,0.8149805961562502,1.2439789819497937,0.7954403010847912,1
temperature_min,outer_2,streed,4,20,3,0.05,0.0001,0.1,0.8102003749595127,1.1775495499091395,599.7158014774323,1.1738401740212683,0.8108965466652946,1.270091050387312,0.7911464368514423,1
temperature_min,outer_2,streed,4,20,3,0.05,0.0001,0.001,0.8135012519145578,1.1570760329027594,599.7169954776764,1.149352411893066,0.814841479276536,1.2449486920560815,0.7952808421146194,1
temperature_min,outer_2,streed,4,20,3,0.05,1e-05,0.1,0.8101947582840774,1.1775843095939218,599.7187972068787,1.1738708770551491,0.8108916004640457,1.2701293628952568,0.7911401367489457,1
temperature_min,outer_2,streed,4,20,3,0.05,1e-05,0.001,0.8134870411567348,1.157164015790296,599.7179009914398,1.1494392429041096,0.8148274909632987,1.2450461812377323,0.7952648110096446,1
temperature_min,outer_2,streed,4,20,3,0.03,0.1,0.1,0.812945501791284,1.16062036757061,599.7165699005127,1.1575561392714515,0.8135198741621408,1.2473909051968521,0.7948792449879702,1
temperature_min,outer_2,streed,4,20,3,0.03,0.1,0.001,0.8223933057477529,1.1020505558867724,599.7115731239319,1.0950015695196866,0.8235972981792464,1.1820779670069401,0.8056192937872315,1
temperature_min,outer_2,streed,4,20,3,0.03,0.01,0.1,0.8107988726578537,1.1738454816815382,599.714670419693,1.1707793607473944,0.8113896379505583,1.266209355081434,0.7917847421882467,1
temperature_min,outer_2,streed,4,20,3,0.03,0.01,0.001,0.8149637279673753,1.14803409548697,599.712427854538,1.1403159699998522,0.8162972331395267,1.2347856619206456,0.7969520491162942,1
temperature_min,outer_2,streed,4,20,3,0.03,0.001,0.1,0.8102565109394352,1.177202139270505,599.7206144332886,1.1735361397377577,0.8109455260188867,1.2697110136293133,0.7912089300333376,1
temperature_min,outer_2,streed,4,20,3,0.03,0.001,0.001,0.8136425813710267,1.1562010249564718,599.7126338481903,1.1484888582169528,0.8149805961562502,1.2439789819497937,0.7954403010847912,1
temperature_min,outer_2,streed,4,20,3,0.03,0.0001,0.1,0.8102003749595127,1.1775495499091395,599.7169740200043,1.1738401740212683,0.8108965466652946,1.270091050387312,0.7911464368514423,1
temperature_min,outer_2,streed,4,20,3,0.03,0.0001,0.001,0.8135012519145578,1.1570760329027594,599.7158694267273,1.149352411893066,0.814841479276536,1.2449486920560815,0.7952808421146194,1
temperature_min,outer_2,streed,4,20,3,0.03,1e-05,0.1,0.8101947582840774,1.1775843095939218,599.7189154624939,1.1738708770551491,0.8108916004640457,1.2701293628952568,0.7911401367489457,1
temperature_min,outer_2,streed,4,20,3,0.03,1e-05,0.001,0.8134870411567348,1.157164015790296,599.7146854400635,1.1494392429041096,0.8148274909632987,1.2450461812377323,0.7952648110096446,1
temperature_min,outer_2,streed,4,20,3,0.01,0.1,0.1,0.8058164060497605,1.204845863904416,599.7170948982239,1.1617844245601123,0.8128387053220669,1.2646500492299153,0.7920411541856611,5
temperature_min,outer_2,streed,4,20,3,0.01,0.1,0.001,0.8399606029640134,0.9938529438567896,599.7194592952728,0.923123635010289,0.8512865114870665,1.0056414542534733,0.8346324848862714,3
temperature_min,outer_2,streed,4,20,3,0.01,0.01,0.1,0.808366508558104,1.1893004005224717,599.7239527702332,1.1292204218267594,0.8180847051673289,1.2290442012435412,0.7978961739644498,5
temperature_min,outer_2,streed,4,20,3,0.01,0.01,0.001,0.8438161102906574,0.9690106806300888,599.7139644622803,0.9280990088651387,0.8504849880783385,1.0152835388956922,0.8330469420757042,3
temperature_min,outer_2,streed,4,20,3,0.01,0.001,0.1,0.8090453831028519,1.1850820182354564,599.7198686599731,1.1261886811292094,0.8185731129150021,1.2256378016651654,0.7984563217501023,5
temperature_min,outer_2,streed,4,20,3,0.01,0.001,0.001,0.843045663567333,0.9736483214721551,599.7190253734589,0.9267081609272256,0.8507090510759626,1.0162861127236353,0.8328820790005558,3
temperature_min,outer_2,streed,4,20,3,0.01,0.0001,0.1,0.8091165204610059,1.184639915713407,599.7211954593658,1.125889826198392,0.8186212578845767,1.225298959371196,0.798512040921117,5
temperature_min,outer_2,streed,4,20,3,0.01,0.0001,0.001,0.842966853730824,0.9741360395780371,599.7074956893921,0.927273507492929,0.8506179748031689,1.0162536618012812,0.8328874152248831,3
temperature_min,outer_2,streed,4,20,3,0.01,1e-05,0.1,0.8091236404777389,1.1845956658789223,599.7124845981598,1.1258600137293782,0.8186260606174937,1.225265129084786,0.7985176039678427,5
temperature_min,outer_2,streed,4,20,3,0.01,1e-05,0.001,0.8431729154387559,0.9728569477337193,599.7119834423065,0.9272980077665793,0.8506140278549749,1.0162796972670396,0.8328831339571817,3
temperature_min,outer_2,streed,4,20,3,0.008,0.1,0.1,0.8058164060497605,1.204845863904416,599.7136602401733,1.1617844245601123,0.8128387053220669,1.2646500492299153,0.7920411541856611,5
temperature_min,outer_2,streed,4,20,3,0.008,0.1,0.001,0.8416691491660004,0.9830024314303776,599.7136902809143,0.923123635010289,0.8512865114870665,1.0056414542534733,0.8346324848862714,3
temperature_min,outer_2,streed,4,20,3,0.008,0.01,0.1,0.8133722756428293,1.1582390144073444,599.7110767364502,1.1292204218267594,0.8180847051673289,1.2290442012435412,0.7978961739644498,5
temperature_min,outer_2,streed,4,20,3,0.008,0.01,0.001,0.8492994719721336,0.9346277618597624,599.7134759426117,0.876561650277709,0.8587875600130213,0.961251207978692,0.8419320096728629,4
temperature_min,outer_2,streed,4,20,3,0.008,0.001,0.1,0.813817374962262,1.155477602621952,599.7145702838898,1.1261886811292094,0.8185731129150021,1.2256378016651654,0.7984563217501023,5
temperature_min,outer_2,streed,4,20,3,0.008,0.001,0.001,0.8471532171552756,0.9478690105108417,599.7205579280853,0.8759491281900598,0.8588862361740368,0.9489650126843988,0.8439523496035864,4
temperature_min,outer_2,streed,4,20,3,0.008,0.0001,0.1,0.8138636970629992,1.155190117706734,599.7127614021301,1.125889826198392,0.8186212578845767,1.225298959371196,0.798512040921117,5
