dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_0,streed,4,20,3,0.1,0.1,0.1,0.8079600830671619,1.1665306582265702,599.7812707424164,1.1636706838453026,0.8085451687296362,1.2665031370147524,0.8082008591096003,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.1,0.001,0.8178886032711598,1.106363663852535,241.18022871017456,1.099604564237788,0.8190857523241906,1.1674983010784168,0.8231941441016476,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.01,0.1,0.8062235607491884,1.1769788274489066,218.1715099811554,1.1725266420916218,0.8070881276480617,1.255360481908015,0.8098883019703796,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.01,0.001,0.8100823229323767,1.1537630673907862,1.3705146312713623,1.144786984711087,0.8116520403572299,1.1901782136564545,0.8197594998273426,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.001,0.1,0.8057669233366663,1.1797388714192016,222.11240911483765,1.1750508159655104,0.8066728337940261,1.2558339502955336,0.8098165999529817,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.001,0.001,0.8088213313618414,1.161419101565755,1.4272830486297607,1.1521858471667294,0.8104347303547499,1.1942508303774697,0.8191427430539582,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.8057166079946679,1.1800431034160703,227.8137834072113,1.175318402601475,0.8066288086630763,1.255896573273534,0.80980711633385,1.0
temperature_min,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.8086775944831222,1.1622919977405848,1.423464059829712,1.153027656835918,0.8102962302357613,1.194832253778594,0.8190546923373274,1.0
temperature_min,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.8057115285741988,1.180073817131574,226.2879843711853,1.1753454383969637,0.8066243605544013,1.255903098668861,0.809806128128467,1.0
temperature_min,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.8086631438760709,1.1623797545945094,1.4344980716705322,1.1531122947954084,0.8102823050364086,1.194890826029683,0.8190458221599779,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.1,0.1,0.8079600830671619,1.1665306582265702,599.7244760990143,1.1636706838453026,0.8085451687296362,1.2665031370147524,0.8082008591096003,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.1,0.001,0.8178886032711598,1.106363663852535,250.97322058677676,1.099604564237788,0.8190857523241906,1.1674983010784168,0.8231941441016476,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.01,0.1,0.8062235607491884,1.1769788274489066,599.7193865776062,1.1725266420916218,0.8070881276480617,1.255360481908015,0.8098883019703796,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.01,0.001,0.8100823229323767,1.1537630673907862,253.53892612457275,1.144786984711087,0.8116520403572299,1.1901782136564545,0.8197594998273426,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.001,0.1,0.8057669233366663,1.1797388714192016,599.7244002819061,1.1750508159655104,0.8066728337940261,1.2558339502955336,0.8098165999529817,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.001,0.001,0.8088213313618414,1.161419101565755,252.46036529541016,1.1521858471667294,0.8104347303547499,1.1942508303774697,0.8191427430539582,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.0001,0.1,0.8057166079946679,1.1800431034160703,599.7234811782837,1.175318402601475,0.8066288086630763,1.255896573273534,0.80980711633385,1.0
temperature_min,outer_0,streed,4,20,3,0.08,0.0001,0.001,0.8086775944831222,1.1622919977405848,252.4536330699921,1.153027656835918,0.8102962302357613,1.194832253778594,0.8190546923373274,1.0
temperature_min,outer_0,streed,4,20,3,0.08,1e-05,0.1,0.8057115285741988,1.180073817131574,599.7193269729614,1.1753454383969637,0.8066243605544013,1.255903098668861,0.809806128128467,1.0
temperature_min,outer_0,streed,4,20,3,0.08,1e-05,0.001,0.8086631438760709,1.1623797545945094,247.5392498970032,1.1531122947954084,0.8102823050364086,1.194890826029683,0.8190458221599779,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.1,0.1,0.8079600830671619,1.1665306582265702,599.7244002819061,1.1636706838453026,0.8085451687296362,1.2665031370147524,0.8082008591096003,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.1,0.001,0.8178886032711598,1.106363663852535,599.722247838974,1.099604564237788,0.8190857523241906,1.1674983010784168,0.8231941441016476,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.01,0.1,0.8062235607491884,1.1769788274489066,599.7211797237396,1.1725266420916218,0.8070881276480617,1.255360481908015,0.8098883019703796,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.01,0.001,0.8100823229323767,1.1537630673907862,599.7151265144348,1.144786984711087,0.8116520403572299,1.1901782136564545,0.8197594998273426,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.001,0.1,0.8057669233366663,1.1797388714192016,599.7189047336578,1.1750508159655104,0.8066728337940261,1.2558339502955336,0.8098165999529817,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.001,0.001,0.8088213313618414,1.161419101565755,599.7223505973816,1.1521858471667294,0.8104347303547499,1.1942508303774697,0.8191427430539582,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.0001,0.1,0.8057166079946679,1.1800431034160703,599.7230956554413,1.175318402601475,0.8066288086630763,1.255896573273534,0.80980711633385,1.0
temperature_min,outer_0,streed,4,20,3,0.05,0.0001,0.001,0.8086775944831222,1.1622919977405848,599.7181439399719,1.153027656835918,0.8102962302357613,1.194832253778594,0.8190546923373274,1.0
temperature_min,outer_0,streed,4,20,3,0.05,1e-05,0.1,0.8057115285741988,1.180073817131574,599.7138466835022,1.1753454383969637,0.8066243605544013,1.255903098668861,0.809806128128467,1.0
temperature_min,outer_0,streed,4,20,3,0.05,1e-05,0.001,0.8086631438760709,1.1623797545945094,599.715913772583,1.1531122947954084,0.8102823050364086,1.194890826029683,0.8190458221599779,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.1,0.1,0.8079600830671619,1.1665306582265702,599.710075378418,1.1636706838453026,0.8085451687296362,1.2665031370147524,0.8082008591096003,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.1,0.001,0.8178886032711598,1.106363663852535,599.7202861309052,1.099604564237788,0.8190857523241906,1.1674983010784168,0.8231941441016476,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.01,0.1,0.8062235607491884,1.1769788274489066,599.7265331745148,1.1725266420916218,0.8070881276480617,1.255360481908015,0.8098883019703796,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.01,0.001,0.8100823229323767,1.1537630673907862,599.7219562530518,1.144786984711087,0.8116520403572299,1.1901782136564545,0.8197594998273426,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.001,0.1,0.8057669233366663,1.1797388714192016,599.7229337692261,1.1750508159655104,0.8066728337940261,1.2558339502955336,0.8098165999529817,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.001,0.001,0.8088213313618414,1.161419101565755,599.7183663845062,1.1521858471667294,0.8104347303547499,1.1942508303774697,0.8191427430539582,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.0001,0.1,0.8057166079946679,1.1800431034160703,599.7176373004913,1.175318402601475,0.8066288086630763,1.255896573273534,0.80980711633385,1.0
temperature_min,outer_0,streed,4,20,3,0.03,0.0001,0.001,0.8086775944831222,1.1622919977405848,599.725260257721,1.153027656835918,0.8102962302357613,1.194832253778594,0.8190546923373274,1.0
temperature_min,outer_0,streed,4,20,3,0.03,1e-05,0.1,0.8057115285741988,1.180073817131574,599.729033946991,1.1753454383969637,0.8066243605544013,1.255903098668861,0.809806128128467,1.0
temperature_min,outer_0,streed,4,20,3,0.03,1e-05,0.001,0.8086631438760709,1.1623797545945094,599.7235255241394,1.1531122947954084,0.8102823050364086,1.194890826029683,0.8190458221599779,1.0
temperature_min,outer_0,streed,4,20,3,0.01,0.1,0.1,0.8048829181519107,1.1856736970627793,599.723874092102,1.166603945285305,0.8080625690716197,1.2662839839496618,0.8082340476334811,5.0
temperature_min,outer_0,streed,4,20,3,0.01,0.1,0.001,0.8421199124263996,0.9589281996552564,599.7222859859467,0.9238167264321292,0.8480075351736575,1.00579276561645,0.8476828183673364,3.0
temperature_min,outer_0,streed,4,20,3,0.01,0.01,0.1,0.8123796945637141,1.1400986174387382,599.7243075370789,1.1267842172128346,0.8146139752599706,1.273760773319338,0.8071017632073227,4.0
temperature_min,outer_0,streed,4,20,3,0.01,0.01,0.001,0.841400441084177,0.9630658334365222,599.7283203601837,0.9256991921534804,0.8476978194077995,1.0090299312066993,0.8471925822510696,3.0
temperature_min,outer_0,streed,4,20,3,0.01,0.001,0.1,0.8108929098574714,1.1488125932068871,599.7289710044861,1.124296129580633,0.8150233319657999,1.2702892753443562,0.8076274866025082,4.0
temperature_min,outer_0,streed,4,20,3,0.01,0.001,0.001,0.8404154789509285,0.9690293188401232,599.7259647846222,0.9282443350158026,0.8472790755964881,1.0053108964544724,0.8477557925973938,3.0
temperature_min,outer_0,streed,4,20,3,0.01,0.0001,0.1,0.8109388700054793,1.1485349437085288,599.7222142219543,1.1240591868346552,0.8150623153603991,1.2699541146311462,0.8076782433159936,4.0
temperature_min,outer_0,streed,4,20,3,0.01,0.0001,0.001,0.8403416761339558,0.969474638469649,599.7217025756836,0.9270952900473608,0.8474681241079003,1.014417508650239,0.8463766879236485,3.0
temperature_min,outer_0,streed,4,20,3,0.01,1e-05,0.1,0.8109434490764977,1.1485072826086695,599.7262589931488,1.1240356200214212,0.8150661927290688,1.2699207285616445,0.8076832992998764,4.0
temperature_min,outer_0,streed,4,20,3,0.01,1e-05,0.001,0.8403338335768384,0.969522011430464,599.7305858135223,0.9271154428932208,0.8474648084278223,1.0143987389588067,0.8463795304043232,3.0
temperature_min,outer_0,streed,4,20,3,0.008,0.1,0.1,0.8048829181519107,1.1856736970627793,599.7199852466583,1.166603945285305,0.8080625690716197,1.2662839839496618,0.8082340476334811,5.0
temperature_min,outer_0,streed,4,20,3,0.008,0.1,0.001,0.8363460849063501,0.994374297908835,599.725741147995,0.9238167264321292,0.8480075351736575,1.00579276561645,0.8476828183673364,3.0
temperature_min,outer_0,streed,4,20,3,0.008,0.01,0.1,0.8110206976108998,1.1483490642578835,599.7163579463959,1.1376534528921058,0.8128256964007523,1.233660096797906,0.8131746066777807,5.0
temperature_min,outer_0,streed,4,20,3,0.008,0.01,0.001,0.8430762101004681,0.9528442274380132,599.7160606384277,0.8742818386454142,0.8561573439768349,0.9468407083695052,0.8566105135330484,4.0
temperature_min,outer_0,streed,4,20,3,0.008,0.001,0.1,0.8115017368720671,1.1454369477418744,599.7245931625366,1.1351030436183631,0.8132453066770559,1.230634172308588,0.8136328524574306,5.0
temperature_min,outer_0,streed,4,20,3,0.008,0.001,0.001,0.8424342165295927,0.9567157243393982,599.7254004478455,0.8753215134671422,0.8559862897685152,0.9453956263737112,0.856829356643033,4.0
temperature_min,outer_0,streed,4,20,3,0.008,0.0001,0.1,0.811549407333732,1.1451485832190549,599.7195460796356,1.134856385236146,0.813285888552671,1.2303409738070297,0.8136772544167039,5.0
temperature_min,outer_0,streed,4,20,3,0.008,0.0001,0.001,0.8423679186863987,0.9571152662488148,599.7142488956451,0.8753939339615083,0.8559743746676866,0.9455543066850598,0.856805326108482,4.0
temperature_min,outer_0,streed,4,20,3,0.008,1e-05,0.1,0.8115541632172794,1.1451198156537126,599.7163536548615,1.1348318115048108,0.8132899315861957,1.2303117577313014,0.8136816788970397,5.0
temperature_min,outer_0,streed,4,20,3,0.008,1e-05,0.001,0.8423756078150122,0.95706790134869,599.7195310592651,0.8754177331517103,0.8559704590668145,0.9455504322377526,0.856805912854494,4.0
temperature_min,outer_0,streed,4,20,3,0.005,0.1,0.1,0.8025561068049761,1.2001892124492335,599.7213025093079,1.1721542703023191,0.8071493927285356,1.2848942691176344,0.8054157074315326,6.0
temperature_min,outer_0,streed,4,20,3,0.005,0.1,0.001,0.8470494913072105,0.929541671316497,599.7219891548157,0.9291721082638792,0.8471264321784372,1.0382845367985174,0.842762266955662,4.0
temperature_min,outer_0,streed,4,20,3,0.005,0.01,0.1,0.8085602824792547,1.1635539468575549,599.7156269550323,1.1365259767378062,0.8130111962675785,1.2301405551077609,0.8137076058096178,6.0
temperature_min,outer_0,streed,4,20,3,0.005,0.01,0.001,0.8646648891078813,0.8227861704106548,599.7190041542053,0.8742818386454142,0.8561573439768349,0.9468407083695052,0.8566105135330484,4.0
temperature_min,outer_0,streed,4,20,3,0.005,0.001,0.1,0.8092268927973182,1.1595399604738146,599.7072727680206,1.1341338224870126,0.8134047693762048,1.227270407989872,0.8141422606757223,6.0
temperature_min,outer_0,streed,4,20,3,0.005,0.001,0.001,0.8642982248177847,0.8249695341523179,599.7130992412567,0.8753215134671422,0.8559862897685152,0.9453956263737112,0.856829356643033,4.0
temperature_min,outer_0,streed,4,20,3,0.005,0.0001,0.1,0.8092768548438078,1.159237279111658,599.7160851955414,1.133900832989147,0.8134431023561629,1.2269910372001156,0.8141845685673486,6.0
temperature_min,outer_0,streed,4,20,3,0.005,0.0001,0.001,0.8650304451860734,0.8206969069203082,599.7130706310272,0.8753939339615083,0.8559743746676866,0.9455543066850598,0.856805326108482,4.0
