dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,streed,4,20,3,0.1,0.1,0.1,0.022641799842879767,311332325969.6037,599.8115348815918,310700955239.8782,0.025384497886643764,312223913200.0075,0.01505491948911164,1
walmart,outer_0,streed,4,20,3,0.1,0.1,0.001,0.022641797171571592,311332326612.7157,599.7181823253632,310700951881.64923,0.02538450842083073,312223919667.63983,0.015054899086245577,1
walmart,outer_0,streed,4,20,3,0.1,0.01,0.1,0.02278409272612077,311279114588.0694,599.7179625034332,310605626156.1708,0.02568352883977265,312322761299.5462,0.014743092158653104,1
walmart,outer_0,streed,4,20,3,0.1,0.01,0.001,0.022784080269268776,311279118304.9006,599.714617729187,310605625454.9187,0.025683531039479957,312322771095.2037,0.014743061257161405,1
walmart,outer_0,streed,4,20,3,0.1,0.001,0.1,0.02277245368742938,311281878459.68097,599.7247071266174,310603650256.1551,0.025689726898560195,312341281641.47095,0.014684667678986463,1
walmart,outer_0,streed,4,20,3,0.1,0.001,0.001,0.022772440032998054,311281882552.77277,599.706328868866,310603649888.1562,0.02568972805290959,312341291841.4839,0.01468463550191057,1
walmart,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.022770966569264434,311282255988.49243,599.7327013015747,310603547863.0845,0.02569004808802644,312343239856.5307,0.014678490271657574,1
walmart,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.0227709527925104,311282260120.0169,599.761794090271,310603547529.2102,0.025690049135332682,312343250097.81903,0.014678457964373837,1
walmart,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.022770814548904766,311282294776.8203,599.7617342472076,310603538599.02905,0.02569007714777627,312343436763.24786,0.014677869107505126,1
walmart,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.02277080075989224,311282298912.1963,599.7492184638977,310603538268.5754,0.02569007818435265,312343447008.6723,0.014677836787173604,1
walmart,outer_0,streed,4,20,3,0.08,0.1,0.1,0.022641799842879767,311332325969.6037,599.7389988899231,310700955239.8782,0.025384497886643764,312223913200.0075,0.01505491948911164,1
walmart,outer_0,streed,4,20,3,0.08,0.1,0.001,0.022641797171571592,311332326612.7157,599.7346477508545,310700951881.64923,0.02538450842083073,312223919667.63983,0.015054899086245577,1
walmart,outer_0,streed,4,20,3,0.08,0.01,0.1,0.02278409272612077,311279114588.0694,599.726861000061,310605626156.1708,0.02568352883977265,312322761299.5462,0.014743092158653104,1
walmart,outer_0,streed,4,20,3,0.08,0.01,0.001,0.022784080269268776,311279118304.9006,599.7221865653992,310605625454.9187,0.025683531039479957,312322771095.2037,0.014743061257161405,1
walmart,outer_0,streed,4,20,3,0.08,0.001,0.1,0.02277245368742938,311281878459.68097,599.7237148284912,310603650256.1551,0.025689726898560195,312341281641.47095,0.014684667678986463,1
