dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_0,streed,4,20,3,0.1,0.1,0.1,0.8770854641418068,28.416762684115497,0.0218956470489501,20.093327110685223,0.9144886869609872,18.508080209939177,0.9099167907856818,2.0
yacht,outer_0,streed,4,20,3,0.1,0.1,0.001,0.8780700200345756,28.17564783499772,0.0211889743804931,19.702507925664506,0.9161518989063192,18.673126765921428,0.9091134701136292,2.0
yacht,outer_0,streed,4,20,3,0.1,0.01,0.1,0.9661848043878764,7.537040288681365,0.0032918453216552,5.933804302486422,0.9747474674339855,4.930195850243381,0.9760035692947489,2.0
yacht,outer_0,streed,4,20,3,0.1,0.01,0.001,0.9750534351991608,5.716942482382457,0.0034244060516357,4.129253045589691,0.9824271088678516,3.0104494876087333,0.9853474294499892,2.0
yacht,outer_0,streed,4,20,3,0.1,0.001,0.1,0.9801370021648056,4.468286077225104,0.0033178329467773,3.473107584920485,0.9852194717043962,2.278381697821353,0.9889105767412496,2.0
yacht,outer_0,streed,4,20,3,0.1,0.001,0.001,0.980217353773433,4.403798124922505,0.0034222602844238,3.3635470778046743,0.9856857291225471,2.120189221006327,0.9896805369869054,2.0
yacht,outer_0,streed,4,20,3,0.1,0.0001,0.1,0.9804123830496048,4.38926235335044,0.0034775733947753,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.1,0.0001,0.001,0.9803699511051124,4.352528056709898,0.0033128261566162,3.353898348544518,0.9857267912872972,2.0936125286469487,0.9898098920421504,2.0
yacht,outer_0,streed,4,20,3,0.1,1e-05,0.1,0.9804355920108212,4.382313033701094,0.0033330917358398,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.1,1e-05,0.001,0.9803804941669346,4.348441495774995,0.0033602714538574,3.353779831740192,0.9857272956600922,2.091749880116674,0.9898189579936344,2.0
yacht,outer_0,streed,4,20,3,0.08,0.1,0.1,0.8770854641418068,28.416762684115497,0.0220224857330322,20.093327110685223,0.9144886869609872,18.508080209939177,0.9099167907856818,2.0
yacht,outer_0,streed,4,20,3,0.08,0.1,0.001,0.8780700200345756,28.17564783499772,0.0219650268554687,19.702507925664506,0.9161518989063192,18.673126765921428,0.9091134701136292,2.0
yacht,outer_0,streed,4,20,3,0.08,0.01,0.1,0.9661848043878764,7.537040288681365,0.0034441947937011,5.933804302486422,0.9747474674339855,4.930195850243381,0.9760035692947489,2.0
yacht,outer_0,streed,4,20,3,0.08,0.01,0.001,0.9750534351991608,5.716942482382457,0.0032718181610107,4.129253045589691,0.9824271088678516,3.0104494876087333,0.9853474294499892,2.0
yacht,outer_0,streed,4,20,3,0.08,0.001,0.1,0.9801370021648056,4.468286077225104,0.0033917427062988,3.473107584920485,0.9852194717043962,2.278381697821353,0.9889105767412496,2.0
yacht,outer_0,streed,4,20,3,0.08,0.001,0.001,0.980217353773433,4.403798124922505,0.0034711360931396,3.3635470778046743,0.9856857291225471,2.120189221006327,0.9896805369869054,2.0
yacht,outer_0,streed,4,20,3,0.08,0.0001,0.1,0.9804123830496048,4.38926235335044,0.0034704208374023,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.08,0.0001,0.001,0.9803699511051124,4.352528056709898,0.0033538341522216,3.353898348544518,0.9857267912872972,2.0936125286469487,0.9898098920421504,2.0
yacht,outer_0,streed,4,20,3,0.08,1e-05,0.1,0.9804355920108212,4.382313033701094,0.0033540725708007,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.08,1e-05,0.001,0.9803804941669346,4.348441495774995,0.0033373832702636,3.353779831740192,0.9857272956600922,2.091749880116674,0.9898189579936344,2.0
yacht,outer_0,streed,4,20,3,0.05,0.1,0.1,0.8770854641418068,28.416762684115497,0.2682857513427734,20.093327110685223,0.9144886869609872,18.508080209939177,0.9099167907856818,2.0
yacht,outer_0,streed,4,20,3,0.05,0.1,0.001,0.8780700200345756,28.17564783499772,0.2542581558227539,19.702507925664506,0.9161518989063192,18.673126765921428,0.9091134701136292,2.0
yacht,outer_0,streed,4,20,3,0.05,0.01,0.1,0.9661848043878764,7.537040288681365,0.022670030593872,5.933804302486422,0.9747474674339855,4.930195850243381,0.9760035692947489,2.0
yacht,outer_0,streed,4,20,3,0.05,0.01,0.001,0.9750534351991608,5.716942482382457,0.0034301280975341,4.129253045589691,0.9824271088678516,3.0104494876087333,0.9853474294499892,2.0
yacht,outer_0,streed,4,20,3,0.05,0.001,0.1,0.9801370021648056,4.468286077225104,0.0033340454101562,3.473107584920485,0.9852194717043962,2.278381697821353,0.9889105767412496,2.0
yacht,outer_0,streed,4,20,3,0.05,0.001,0.001,0.980217353773433,4.403798124922505,0.0033533573150634,3.3635470778046743,0.9856857291225471,2.120189221006327,0.9896805369869054,2.0
yacht,outer_0,streed,4,20,3,0.05,0.0001,0.1,0.9804123830496048,4.38926235335044,0.0034286975860595,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.05,0.0001,0.001,0.9803699511051124,4.352528056709898,0.0034902095794677,3.353898348544518,0.9857267912872972,2.0936125286469487,0.9898098920421504,2.0
yacht,outer_0,streed,4,20,3,0.05,1e-05,0.1,0.9804355920108212,4.382313033701094,0.0033295154571533,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.05,1e-05,0.001,0.9803804941669346,4.348441495774995,0.0033357143402099,3.353779831740192,0.9857272956600922,2.091749880116674,0.9898189579936344,2.0
yacht,outer_0,streed,4,20,3,0.03,0.1,0.1,0.8770854641418068,28.416762684115497,1.004558563232422,12.385313531443732,0.9472917343832816,11.092247164695086,0.9460114063338912,3.0
yacht,outer_0,streed,4,20,3,0.03,0.1,0.001,0.8780700200345756,28.17564783499772,0.9703264236450196,11.942341405770737,0.9491768939637392,11.010060639861775,0.9464114276125531,3.0
yacht,outer_0,streed,4,20,3,0.03,0.01,0.1,0.9661848043878764,7.537040288681365,0.0245816707611084,5.933804302486422,0.9747474674339855,4.930195850243381,0.9760035692947489,2.0
yacht,outer_0,streed,4,20,3,0.03,0.01,0.001,0.9750534351991608,5.716942482382457,0.0226469039916992,4.129253045589691,0.9824271088678516,3.0104494876087333,0.9853474294499892,2.0
yacht,outer_0,streed,4,20,3,0.03,0.001,0.1,0.9801370021648056,4.468286077225104,0.0222465991973876,3.473107584920485,0.9852194717043962,2.278381697821353,0.9889105767412496,2.0
yacht,outer_0,streed,4,20,3,0.03,0.001,0.001,0.980217353773433,4.403798124922505,0.0034444332122802,3.3635470778046743,0.9856857291225471,2.120189221006327,0.9896805369869054,2.0
yacht,outer_0,streed,4,20,3,0.03,0.0001,0.1,0.9804123830496048,4.38926235335044,0.004042625427246,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.03,0.0001,0.001,0.9803699511051124,4.352528056709898,0.003486156463623,3.353898348544518,0.9857267912872972,2.0936125286469487,0.9898098920421504,2.0
yacht,outer_0,streed,4,20,3,0.03,1e-05,0.1,0.9804355920108212,4.382313033701094,0.0040738582611083,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.03,1e-05,0.001,0.9803804941669346,4.348441495774995,0.0034096240997314,3.353779831740192,0.9857272956600922,2.091749880116674,0.9898189579936344,2.0
yacht,outer_0,streed,4,20,3,0.01,0.1,0.1,0.8773808819080634,28.32732036577373,4.194068431854248,12.385313531443732,0.9472917343832816,11.092247164695086,0.9460114063338912,3.0
yacht,outer_0,streed,4,20,3,0.01,0.1,0.001,0.8786083694252653,28.012654193175397,4.176515579223633,11.942341405770737,0.9491768939637392,11.010060639861775,0.9464114276125531,3.0
yacht,outer_0,streed,4,20,3,0.01,0.01,0.1,0.9674160186885742,7.164271031011442,3.113330364227295,4.5570539764254505,0.9806065134476126,3.429607774483074,0.9833072868083907,3.0
yacht,outer_0,streed,4,20,3,0.01,0.01,0.001,0.9764573557303744,5.291883730261635,2.7005934715271,3.7333151333152994,0.9841121046166394,2.8980288954012394,0.985894607094183,3.0
yacht,outer_0,streed,4,20,3,0.01,0.001,0.1,0.9823688594203948,3.792556618982395,1.014667510986328,3.473107584920485,0.9852194717043962,2.278381697821353,0.9889105767412496,2.0
yacht,outer_0,streed,4,20,3,0.01,0.001,0.001,0.981719294670302,3.949062184255965,0.0236251354217529,3.3635470778046743,0.9856857291225471,2.120189221006327,0.9896805369869054,2.0
yacht,outer_0,streed,4,20,3,0.01,0.0001,0.1,0.9825498785188138,3.7421023919381127,0.2741463184356689,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.01,0.0001,0.001,0.9816423549955006,3.967288010840194,0.0234396457672119,3.353898348544518,0.9857267912872972,2.0936125286469487,0.9898098920421504,2.0
yacht,outer_0,streed,4,20,3,0.01,1e-05,0.1,0.9825603953184912,3.73899582138008,0.2729485034942627,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.01,1e-05,0.001,0.9816257563675546,3.9714190181556015,0.0234651565551757,3.353779831740192,0.9857272956600922,2.091749880116674,0.9898189579936344,2.0
yacht,outer_0,streed,4,20,3,0.008,0.1,0.1,0.8836002063745361,27.105235836048116,4.310133457183838,12.385313531443732,0.9472917343832816,11.092247164695086,0.9460114063338912,3.0
yacht,outer_0,streed,4,20,3,0.008,0.1,0.001,0.8786083694252653,28.012654193175397,4.259891748428345,11.942341405770737,0.9491768939637392,11.010060639861775,0.9464114276125531,3.0
yacht,outer_0,streed,4,20,3,0.008,0.01,0.1,0.9713982879852264,6.437246908045172,2.520436286926269,4.5570539764254505,0.9806065134476126,3.429607774483074,0.9833072868083907,3.0
yacht,outer_0,streed,4,20,3,0.008,0.01,0.001,0.978039075675558,5.003116580111276,3.008831262588501,3.7333151333152994,0.9841121046166394,2.8980288954012394,0.985894607094183,3.0
yacht,outer_0,streed,4,20,3,0.008,0.001,0.1,0.9823688594203948,3.792556618982395,2.235786199569702,1.756685957381694,0.9925240592568156,0.6862967229209914,0.9966596313300612,3.0
yacht,outer_0,streed,4,20,3,0.008,0.001,0.001,0.981719294670302,3.949062184255965,0.2706565856933594,1.4348947060329402,0.9938935085409348,0.6995320493451461,0.9965952118621444,3.0
yacht,outer_0,streed,4,20,3,0.008,0.0001,0.1,0.9825498785188138,3.7421023919381127,1.0482614040374756,3.431325335180979,0.985397284717506,2.2234377385277835,0.9891780020022148,2.0
yacht,outer_0,streed,4,20,3,0.008,0.0001,0.001,0.9816423549955006,3.967288010840194,0.0250930786132812,1.3883774614967246,0.9940914723045928,0.7535809752286333,0.996332142940736,3.0
yacht,outer_0,streed,4,20,3,0.008,1e-05,0.1,0.9825603953184912,3.73899582138008,1.0536742210388184,3.427913586123202,0.9854118041218874,2.218663734513622,0.9892012382102666,2.0
yacht,outer_0,streed,4,20,3,0.008,1e-05,0.001,0.9816257563675546,3.9714190181556015,0.0250446796417236,1.3877411970206728,0.994094180059784,0.7639985952813864,0.9962814379169797,3.0
yacht,outer_0,streed,4,20,3,0.005,0.1,0.1,0.8836002063745361,27.105235836048116,4.309048891067505,12.385313531443732,0.9472917343832816,11.092247164695086,0.9460114063338912,3.0
yacht,outer_0,streed,4,20,3,0.005,0.1,0.001,0.8853912436991407,26.680058000818587,4.331137418746948,11.942341405770737,0.9491768939637392,11.010060639861775,0.9464114276125531,3.0
yacht,outer_0,streed,4,20,3,0.005,0.01,0.1,0.9765988230565256,5.352733978548248,1.6882905960083008,4.5570539764254505,0.9806065134476126,3.429607774483074,0.9833072868083907,3.0
yacht,outer_0,streed,4,20,3,0.005,0.01,0.001,0.9796249572627396,4.672398863112999,2.0894880294799805,3.7333151333152994,0.9841121046166394,2.8980288954012394,0.985894607094183,3.0
yacht,outer_0,streed,4,20,3,0.005,0.001,0.1,0.9883036465974492,2.6261926832966584,2.527839422225952,1.756685957381694,0.9925240592568156,0.6862967229209914,0.9966596313300612,3.0
yacht,outer_0,streed,4,20,3,0.005,0.001,0.001,0.989319779755959,2.441118032901119,0.2778716087341308,1.4348947060329402,0.9938935085409348,0.6995320493451461,0.9965952118621444,3.0
yacht,outer_0,streed,4,20,3,0.005,0.0001,0.1,0.9885766857036734,2.5580655090067115,2.889177083969116,1.5960383300337344,0.993207728490659,0.6237471344746776,0.9969640749891748,3.0
yacht,outer_0,streed,4,20,3,0.005,0.0001,0.001,0.989588759092064,2.386944999829374,0.2794966697692871,1.3883774614967246,0.9940914723045928,0.7535809752286333,0.996332142940736,3.0
yacht,outer_0,streed,4,20,3,0.005,1e-05,0.1,0.9886351064319534,2.5450638277913997,2.949793100357056,1.5826084855153677,0.9932648819741188,0.6210687666813053,0.99697711123948,3.0
yacht,outer_0,streed,4,20,3,0.005,1e-05,0.001,0.9896042665319152,2.384284073724747,0.2766783237457275,1.3877411970206728,0.994094180059784,0.7639985952813864,0.9962814379169797,3.0
yacht,outer_0,streed,4,20,3,0.003,0.1,0.1,0.8836002063745361,27.105235836048116,4.410564184188843,11.908684335580109,0.9493201285932854,11.010236283259308,0.946410572714544,4.0
yacht,outer_0,streed,4,20,3,0.003,0.1,0.001,0.8853912436991407,26.680058000818587,4.378724575042725,11.45150791587202,0.9512657374874404,10.78406454527619,0.9475114041222312,4.0
yacht,outer_0,streed,4,20,3,0.003,0.01,0.1,0.9765988230565256,5.352733978548248,1.6621909141540527,4.5570539764254505,0.9806065134476126,3.429607774483074,0.9833072868083907,3.0
yacht,outer_0,streed,4,20,3,0.003,0.01,0.001,0.9796249572627396,4.672398863112999,1.6296582221984863,3.7333151333152994,0.9841121046166394,2.8980288954012394,0.985894607094183,3.0
yacht,outer_0,streed,4,20,3,0.003,0.001,0.1,0.9883036465974492,2.6261926832966584,2.1513705253601074,1.756685957381694,0.9925240592568156,0.6862967229209914,0.9966596313300612,3.0
yacht,outer_0,streed,4,20,3,0.003,0.001,0.001,0.989319779755959,2.441118032901119,2.988459348678589,1.4348947060329402,0.9938935085409348,0.6995320493451461,0.9965952118621444,3.0
yacht,outer_0,streed,4,20,3,0.003,0.0001,0.1,0.9885766857036734,2.5580655090067115,2.308910369873047,1.5960383300337344,0.993207728490659,0.6237471344746776,0.9969640749891748,3.0
yacht,outer_0,streed,4,20,3,0.003,0.0001,0.001,0.989588759092064,2.386944999829374,1.051572322845459,1.3883774614967246,0.9940914723045928,0.7535809752286333,0.996332142940736,3.0
