dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_0,streed,4,5,3,0.1,0.1,0.1,0.6399883634105347,16.710715498760344,1.110314130783081,16.483042287668752,0.6456263362521448,19.017059186613302,0.6322975488844962,2
airfoil,outer_0,streed,4,5,3,0.1,0.1,0.001,0.6449078098221198,16.481844017712664,0.9924983978271484,16.250271627476163,0.6506307395792639,18.728778906101425,0.6378715634948677,2
airfoil,outer_0,streed,4,5,3,0.1,0.01,0.1,0.6492085202489936,16.282251639139478,0.6634516716003418,16.012030189814556,0.6557527607236167,18.257940033978997,0.6469754215446837,2
airfoil,outer_0,streed,4,5,3,0.1,0.01,0.001,0.6503503475411976,16.228952763514894,0.6044209003448486,15.939160142008143,0.6573194148259336,18.11707697574539,0.6496990651572873,2
airfoil,outer_0,streed,4,5,3,0.1,0.001,0.1,0.649615815510289,16.26333245229047,0.6502885818481445,15.987545978074603,0.6562791538291392,18.201780496100397,0.6480612886879069,2
airfoil,outer_0,streed,4,5,3,0.1,0.001,0.001,0.6408755746224314,16.678283452930014,0.6174173355102539,15.93446253578065,0.6574204100124185,18.07457759831213,0.6505208076307025,2
airfoil,outer_0,streed,4,5,3,0.1,0.0001,0.1,0.649649284849729,16.261778519584663,0.6597981452941895,15.985390444485718,0.6563254962653164,18.19642409595351,0.6481648568286925,2
airfoil,outer_0,streed,4,5,3,0.1,0.0001,0.001,0.6401639963405721,16.711950953949252,0.6053440570831299,15.934298164118049,0.657423943886037,18.07027204787594,0.6506040571717202,2
airfoil,outer_0,streed,4,5,3,0.1,1e-05,0.1,0.649652554627158,16.261626720311003,0.6520552635192871,15.985177900342501,0.6563300658129416,18.195891125851443,0.6481751620189419,2
airfoil,outer_0,streed,4,5,3,0.1,1e-05,0.001,0.6400777168233069,16.716034122972,0.5819706916809082,15.934284735328339,0.6574242325954467,18.06983894326504,0.6506124314227257,2
airfoil,outer_0,streed,4,5,3,0.08,0.1,0.1,0.6399883634105347,16.710715498760344,1.5242464542388916,16.483042287668752,0.6456263362521448,19.017059186613302,0.6322975488844962,2
airfoil,outer_0,streed,4,5,3,0.08,0.1,0.001,0.6449078098221198,16.481844017712664,1.4962072372436523,16.250271627476163,0.6506307395792639,18.728778906101425,0.6378715634948677,2
airfoil,outer_0,streed,4,5,3,0.08,0.01,0.1,0.6492085202489936,16.282251639139478,1.167365550994873,16.012030189814556,0.6557527607236167,18.257940033978997,0.6469754215446837,2
airfoil,outer_0,streed,4,5,3,0.08,0.01,0.001,0.6503503475411976,16.228952763514894,1.091918706893921,15.939160142008143,0.6573194148259336,18.11707697574539,0.6496990651572873,2
airfoil,outer_0,streed,4,5,3,0.08,0.001,0.1,0.649615815510289,16.26333245229047,1.1583163738250732,15.987545978074603,0.6562791538291392,18.201780496100397,0.6480612886879069,2
airfoil,outer_0,streed,4,5,3,0.08,0.001,0.001,0.6408755746224314,16.678283452930014,1.0379812717437744,15.93446253578065,0.6574204100124185,18.07457759831213,0.6505208076307025,2
airfoil,outer_0,streed,4,5,3,0.08,0.0001,0.1,0.649649284849729,16.261778519584663,1.148989200592041,15.985390444485718,0.6563254962653164,18.19642409595351,0.6481648568286925,2
airfoil,outer_0,streed,4,5,3,0.08,0.0001,0.001,0.6401639963405721,16.711950953949252,1.0378921031951904,15.934298164118049,0.657423943886037,18.07027204787594,0.6506040571717202,2
