dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_2,streed,4,5,3,0.1,0.1,0.1,0.8336421603022389,15.050983998461462,0.01961541175842285,14.558115811367855,0.8385099579840879,11.040297070728705,0.8783735668584853,1
energe_c,outer_2,streed,4,5,3,0.1,0.1,0.001,0.8315282312029382,15.242494275650502,0.0052490234375,14.573712818324784,0.838336943746433,11.011487583451155,0.8786909491857684,1
energe_c,outer_2,streed,4,5,3,0.1,0.01,0.1,0.8393015522709786,14.542336795480196,0.005346775054931641,13.670623745109088,0.8483547162567899,10.196406467271037,0.8876703641640874,1
energe_c,outer_2,streed,4,5,3,0.1,0.01,0.001,0.8356631051644068,14.870461710026328,0.0053577423095703125,14.29890265393253,0.8413853536896655,10.736445266138002,0.8817209777985372,1
energe_c,outer_2,streed,4,5,3,0.1,0.001,0.1,0.8411399747360929,14.374035017629085,0.005649089813232422,13.664792665750445,0.8484193991637557,10.186905559830723,0.8877750317718673,1
energe_c,outer_2,streed,4,5,3,0.1,0.001,0.001,0.8353235451931971,14.900447259964574,0.005561351776123047,14.328850568998266,0.8410531479203942,10.764347270606429,0.8814135928378561,1
energe_c,outer_2,streed,4,5,3,0.1,0.0001,0.1,0.8411315053968828,14.374744925130676,0.005608081817626953,13.66430170960655,0.848424845234479,10.186106967531146,0.8877838295363034,1
energe_c,outer_2,streed,4,5,3,0.1,0.0001,0.001,0.8352873192208046,14.903645765562027,0.00562286376953125,14.332059407855754,0.841017552962322,10.767435977439884,0.8813795658191296,1
energe_c,outer_2,streed,4,5,3,0.1,1e-05,0.1,0.8411306413841609,14.374817415267607,0.005633115768432617,13.664253732845753,0.8484253774303495,10.186028857428681,0.8877846900433254,1
energe_c,outer_2,streed,4,5,3,0.1,1e-05,0.001,0.8352836710363674,14.903967872161743,0.005671024322509766,14.332382669396779,0.841013967091697,10.767748117593726,0.881376127098839,1
energe_c,outer_2,streed,4,5,3,0.08,0.1,0.1,0.9136422407554078,7.87807820974227,0.020872831344604492,10.411629489331263,0.8845060373559265,7.294184069121726,0.9196429602100935,2
energe_c,outer_2,streed,4,5,3,0.08,0.1,0.001,0.9343576800844299,5.934556423797949,0.020678997039794922,5.656429239992164,0.9372544491703325,5.813869736640651,0.9359509771986302,2
energe_c,outer_2,streed,4,5,3,0.08,0.01,0.1,0.8950422840136797,9.62427822768194,0.020796537399291992,5.636736396082335,0.9374728976448203,5.776502513944298,0.9363626365936488,2
energe_c,outer_2,streed,4,5,3,0.08,0.01,0.001,0.890873470610052,9.996871100475488,0.012420654296875,5.9575275171824496,0.9339144308558464,6.055130885270816,0.9332931018918768,2
energe_c,outer_2,streed,4,5,3,0.08,0.001,0.1,0.9340519026314866,5.958370077972069,0.020766735076904297,5.684280282217463,0.9369455035596898,5.803549434962027,0.9360646717372892,2
energe_c,outer_2,streed,4,5,3,0.08,0.001,0.001,0.9292114799245957,6.394194545767138,0.00592350959777832,5.987434792806768,0.9335826758911427,6.087924507868617,0.9329318279767994,2
energe_c,outer_2,streed,4,5,3,0.08,0.0001,0.1,0.9339916005092426,5.963742506539096,0.0203094482421875,5.689477222267102,0.9368878550234475,5.806661504983064,0.9360303873358895,2
energe_c,outer_2,streed,4,5,3,0.08,0.0001,0.001,0.9291685032947429,6.397953192896378,0.005848884582519531,5.990778860071943,0.93354558087348,6.091737441895719,0.9328898224435651,2
energe_c,outer_2,streed,4,5,3,0.08,1e-05,0.1,0.9339855232387242,5.964283959659011,0.0204160213470459,5.690001520337756,0.9368820390979146,5.806977060864517,0.936026910985926,2
energe_c,outer_2,streed,4,5,3,0.08,1e-05,0.001,0.9291641562659511,6.398333439486268,0.0058040618896484375,5.9911171891391595,0.9335418278620335,6.092124581526027,0.9328855574847457,2
energe_c,outer_2,streed,4,5,3,0.05,0.1,0.1,0.9099844400944718,8.18761015352761,0.14851021766662598,5.828057372956363,0.9353506152702162,6.317958842836685,0.9303976338801183,3
energe_c,outer_2,streed,4,5,3,0.05,0.1,0.001,0.9343576800844299,5.934556423797949,0.14379143714904785,5.656429239992164,0.9372544491703325,5.813869736640651,0.9359509771986302,2
