dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_3,streed,4,5,3,0.1,0.1,0.1,0.8499723925422207,22080892.618142005,0.014999866485595703,21791584.010502297,0.8523932960730441,31407722.17958199,0.7789006723517208,2
insurance,outer_3,streed,4,5,3,0.1,0.1,0.001,0.8499727312776315,22080843.97930045,0.01505279541015625,21791477.056209583,0.8523940205348643,31407867.230142303,0.7788996512467461,2
insurance,outer_3,streed,4,5,3,0.1,0.01,0.1,0.8515434032449138,21845694.688278303,0.015457630157470703,21530611.79883804,0.8541610082302569,32324652.067752536,0.772445808142978,2
insurance,outer_3,streed,4,5,3,0.1,0.01,0.001,0.8515431990337046,21845725.006981775,0.015520334243774414,21530598.61210566,0.8541610975514418,32324924.397799153,0.7724438910351451,2
insurance,outer_3,streed,4,5,3,0.1,0.001,0.1,0.8515404389515476,21845798.407185506,0.015103816986083984,21527385.101713758,0.8541828644719536,32454730.580158733,0.7715301011244922,2
insurance,outer_3,streed,4,5,3,0.1,0.001,0.001,0.8515401604892299,21845839.610907447,0.015048503875732422,21527383.3279244,0.8541828764868306,32455018.139848445,0.7715280768053234,2
insurance,outer_3,streed,4,5,3,0.1,0.0001,0.1,0.8515380843075165,21846112.25662908,0.015269041061401367,21527338.28780182,0.8541831815690143,32468189.057405423,0.7714353581739082,2
insurance,outer_3,streed,4,5,3,0.1,0.0001,0.001,0.8515377973174529,21846154.7182114,0.01500701904296875,21527337.678939834,0.8541831856931803,32468478.16897396,0.7714333229300578,2
insurance,outer_3,streed,4,5,3,0.1,1e-05,0.1,0.8515378289622845,21846146.5760025,0.015032529830932617,21527336.41923751,0.8541831942258555,32469539.487682357,0.7714258516192922,2
insurance,outer_3,streed,4,5,3,0.1,1e-05,0.001,0.8515375411176804,21846189.163631264,0.015223503112792969,21527335.927108336,0.8541831975593244,32469828.75473239,0.7714238152809068,2
insurance,outer_3,streed,4,5,3,0.08,0.1,0.1,0.8499723925422207,22080892.618142005,0.12132477760314941,21791584.010502297,0.8523932960730441,31407722.17958199,0.7789006723517208,2
insurance,outer_3,streed,4,5,3,0.08,0.1,0.001,0.8499727312776315,22080843.97930045,0.12030029296875,21791477.056209583,0.8523940205348643,31407867.230142303,0.7788996512467461,2
insurance,outer_3,streed,4,5,3,0.08,0.01,0.1,0.8515434032449138,21845694.688278303,0.015949010848999023,21530611.79883804,0.8541610082302569,32324652.067752536,0.772445808142978,2
insurance,outer_3,streed,4,5,3,0.08,0.01,0.001,0.8515431990337046,21845725.006981775,0.01565384864807129,21530598.61210566,0.8541610975514418,32324924.397799153,0.7724438910351451,2
insurance,outer_3,streed,4,5,3,0.08,0.001,0.1,0.8515404389515476,21845798.407185506,0.01559138298034668,21527385.101713758,0.8541828644719536,32454730.580158733,0.7715301011244922,2
insurance,outer_3,streed,4,5,3,0.08,0.001,0.001,0.8515401604892299,21845839.610907447,0.015729665756225586,21527383.3279244,0.8541828764868306,32455018.139848445,0.7715280768053234,2
insurance,outer_3,streed,4,5,3,0.08,0.0001,0.1,0.8515380843075165,21846112.25662908,0.015790462493896484,21527338.28780182,0.8541831815690143,32468189.057405423,0.7714353581739082,2
insurance,outer_3,streed,4,5,3,0.08,0.0001,0.001,0.8515377973174529,21846154.7182114,0.01566290855407715,21527337.678939834,0.8541831856931803,32468478.16897396,0.7714333229300578,2
insurance,outer_3,streed,4,5,3,0.08,1e-05,0.1,0.8515378289622845,21846146.5760025,0.015714645385742188,21527336.41923751,0.8541831942258555,32469539.487682357,0.7714258516192922,2
insurance,outer_3,streed,4,5,3,0.08,1e-05,0.001,0.8515375411176804,21846189.163631264,0.01609015464782715,21527335.927108336,0.8541831975593244,32469828.75473239,0.7714238152809068,2
insurance,outer_3,streed,4,5,3,0.05,0.1,0.1,0.8499723925422207,22080892.618142005,0.45720553398132324,21791584.010502297,0.8523932960730441,31407722.17958199,0.7789006723517208,2
insurance,outer_3,streed,4,5,3,0.05,0.1,0.001,0.8499727312776315,22080843.97930045,0.4544968605041504,21791477.056209583,0.8523940205348643,31407867.230142303,0.7788996512467461,2
insurance,outer_3,streed,4,5,3,0.05,0.01,0.1,0.8515434032449138,21845694.688278303,0.12959051132202148,21530611.79883804,0.8541610082302569,32324652.067752536,0.772445808142978,2
insurance,outer_3,streed,4,5,3,0.05,0.01,0.001,0.8515431990337046,21845725.006981775,0.1273026466369629,21530598.61210566,0.8541610975514418,32324924.397799153,0.7724438910351451,2
insurance,outer_3,streed,4,5,3,0.05,0.001,0.1,0.8515404389515476,21845798.407185506,0.1262803077697754,21527385.101713758,0.8541828644719536,32454730.580158733,0.7715301011244922,2
insurance,outer_3,streed,4,5,3,0.05,0.001,0.001,0.8515401604892299,21845839.610907447,0.12523174285888672,21527383.3279244,0.8541828764868306,32455018.139848445,0.7715280768053234,2
insurance,outer_3,streed,4,5,3,0.05,0.0001,0.1,0.8515380843075165,21846112.25662908,0.126373291015625,21527338.28780182,0.8541831815690143,32468189.057405423,0.7714353581739082,2
insurance,outer_3,streed,4,5,3,0.05,0.0001,0.001,0.8515377973174529,21846154.7182114,0.12496161460876465,21527337.678939834,0.8541831856931803,32468478.16897396,0.7714333229300578,2
insurance,outer_3,streed,4,5,3,0.05,1e-05,0.1,0.8515378289622845,21846146.5760025,0.1259169578552246,21527336.41923751,0.8541831942258555,32469539.487682357,0.7714258516192922,2
insurance,outer_3,streed,4,5,3,0.05,1e-05,0.001,0.8515375411176804,21846189.163631264,0.12558555603027344,21527335.927108336,0.8541831975593244,32469828.75473239,0.7714238152809068,2
insurance,outer_3,streed,4,5,3,0.03,0.1,0.1,0.8621677528467288,20270031.18581043,0.9724633693695068,18061167.715923354,0.877661512153749,27619800.7076282,0.8055663084600891,3
insurance,outer_3,streed,4,5,3,0.03,0.1,0.001,0.8621682239166927,20269962.464732412,0.9731056690216064,18061067.109844763,0.8776621936155302,27619835.14656334,0.8055660660220874,3
insurance,outer_3,streed,4,5,3,0.03,0.01,0.1,0.8569247855614656,21009342.922380045,0.9583830833435059,21530611.79883804,0.8541610082302569,32324652.067752536,0.772445808142978,2
insurance,outer_3,streed,4,5,3,0.03,0.01,0.001,0.8569247580067932,21009345.785868853,0.9640073776245117,21530598.61210566,0.8541610975514418,32324924.397799153,0.7724438910351451,2
insurance,outer_3,streed,4,5,3,0.03,0.001,0.1,0.8515404389515476,21845798.407185506,0.9649503231048584,21527385.101713758,0.8541828644719536,32454730.580158733,0.7715301011244922,2
insurance,outer_3,streed,4,5,3,0.03,0.001,0.001,0.8515401604892299,21845839.610907447,0.9816265106201172,21527383.3279244,0.8541828764868306,32455018.139848445,0.7715280768053234,2
insurance,outer_3,streed,4,5,3,0.03,0.0001,0.1,0.8515380843075165,21846112.25662908,0.9688856601715088,21527338.28780182,0.8541831815690143,32468189.057405423,0.7714353581739082,2
insurance,outer_3,streed,4,5,3,0.03,0.0001,0.001,0.8515377973174529,21846154.7182114,0.9721689224243164,21527337.678939834,0.8541831856931803,32468478.16897396,0.7714333229300578,2
insurance,outer_3,streed,4,5,3,0.03,1e-05,0.1,0.8515378289622845,21846146.5760025,0.9725596904754639,21527336.41923751,0.8541831942258555,32469539.487682357,0.7714258516192922,2
insurance,outer_3,streed,4,5,3,0.03,1e-05,0.001,0.8515375411176804,21846189.163631264,0.9671814441680908,21527335.927108336,0.8541831975593244,32469828.75473239,0.7714238152809068,2
insurance,outer_3,streed,4,5,3,0.01,0.1,0.1,0.8711952483242866,18962528.354230855,1.2290515899658203,18061167.715923354,0.877661512153749,27619800.7076282,0.8055663084600891,3
insurance,outer_3,streed,4,5,3,0.01,0.1,0.001,0.871195724898152,18962458.8359919,1.2280495166778564,18061067.109844763,0.8776621936155302,27619835.14656334,0.8055660660220874,3
insurance,outer_3,streed,4,5,3,0.01,0.01,0.1,0.8717032010837521,18884058.35901742,1.1440939903259277,17898927.224575866,0.8787604586167391,27905983.084466282,0.803551685090018,3
insurance,outer_3,streed,4,5,3,0.01,0.01,0.001,0.8717031437996919,18884065.65301478,1.152275800704956,17898913.71041165,0.8787605501558047,27906132.2870985,0.8035506347559161,3
insurance,outer_3,streed,4,5,3,0.01,0.001,0.1,0.871613294617639,18896723.07758489,1.1670136451721191,17896707.022270005,0.8787754973006761,27954070.587083545,0.803213165969269,3
insurance,outer_3,streed,4,5,3,0.01,0.001,0.001,0.8716131503438217,18896743.008888975,1.1492490768432617,17896705.185911816,0.878775509739367,27954235.09471629,0.8032120078933416,3
insurance,outer_3,streed,4,5,3,0.01,0.0001,0.1,0.8716022853030986,18898283.58975673,1.1383435726165771,17896670.178267058,0.8787757468659133,27959131.17258014,0.8031775412256341,3
insurance,outer_3,streed,4,5,3,0.01,0.0001,0.001,0.8716021310571765,18898304.978774477,1.137345552444458,17896669.54936983,0.8787757511257894,27959297.26196814,0.8031763720147054,3
insurance,outer_3,streed,4,5,3,0.01,1e-05,0.1,0.8716011632714092,18898442.71421771,1.1414356231689453,17896668.40540004,0.8787757588745427,27959639.825008057,0.8031739604912791,3
insurance,outer_3,streed,4,5,3,0.01,1e-05,0.001,0.8716010080240588,18898464.249621704,1.1301078796386719,17896667.897659533,0.878775762313756,27959806.073101953,0.8031727901631167,3
insurance,outer_3,streed,4,5,3,0.008,0.1,0.1,0.8711952483242866,18962528.354230855,1.429459571838379,18061167.715923354,0.877661512153749,27619800.7076282,0.8055663084600891,3
insurance,outer_3,streed,4,5,3,0.008,0.1,0.001,0.871195724898152,18962458.8359919,1.4323666095733643,18061067.109844763,0.8776621936155302,27619835.14656334,0.8055660660220874,3
insurance,outer_3,streed,4,5,3,0.008,0.01,0.1,0.8717032010837521,18884058.35901742,1.3611257076263428,17898927.224575866,0.8787604586167391,27905983.084466282,0.803551685090018,3
insurance,outer_3,streed,4,5,3,0.008,0.01,0.001,0.8717031437996919,18884065.65301478,1.3634672164916992,17898913.71041165,0.8787605501558047,27906132.2870985,0.8035506347559161,3
insurance,outer_3,streed,4,5,3,0.008,0.001,0.1,0.871613294617639,18896723.07758489,1.345292091369629,17896707.022270005,0.8787754973006761,27954070.587083545,0.803213165969269,3
insurance,outer_3,streed,4,5,3,0.008,0.001,0.001,0.8716131503438217,18896743.008888975,1.3508045673370361,17896705.185911816,0.878775509739367,27954235.09471629,0.8032120078933416,3
insurance,outer_3,streed,4,5,3,0.008,0.0001,0.1,0.8716022853030986,18898283.58975673,1.3431520462036133,17896670.178267058,0.8787757468659133,27959131.17258014,0.8031775412256341,3
insurance,outer_3,streed,4,5,3,0.008,0.0001,0.001,0.8716021310571765,18898304.978774477,1.3442234992980957,17896669.54936983,0.8787757511257894,27959297.26196814,0.8031763720147054,3
insurance,outer_3,streed,4,5,3,0.008,1e-05,0.1,0.8716011632714092,18898442.71421771,1.3467328548431396,17896668.40540004,0.8787757588745427,27959639.825008057,0.8031739604912791,3
insurance,outer_3,streed,4,5,3,0.008,1e-05,0.001,0.8716010080240588,18898464.249621704,1.3711531162261963,17896667.897659533,0.878775762313756,27959806.073101953,0.8031727901631167,3
insurance,outer_3,streed,4,5,3,0.005,0.1,0.1,0.8719322608976176,18854948.20416209,1.6215667724609375,18061167.715923354,0.877661512153749,27619800.7076282,0.8055663084600891,3
insurance,outer_3,streed,4,5,3,0.005,0.1,0.001,0.8719330459369771,18854832.685621228,1.603147268295288,18061067.109844763,0.8776621936155302,27619835.14656334,0.8055660660220874,3
insurance,outer_3,streed,4,5,3,0.005,0.01,0.1,0.8717032010837521,18884058.35901742,1.552177906036377,17898927.224575866,0.8787604586167391,27905983.084466282,0.803551685090018,3
insurance,outer_3,streed,4,5,3,0.005,0.01,0.001,0.8717031437996919,18884065.65301478,1.5433051586151123,17898913.71041165,0.8787605501558047,27906132.2870985,0.8035506347559161,3
