dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_3,streed,4,5,3,0.1,0.1,0.1,0.5909556439365923,0.013418576032849119,0.34178781509399414,0.013733885726669205,0.5863779997447398,0.01565387877819519,0.4710349478811834,2
synch,outer_3,streed,4,5,3,0.1,0.1,0.001,0.973752623286782,0.0008601313025022285,0.0035164356231689453,0.0008354944790238606,0.9748375001442591,0.0008960316155836025,0.9697219189599516,1
synch,outer_3,streed,4,5,3,0.1,0.01,0.1,0.6111832173102547,0.012725079791441498,0.35840439796447754,0.013040240574876691,0.6072684382456698,0.014848912769761411,0.4982358028666045,2
synch,outer_3,streed,4,5,3,0.1,0.01,0.001,0.9858426013430903,0.00046160674569601957,0.0036687850952148438,0.0004422588089689125,0.9866805376980085,0.00043691826583848665,0.9852359599473298,1
synch,outer_3,streed,4,5,3,0.1,0.001,0.1,0.6135014501603576,0.012645472446685345,0.34180593490600586,0.012963348585693585,0.6095841862431766,0.014759182792609422,0.5012678962354977,2
synch,outer_3,streed,4,5,3,0.1,0.001,0.001,0.9897515461072374,0.00033362376705248323,0.0036580562591552734,0.0003177809481697656,0.9904294244148434,0.0003092185025943004,0.9895511020841217,1
synch,outer_3,streed,4,5,3,0.1,0.0001,0.1,0.6137365599749748,0.012637397704750445,0.34363245964050293,0.012955571788806894,0.6098183992217807,0.014750101723794682,0.5015747574362868,2
synch,outer_3,streed,4,5,3,0.1,0.0001,0.001,0.9898995919722756,0.0003287640874249567,0.003840208053588867,0.0003130300358468038,0.9905725071444633,0.00030388161975244114,0.9897314423403991,1
synch,outer_3,streed,4,5,3,0.1,1e-05,0.1,0.6137601045892437,0.012636589063509849,0.3489508628845215,0.012954793218312298,0.6098418473479501,0.014749192517249406,0.5016054807154448,2
synch,outer_3,streed,4,5,3,0.1,1e-05,0.001,0.989914500123415,0.00032827476684873445,0.003392457962036133,0.00031255179078885963,0.9905869104008626,0.0003033450773072543,0.9897495728118626,1
synch,outer_3,streed,4,5,3,0.08,0.1,0.1,0.603064448463456,0.012984430691449925,0.40454792976379395,0.013733885726669205,0.5863779997447398,0.01565387877819519,0.4710349478811834,2
synch,outer_3,streed,4,5,3,0.08,0.1,0.001,0.973752623286782,0.0008601313025022285,0.003935575485229492,0.0008354944790238606,0.9748375001442591,0.0008960316155836025,0.9697219189599516,1
synch,outer_3,streed,4,5,3,0.08,0.01,0.1,0.6182428950152804,0.012471964285231361,0.39505577087402344,0.013040240574876691,0.6072684382456698,0.014848912769761411,0.4982358028666045,2
synch,outer_3,streed,4,5,3,0.08,0.01,0.001,0.9858426013430903,0.00046160674569601957,0.003441333770751953,0.0004422588089689125,0.9866805376980085,0.00043691826583848665,0.9852359599473298,1
synch,outer_3,streed,4,5,3,0.08,0.001,0.1,0.6198312015113884,0.012418527494756465,0.39618778228759766,0.012963348585693585,0.6095841862431766,0.014759182792609422,0.5012678962354977,2
synch,outer_3,streed,4,5,3,0.08,0.001,0.001,0.9897515461072374,0.00033362376705248323,0.003983974456787109,0.0003177809481697656,0.9904294244148434,0.0003092185025943004,0.9895511020841217,1
synch,outer_3,streed,4,5,3,0.08,0.0001,0.1,0.61999175975612,0.012413125701805756,0.38816118240356445,0.012955571788806894,0.6098183992217807,0.014750101723794682,0.5015747574362868,2
synch,outer_3,streed,4,5,3,0.08,0.0001,0.001,0.9898995919722756,0.0003287640874249567,0.003900289535522461,0.0003130300358468038,0.9905725071444633,0.00030388161975244114,0.9897314423403991,1
synch,outer_3,streed,4,5,3,0.08,1e-05,0.1,0.6200078334099047,0.012412584922077237,0.3924722671508789,0.012954793218312298,0.6098418473479501,0.014749192517249406,0.5016054807154448,2
synch,outer_3,streed,4,5,3,0.08,1e-05,0.001,0.989914500123415,0.00032827476684873445,0.0037353038787841797,0.00031255179078885963,0.9905869104008626,0.0003033450773072543,0.9897495728118626,1
synch,outer_3,streed,4,5,3,0.05,0.1,0.1,0.5651468125085477,0.014206273590050444,0.4453616142272949,0.015520741435458183,0.5325634532175587,0.016141545504365945,0.45455605093298124,3
synch,outer_3,streed,4,5,3,0.05,0.1,0.001,0.973752623286782,0.0008601313025022285,0.003941774368286133,0.0008354944790238606,0.9748375001442591,0.0008960316155836025,0.9697219189599516,1
synch,outer_3,streed,4,5,3,0.05,0.01,0.1,0.5767670465298561,0.013808465616580503,0.45328378677368164,0.015155287959646966,0.543569777332499,0.015712904337530084,0.46904039697707034,3
synch,outer_3,streed,4,5,3,0.05,0.01,0.001,0.9858426013430903,0.00046160674569601957,0.00396728515625,0.0004422588089689125,0.9866805376980085,0.00043691826583848665,0.9852359599473298,1
synch,outer_3,streed,4,5,3,0.05,0.001,0.1,0.5779703707760713,0.013767434341804899,0.4371345043182373,0.015114121965943783,0.5448095692600627,0.015664364681395496,0.47068061548782225,3
synch,outer_3,streed,4,5,3,0.05,0.001,0.001,0.9897515461072374,0.00033362376705248323,0.0035223960876464844,0.0003177809481697656,0.9904294244148434,0.0003092185025943004,0.9895511020841217,1
synch,outer_3,streed,4,5,3,0.05,0.0001,0.1,0.5780921627785197,0.013763281736907355,0.4432089328765869,0.015109947608469934,0.5449352879475832,0.01565943894181596,0.47084706267515086,3
synch,outer_3,streed,4,5,3,0.05,0.0001,0.001,0.9898995919722756,0.0003287640874249567,0.004019737243652344,0.0003130300358468038,0.9905725071444633,0.00030388161975244114,0.9897314423403991,1
synch,outer_3,streed,4,5,3,0.05,1e-05,0.1,0.5781043571800998,0.013762865960667024,0.44474005699157715,0.0151095295796892,0.5449478776766585,0.015658945629987747,0.47086373232748546,3
synch,outer_3,streed,4,5,3,0.05,1e-05,0.001,0.989914500123415,0.00032827476684873445,0.003930330276489258,0.00031255179078885963,0.9905869104008626,0.0003033450773072543,0.9897495728118626,1
synch,outer_3,streed,4,5,3,0.03,0.1,0.1,0.5651468125085477,0.014206273590050444,0.4610271453857422,0.015520741435458183,0.5325634532175587,0.016141545504365945,0.45455605093298124,3
synch,outer_3,streed,4,5,3,0.03,0.1,0.001,0.973752623286782,0.0008601313025022285,0.009321451187133789,0.0008354944790238606,0.9748375001442591,0.0008960316155836025,0.9697219189599516,1
synch,outer_3,streed,4,5,3,0.03,0.01,0.1,0.5767670465298561,0.013808465616580503,0.4505000114440918,0.015155287959646966,0.543569777332499,0.015712904337530084,0.46904039697707034,3
synch,outer_3,streed,4,5,3,0.03,0.01,0.001,0.9858426013430903,0.00046160674569601957,0.00404047966003418,0.0004422588089689125,0.9866805376980085,0.00043691826583848665,0.9852359599473298,1
synch,outer_3,streed,4,5,3,0.03,0.001,0.1,0.5779703707760713,0.013767434341804899,0.45538830757141113,0.015114121965943783,0.5448095692600627,0.015664364681395496,0.47068061548782225,3
synch,outer_3,streed,4,5,3,0.03,0.001,0.001,0.9897515461072374,0.00033362376705248323,0.004141330718994141,0.0003177809481697656,0.9904294244148434,0.0003092185025943004,0.9895511020841217,1
synch,outer_3,streed,4,5,3,0.03,0.0001,0.1,0.5780921627785197,0.013763281736907355,0.44271183013916016,0.015109947608469934,0.5449352879475832,0.01565943894181596,0.47084706267515086,3
synch,outer_3,streed,4,5,3,0.03,0.0001,0.001,0.9898995919722756,0.0003287640874249567,0.003745555877685547,0.0003130300358468038,0.9905725071444633,0.00030388161975244114,0.9897314423403991,1
synch,outer_3,streed,4,5,3,0.03,1e-05,0.1,0.5781043571800998,0.013762865960667024,0.4525721073150635,0.0151095295796892,0.5449478776766585,0.015658945629987747,0.47086373232748546,3
synch,outer_3,streed,4,5,3,0.03,1e-05,0.001,0.989914500123415,0.00032827476684873445,0.0042667388916015625,0.00031255179078885963,0.9905869104008626,0.0003033450773072543,0.9897495728118626,1
synch,outer_3,streed,4,5,3,0.01,0.1,0.1,0.555904379735849,0.014524665422957618,0.45395469665527344,0.015520741435458183,0.5325634532175587,0.016141545504365945,0.45455605093298124,3
synch,outer_3,streed,4,5,3,0.01,0.1,0.001,0.9777176480727156,0.0007370828447778496,0.22627520561218262,0.000691265346792606,0.9791812338373922,0.0006068892542848483,0.9794924177852777,3
synch,outer_3,streed,4,5,3,0.01,0.01,0.1,0.5675040003635009,0.01412754446792216,0.4471752643585205,0.015155287959646966,0.543569777332499,0.015712904337530084,0.46904039697707034,3
synch,outer_3,streed,4,5,3,0.01,0.01,0.001,0.9911455842532302,0.00029826047769958226,0.027440547943115234,0.00010541428384704285,0.9968252490367222,0.00011438312653395544,0.9961348444468072,2
synch,outer_3,streed,4,5,3,0.01,0.001,0.1,0.5687059640159878,0.01408655571353473,0.4524099826812744,0.015114121965943783,0.5448095692600627,0.015664364681395496,0.47068061548782225,3
synch,outer_3,streed,4,5,3,0.01,0.001,0.001,0.9940752736607702,0.000200441222120555,0.008493185043334961,0.0003177809481697656,0.9904294244148434,0.0003092185025943004,0.9895511020841217,1
synch,outer_3,streed,4,5,3,0.01,0.0001,0.1,0.568827628415459,0.014082407045375863,0.4376847743988037,0.015109947608469934,0.5449352879475832,0.01565943894181596,0.47084706267515086,3
synch,outer_3,streed,4,5,3,0.01,0.0001,0.001,0.9942076123322942,0.00019606536668872153,0.00779414176940918,0.0003130300358468038,0.9905725071444633,0.00030388161975244114,0.9897314423403991,1
synch,outer_3,streed,4,5,3,0.01,1e-05,0.1,0.5688398101432458,0.014081991659585092,0.4570145606994629,0.0151095295796892,0.5449478776766585,0.015658945629987747,0.47086373232748546,3
synch,outer_3,streed,4,5,3,0.01,1e-05,0.001,0.9942207824007632,0.0001956295837765755,0.0077991485595703125,0.00031255179078885963,0.9905869104008626,0.0003033450773072543,0.9897495728118626,1
synch,outer_3,streed,4,5,3,0.008,0.1,0.1,0.555904379735849,0.014524665422957618,0.4460890293121338,0.015520741435458183,0.5325634532175587,0.016141545504365945,0.45455605093298124,3
synch,outer_3,streed,4,5,3,0.008,0.1,0.001,0.9762492481833785,0.0007811048788710665,0.277665376663208,0.0006077999079085603,0.9816949537321459,0.0006950193887892839,0.9765143851933611,4
synch,outer_3,streed,4,5,3,0.008,0.01,0.1,0.5675040003635009,0.01412754446792216,0.4478602409362793,0.015155287959646966,0.543569777332499,0.015712904337530084,0.46904039697707034,3
synch,outer_3,streed,4,5,3,0.008,0.01,0.001,0.9965482889822974,0.0001150521394463576,0.03536868095397949,0.00010541428384704285,0.9968252490367222,0.00011438312653395544,0.9961348444468072,2
synch,outer_3,streed,4,5,3,0.008,0.001,0.1,0.5687059640159878,0.01408655571353473,0.4623432159423828,0.015114121965943783,0.5448095692600627,0.015664364681395496,0.47068061548782225,3
synch,outer_3,streed,4,5,3,0.008,0.001,0.001,0.9987803085758081,4.056954214047434e-05,0.009191751480102539,3.576562243108804e-05,0.9989228504893124,3.91628920148933e-05,0.9986766346214053,2
synch,outer_3,streed,4,5,3,0.008,0.0001,0.1,0.568827628415459,0.014082407045375863,0.45577287673950195,0.015109947608469934,0.5449352879475832,0.01565943894181596,0.47084706267515086,3
synch,outer_3,streed,4,5,3,0.008,0.0001,0.001,0.9989219573418476,3.585714198079866e-05,0.008856773376464844,3.1672469315678074e-05,0.9990461235536615,3.463523272228465e-05,0.9988296301548207,2
synch,outer_3,streed,4,5,3,0.008,1e-05,0.1,0.5688398101432458,0.014081991659585092,0.4595146179199219,0.0151095295796892,0.5449478776766585,0.015658945629987747,0.47086373232748546,3
synch,outer_3,streed,4,5,3,0.008,1e-05,0.001,0.998935741262945,3.539855014472784e-05,0.00880885124206543,3.127711415722748e-05,0.9990580304236256,3.419723486131834e-05,0.9988444306758059,2
synch,outer_3,streed,4,5,3,0.005,0.1,0.1,0.555904379735849,0.014524665422957618,0.45933055877685547,0.015520741435458183,0.5325634532175587,0.016141545504365945,0.45455605093298124,3
synch,outer_3,streed,4,5,3,0.005,0.1,0.001,0.98241932050051,0.0005790533107237089,0.33508872985839844,0.0005259107618291567,0.9841612005813376,0.0005168864677032232,0.9825337297418583,6
synch,outer_3,streed,4,5,3,0.005,0.01,0.1,0.5675040003635009,0.01412754446792216,0.4447596073150635,0.015155287959646966,0.543569777332499,0.015712904337530084,0.46904039697707034,3
synch,outer_3,streed,4,5,3,0.005,0.01,0.001,0.9965482889822974,0.0001150521394463576,0.15792560577392578,0.00010541428384704285,0.9968252490367222,0.00011438312653395544,0.9961348444468072,2
synch,outer_3,streed,4,5,3,0.005,0.001,0.1,0.5687059640159878,0.01408655571353473,0.4636805057525635,0.015114121965943783,0.5448095692600627,0.015664364681395496,0.47068061548782225,3
synch,outer_3,streed,4,5,3,0.005,0.001,0.001,0.9987803085758081,4.056954214047434e-05,0.03933000564575195,3.576562243108804e-05,0.9989228504893124,3.91628920148933e-05,0.9986766346214053,2
