dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_1,streed,4,1202,3,0.1,0.1,0.1,0.6321018272050679,17.453687351062097,599.6328191757202,17.00480185262378,0.6421178694295984,16.27747991569627,0.6588315784766239,2
airfoil,outer_1,streed,4,1202,3,0.1,0.1,0.001,0.6403705651156768,17.062553479893783,599.4820964336395,16.52733850112273,0.6521665370345147,17.01540291572044,0.6433650550081308,2
airfoil,outer_1,streed,4,1202,3,0.1,0.01,0.1,0.6443673369900614,16.87382400014945,227.2203357219696,16.21063563171436,0.6588318483179941,17.109880008244495,0.6413848590138191,2
airfoil,outer_1,streed,4,1202,3,0.1,0.01,0.001,0.6516101525649128,16.52218754991233,207.06141924858093,16.016355659178743,0.6629206540036352,17.2105265691702,0.639275353826246,2
airfoil,outer_1,streed,4,1202,3,0.1,0.001,0.1,0.6447349588588539,16.85641267554285,222.45002794265747,16.145552807262554,0.6602015778849846,17.128287667311042,0.6409990430263198,2
airfoil,outer_1,streed,4,1202,3,0.1,0.001,0.001,0.6517741804463332,16.511194637450462,205.5547697544098,15.948346423133948,0.6643519726690991,17.261458509589367,0.6382078440023713,2
airfoil,outer_1,streed,4,1202,3,0.1,0.0001,0.1,0.6447704671446924,16.854738627361375,222.26760172843933,16.136720664483843,0.6603874586792768,17.128583178553235,0.6409928492478871,2
airfoil,outer_1,streed,4,1202,3,0.1,0.0001,0.001,0.651598849887786,16.51880965135425,204.88062953948975,15.943806279915547,0.6644475242751794,17.27262151733085,0.637973872543009,2
airfoil,outer_1,streed,4,1202,3,0.1,1e-05,0.1,0.6447732009742454,16.85460914278239,221.7275607585907,16.135795004057954,0.6604069400780177,17.12858332768971,0.6409928461220558,2
airfoil,outer_1,streed,4,1202,3,0.1,1e-05,0.001,0.6515763532288752,16.51979855397561,198.5028531551361,15.943466292404223,0.6644546796337643,17.273929174723413,0.6379464646511963,2
airfoil,outer_1,streed,4,1202,3,0.08,0.1,0.1,0.6321018272050679,17.453687351062097,599.2882659435272,17.00480185262378,0.6421178694295984,16.27747991569627,0.6588315784766239,2
airfoil,outer_1,streed,4,1202,3,0.08,0.1,0.001,0.6403705651156768,17.062553479893783,599.8256514072418,16.52733850112273,0.6521665370345147,17.01540291572044,0.6433650550081308,2
airfoil,outer_1,streed,4,1202,3,0.08,0.01,0.1,0.6443673369900614,16.87382400014945,599.973554611206,16.21063563171436,0.6588318483179941,17.109880008244495,0.6413848590138191,2
airfoil,outer_1,streed,4,1202,3,0.08,0.01,0.001,0.6516101525649128,16.52218754991233,599.1843338012695,16.016355659178743,0.6629206540036352,17.2105265691702,0.639275353826246,2
airfoil,outer_1,streed,4,1202,3,0.08,0.001,0.1,0.6447349588588539,16.85641267554285,599.1271507740021,16.145552807262554,0.6602015778849846,17.128287667311042,0.6409990430263198,2
airfoil,outer_1,streed,4,1202,3,0.08,0.001,0.001,0.6755324999933782,15.394630724617334,599.8472423553467,15.948346423133948,0.6643519726690991,17.261458509589367,0.6382078440023713,2
airfoil,outer_1,streed,4,1202,3,0.08,0.0001,0.1,0.6447704671446924,16.854738627361375,599.7141711711884,16.136720664483843,0.6603874586792768,17.128583178553235,0.6409928492478871,2
airfoil,outer_1,streed,4,1202,3,0.08,0.0001,0.001,0.6750219864451409,15.41799825122483,599.6450624465942,15.943806279915547,0.6644475242751794,17.27262151733085,0.637973872543009,2
airfoil,outer_1,streed,4,1202,3,0.08,1e-05,0.1,0.6447732009742454,16.85460914278239,599.8293216228485,16.135795004057954,0.6604069400780177,17.12858332768971,0.6409928461220558,2
airfoil,outer_1,streed,4,1202,3,0.08,1e-05,0.001,0.6749523181831752,15.421204066097793,599.7011117935181,15.943466292404223,0.6644546796337643,17.273929174723413,0.6379464646511963,2
