dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,streed,4,1634,3,0.1,0.1,0.1,0.8396204608795843,17120033.312402457,1.9490458965301514,16805888.249943558,0.8422754789170368,18658740.637679763,0.8330165276078381,3
auction,outer_0,streed,4,1634,3,0.1,0.1,0.001,0.8396229139072329,17119768.925389092,1.9565362930297852,16805570.667571936,0.8422784594514021,18658612.89423184,0.8330176708277864,3
auction,outer_0,streed,4,1634,3,0.1,0.01,0.1,0.8697639215259639,13890436.774869949,1.8901875019073486,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3
auction,outer_0,streed,4,1634,3,0.1,0.01,0.001,0.8697640924259197,13890412.14642187,1.8892426490783691,13536198.724460403,0.8729617602267168,16003560.375618774,0.8567786468524092,3
auction,outer_0,streed,4,1634,3,0.1,0.001,0.1,0.8711572914222505,13735521.47549788,1.8924980163574219,13359391.866471231,0.8746211058433115,15966767.50004674,0.8571079189207451,3
auction,outer_0,streed,4,1634,3,0.1,0.001,0.001,0.8711561993495018,13735629.758048778,1.9007411003112793,13359373.024054892,0.8746212826808014,15966975.545499295,0.857106057050603,3
auction,outer_0,streed,4,1634,3,0.1,0.0001,0.1,0.8711560910330273,13734832.391282668,1.8974602222442627,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3
auction,outer_0,streed,4,1634,3,0.1,0.0001,0.001,0.8711550673616731,13734931.887669317,1.9037694931030273,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3
auction,outer_0,streed,4,1634,3,0.1,1e-05,0.1,0.8711541156340123,13734958.88494564,1.8982653617858887,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3
auction,outer_0,streed,4,1634,3,0.1,1e-05,0.001,0.8711530741955286,13735060.256113134,1.8979158401489258,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3
auction,outer_0,streed,4,1634,3,0.08,0.1,0.1,0.8396204608795843,17120033.312402457,9.979315996170044,16805888.249943558,0.8422754789170368,18658740.637679763,0.8330165276078381,3
auction,outer_0,streed,4,1634,3,0.08,0.1,0.001,0.8396229139072329,17119768.925389092,9.972673416137695,16805570.667571936,0.8422784594514021,18658612.89423184,0.8330176708277864,3
auction,outer_0,streed,4,1634,3,0.08,0.01,0.1,0.8697639215259639,13890436.774869949,1.9755396842956543,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3
auction,outer_0,streed,4,1634,3,0.08,0.01,0.001,0.8697640924259197,13890412.14642187,1.9792349338531494,13536198.724460403,0.8729617602267168,16003560.375618774,0.8567786468524092,3
auction,outer_0,streed,4,1634,3,0.08,0.001,0.1,0.8711572914222505,13735521.47549788,1.9610142707824707,13359391.866471231,0.8746211058433115,15966767.50004674,0.8571079189207451,3
auction,outer_0,streed,4,1634,3,0.08,0.001,0.001,0.8711561993495018,13735629.758048778,1.976168155670166,13359373.024054892,0.8746212826808014,15966975.545499295,0.857106057050603,3
auction,outer_0,streed,4,1634,3,0.08,0.0001,0.1,0.8711560910330273,13734832.391282668,1.9662652015686035,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3
auction,outer_0,streed,4,1634,3,0.08,0.0001,0.001,0.8711550673616731,13734931.887669317,1.9679596424102783,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3
auction,outer_0,streed,4,1634,3,0.08,1e-05,0.1,0.8711541156340123,13734958.88494564,1.9707772731781006,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3
auction,outer_0,streed,4,1634,3,0.08,1e-05,0.001,0.8711530741955286,13735060.256113134,1.9754090309143066,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3
auction,outer_0,streed,4,1634,3,0.05,0.1,0.1,0.8739719132145533,13432453.35112755,39.44615054130554,12889117.74293698,0.8790346637468873,15467378.764804186,0.8615771200690763,4
auction,outer_0,streed,4,1634,3,0.05,0.1,0.001,0.873971342745687,13432510.774187706,39.7287437915802,12889040.81949165,0.8790353856791884,15467379.136301143,0.8615771167444226,4
auction,outer_0,streed,4,1634,3,0.05,0.01,0.1,0.8697639215259639,13890436.774869949,9.927489995956421,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3
auction,outer_0,streed,4,1634,3,0.05,0.01,0.001,0.8697640924259197,13890412.14642187,9.99332880973816,13536198.724460403,0.8729617602267168,16003560.375618774,0.8567786468524092,3
auction,outer_0,streed,4,1634,3,0.05,0.001,0.1,0.8711572914222505,13735521.47549788,10.214460611343384,13359391.866471231,0.8746211058433115,15966767.50004674,0.8571079189207451,3
auction,outer_0,streed,4,1634,3,0.05,0.001,0.001,0.8711561993495018,13735629.758048778,10.217604160308838,13359373.024054892,0.8746212826808014,15966975.545499295,0.857106057050603,3
auction,outer_0,streed,4,1634,3,0.05,0.0001,0.1,0.8711560910330273,13734832.391282668,10.254298210144043,13355611.713180484,0.8746565828653252,15978813.835121265,0.8570001121346708,3
auction,outer_0,streed,4,1634,3,0.05,0.0001,0.001,0.8711550673616731,13734931.887669317,10.330620050430298,13355608.582523398,0.8746566122467767,15979035.470185688,0.856998128646429,3
auction,outer_0,streed,4,1634,3,0.05,1e-05,0.1,0.8711541156340123,13734958.88494564,10.177496910095215,13355420.5381868,0.8746583770569725,15980225.422314882,0.8569874793565133,3
auction,outer_0,streed,4,1634,3,0.05,1e-05,0.001,0.8711530741955286,13735060.256113134,10.280113935470581,13355419.165947376,0.8746583899355423,15980448.864006208,0.8569854797001474,3
auction,outer_0,streed,4,1634,3,0.03,0.1,0.1,0.8933041823058047,11428705.089924356,55.29030251502991,9412389.1664034,0.9116640220714051,11006611.839035537,0.9014980539231408,5
auction,outer_0,streed,4,1634,3,0.03,0.1,0.001,0.893303770287551,11428746.456828425,55.29464054107666,9412340.378294636,0.9116644799514633,11006674.943968669,0.9014974891754408,5
auction,outer_0,streed,4,1634,3,0.03,0.01,0.1,0.8768197195762211,13171683.128905421,48.22032046318054,13536321.187060812,0.8729606109060315,16003428.008567512,0.8567798314505706,3
auction,outer_0,streed,4,1634,3,0.03,0.01,0.001,0.8768196927662307,13171678.640595065,48.29165029525757,13536198.724460403,0.8729617602267168,16003560.375618774,0.8567786468524092,3
auction,outer_0,streed,4,1634,3,0.03,0.001,0.1,0.8762601854499196,13218426.09254937,48.80578970909119,13359391.866471231,0.8746211058433115,15966767.50004674,0.8571079189207451,3
auction,outer_0,streed,4,1634,3,0.03,0.001,0.001,0.8762564059350346,13218816.041475793,48.57625985145569,13359373.024054892,0.8746212826808014,15966975.545499295,0.857106057050603,3
