dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_0,streed,4,1070.0,3,0.1,0.1,0.1,0.8329248053312087,24416385.047694016,5.281698703765869,23945234.68067612,0.8355146030747372,24050212.317803256,0.8398582346174905,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.1,0.001,0.8329247433768426,24416394.812139686,5.204469442367554,23945147.315514453,0.8355152032063913,24050012.331435632,0.8398595662552134,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.01,0.1,0.8336210249242906,24322120.84333418,5.306415796279907,23732760.920546167,0.8369741348453481,23232263.752739545,0.8453046616789444,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.01,0.001,0.8336202601008743,24322232.79692669,5.316029071807861,23732750.804342788,0.8369742043359064,23232140.23121247,0.8453054841646317,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.001,0.1,0.8335437052787054,24334174.881353933,5.469024896621704,23730276.24979641,0.8369912026277253,23164347.111326665,0.8457568943125273,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.001,0.001,0.8335428566856109,24334299.01677636,5.355642795562744,23730275.254123323,0.8369912094672358,23164232.700653546,0.8457576561322955,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.0001,0.1,0.833534216309415,24335637.092557084,5.387501239776611,23730252.266771004,0.8369913673727156,23157727.59156406,0.8458009713280131,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,0.0001,0.001,0.8335333591846078,24335762.468696967,5.444468259811401,23730252.198948428,0.8369913678386046,23157614.108590577,0.8458017269705611,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,1e-05,0.1,0.8335332495124654,24335785.92994693,5.488429069519043,23730252.155491237,0.8369913681371223,23157067.39953525,0.8458053673107009,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.1,1e-05,0.001,0.8335323915329168,24335911.430387188,5.576584100723267,23730252.180613738,0.8369913679645499,23156954.00950008,0.8458061223344058,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.08,0.1,0.1,0.8329248053312087,24416385.047694016,452.182492017746,23945234.68067612,0.8355146030747372,24050212.317803256,0.8398582346174905,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.08,0.1,0.001,0.8329247433768426,24416394.812139686,488.0759754180908,23945147.315514453,0.8355152032063913,24050012.331435632,0.8398595662552134,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.08,0.01,0.1,0.8336210249242906,24322120.84333418,490.80749440193176,23732760.920546167,0.8369741348453481,23232263.752739545,0.8453046616789444,2.0,full
insurance,outer_0,streed,4,1070.0,3,0.08,0.01,0.001,0.8336202601008743,24322232.79692669,481.1165134906769,23732750.804342788,0.8369742043359064,23232140.23121247,0.8453054841646317,2.0,full
