dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_1,streed,4,504,3,0.1,0.1,0.1,0.17078582431988032,0.03405394208418485,599.8680679798126,0.03501152345815372,0.14989352587557714,0.03543283891402304,0.17206576433243992,1
optical_net,outer_1,streed,4,504,3,0.1,0.1,0.001,0.6593430102327674,0.01396517977171515,599.8272204399109,0.011345454833090613,0.7245237095431105,0.007877690358044786,0.8159275478535742,2
optical_net,outer_1,streed,4,504,3,0.1,0.01,0.1,0.18218648318105493,0.03358683015600978,599.8474762439728,0.034530175242343794,0.1615810274222419,0.03484139053920985,0.18588572268593173,1
optical_net,outer_1,streed,4,504,3,0.1,0.01,0.001,0.8023361987644183,0.008106331015619122,599.8478720188141,0.006950266957221702,0.8312422210279108,0.006155207882459861,0.8561755848605602,2
optical_net,outer_1,streed,4,504,3,0.1,0.001,0.1,0.1834355272929117,0.03353565123244763,599.8503472805023,0.03447796591091121,0.16284870978155408,0.03477709229774809,0.18738813448896507,1
optical_net,outer_1,streed,4,504,3,0.1,0.001,0.001,0.805742406387223,0.007972522853918973,61.709535360336304,0.00661252163584452,0.8394429348486374,0.005853139918114203,0.8632337946130167,2
optical_net,outer_1,streed,4,504,3,0.1,0.0001,0.1,0.18356162730698486,0.03353048432177336,599.8684661388397,0.03447270084858012,0.1629765495077996,0.03477060648777187,0.1875396838507981,1
optical_net,outer_1,streed,4,504,3,0.1,0.0001,0.001,0.805678086817274,0.007975873627174829,60.93387746810913,0.0065899486035853735,0.8399910252762663,0.005816490836350887,0.8640901479402581,2
optical_net,outer_1,streed,4,504,3,0.1,1e-05,0.1,0.18357424938059566,0.03352996713575671,599.8683078289032,0.03447217389740126,0.1629893442840461,0.03476995734208861,0.1875548519815935,1
optical_net,outer_1,streed,4,504,3,0.1,1e-05,0.001,0.8056713289411345,0.00797621863063268,60.850919246673584,0.006588146419703691,0.8400347836744753,0.005814991810237869,0.8641251746295431,2
optical_net,outer_1,streed,4,504,3,0.08,0.1,0.1,0.20506410064266398,0.03258370261007578,599.8666985034943,0.03194646970737829,0.2243153670213306,0.03442747124847613,0.19555748374445792,3
optical_net,outer_1,streed,4,504,3,0.08,0.1,0.001,0.6841182809263012,0.012949336351990895,599.8234612941742,0.011345454833090613,0.7245237095431105,0.007877690358044786,0.8159275478535742,2
optical_net,outer_1,streed,4,504,3,0.08,0.01,0.1,0.21320837292722303,0.03225626130135706,599.8490967750549,0.031875408992574614,0.22604077533675915,0.034320965803105334,0.19804612160724577,3
optical_net,outer_1,streed,4,504,3,0.08,0.01,0.001,0.8023361987644183,0.008106331015619122,599.8394711017609,0.006950266957221702,0.8312422210279108,0.006155207882459861,0.8561755848605602,2
optical_net,outer_1,streed,4,504,3,0.08,0.001,0.1,0.2141043784777338,0.03222022465694237,599.8472497463226,0.031867344268311955,0.22623659298850773,0.034308863649871034,0.19832890411339166,3
optical_net,outer_1,streed,4,504,3,0.08,0.001,0.001,0.805742406387223,0.007972522853918973,599.8470146656036,0.00661252163584452,0.8394429348486374,0.005853139918114203,0.8632337946130167,2
optical_net,outer_1,streed,4,504,3,0.08,0.0001,0.1,0.21419487834415843,0.03221658468250795,599.8461625576019,0.031866526897098624,0.2262564393845391,0.03430763691591579,0.19835756834326235,3
optical_net,outer_1,streed,4,504,3,0.08,0.0001,0.001,0.805678086817274,0.007975873627174829,599.8463797569275,0.0065899486035853735,0.8399910252762663,0.005816490836350887,0.8640901479402581,2
optical_net,outer_1,streed,4,504,3,0.08,1e-05,0.1,0.21420393741611035,0.03221622031822704,599.8513824939728,0.03186644504949669,0.22625842670669538,0.03430751407505443,0.19836043867930597,3
optical_net,outer_1,streed,4,504,3,0.08,1e-05,0.001,0.8056713289411345,0.00797621863063268,599.8453240394592,0.006588146419703691,0.8400347836744753,0.005814991810237869,0.8641251746295431,2
optical_net,outer_1,streed,4,504,3,0.05,0.1,0.1,0.25098464538385673,0.030781867865514286,599.8509256839752,0.03194646970737829,0.2243153670213306,0.03442747124847613,0.19555748374445792,3
optical_net,outer_1,streed,4,504,3,0.05,0.1,0.001,0.7534715046715185,0.010105174177437061,599.8348662853241,0.008067784597806821,0.8041080409815862,0.0070371984435175635,0.8355667315082449,3
optical_net,outer_1,streed,4,504,3,0.05,0.01,0.1,0.2563952585610982,0.030561690135377056,599.851007938385,0.031875408992574614,0.22604077533675915,0.034320965803105334,0.19804612160724577,3
optical_net,outer_1,streed,4,504,3,0.05,0.01,0.001,0.8023361987644183,0.008106331015619122,599.8319547176361,0.006950266957221702,0.8312422210279108,0.006155207882459861,0.8561755848605602,2
optical_net,outer_1,streed,4,504,3,0.05,0.001,0.1,0.2569950718845488,0.030537275510012746,599.8452308177948,0.031867344268311955,0.22623659298850773,0.034308863649871034,0.19832890411339166,3
optical_net,outer_1,streed,4,504,3,0.05,0.001,0.001,0.8151199408692825,0.007588022243827819,599.8411791324615,0.00661252163584452,0.8394429348486374,0.005853139918114203,0.8632337946130167,2
optical_net,outer_1,streed,4,504,3,0.05,0.0001,0.1,0.25705570553468504,0.030534807429041272,599.84787940979,0.031866526897098624,0.2262564393845391,0.03430763691591579,0.19835756834326235,3
optical_net,outer_1,streed,4,504,3,0.05,0.0001,0.001,0.8159868913186177,0.007553188791660723,599.8433232307434,0.0065899486035853735,0.8399910252762663,0.005816490836350887,0.8640901479402581,2
