dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_2,streed,4,134,3,0.1,0.1,0.1,0.4226489593220986,1.537316171815912,0.003449678421020508,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.1,0.1,0.001,0.5799445713614843,1.1288152086127898,0.00231170654296875,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.1,0.01,0.1,0.4882044411199625,1.373283399143947,0.003610849380493164,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
servo,outer_2,streed,4,134,3,0.1,0.01,0.001,0.5646656547199714,1.1698123903485709,0.0024983882904052734,1.048222611003308,0.6099198978767268,0.6603482055320683,0.4378641871947023,2
servo,outer_2,streed,4,134,3,0.1,0.001,0.1,0.4896841526300462,1.3697227236470562,0.0034303665161132812,1.3373985456683057,0.502307471907641,0.8117159164186385,0.3090091218233354,2
servo,outer_2,streed,4,134,3,0.1,0.001,0.001,0.5617479014900116,1.1776185781742203,0.002310514450073242,1.0481447259864196,0.609948881601198,0.6568687842945286,0.44082612041276936,2
servo,outer_2,streed,4,134,3,0.1,0.0001,0.1,0.4898175942733049,1.3694068434363587,0.0034940242767333984,1.3369148095761707,0.5024874869371204,0.8118673748622498,0.30888018951975316,2
servo,outer_2,streed,4,134,3,0.1,0.0001,0.001,0.562831395053899,1.1749021337470211,0.002352476119995117,1.0417954701965695,0.6123116605766876,0.6353812873367429,0.45911782086160113,2
servo,outer_2,streed,4,134,3,0.1,1e-05,0.1,0.4898307833909023,1.3693756837358226,0.0035250186920166016,1.3368667104668241,0.5025053862891178,0.8118830007169217,0.30886688767014836,2
servo,outer_2,streed,4,134,3,0.1,1e-05,0.001,0.5628123000526585,1.1749548649484076,0.002456188201904297,1.041788912643139,0.612314100870462,0.6354423585926829,0.45906583262295775,2
servo,outer_2,streed,4,134,3,0.08,0.1,0.1,0.46542833146747437,1.4312569066910594,0.0036699771881103516,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.08,0.1,0.001,0.5799445713614843,1.1288152086127898,0.002787351608276367,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.08,0.01,0.1,0.4882044411199625,1.373283399143947,0.0037336349487304688,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
servo,outer_2,streed,4,134,3,0.08,0.01,0.001,0.5646656547199714,1.1698123903485709,0.0025856494903564453,1.048222611003308,0.6099198978767268,0.6603482055320683,0.4378641871947023,2
servo,outer_2,streed,4,134,3,0.08,0.001,0.1,0.4896841526300462,1.3697227236470562,0.0038988590240478516,1.3373985456683057,0.502307471907641,0.8117159164186385,0.3090091218233354,2
servo,outer_2,streed,4,134,3,0.08,0.001,0.001,0.5617479014900116,1.1776185781742203,0.002440929412841797,1.0481447259864196,0.609948881601198,0.6568687842945286,0.44082612041276936,2
servo,outer_2,streed,4,134,3,0.08,0.0001,0.1,0.4898175942733049,1.3694068434363587,0.003685474395751953,1.3369148095761707,0.5024874869371204,0.8118673748622498,0.30888018951975316,2
servo,outer_2,streed,4,134,3,0.08,0.0001,0.001,0.562831395053899,1.1749021337470211,0.002640247344970703,1.0417954701965695,0.6123116605766876,0.6353812873367429,0.45911782086160113,2
servo,outer_2,streed,4,134,3,0.08,1e-05,0.1,0.4898307833909023,1.3693756837358226,0.003684520721435547,1.3368667104668241,0.5025053862891178,0.8118830007169217,0.30886688767014836,2
servo,outer_2,streed,4,134,3,0.08,1e-05,0.001,0.5628123000526585,1.1749548649484076,0.0026695728302001953,1.041788912643139,0.612314100870462,0.6354423585926829,0.45906583262295775,2
servo,outer_2,streed,4,134,3,0.05,0.1,0.1,0.46542833146747437,1.4312569066910594,0.0037925243377685547,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.05,0.1,0.001,0.5799445713614843,1.1288152086127898,0.002438068389892578,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.05,0.01,0.1,0.4882044411199625,1.373283399143947,0.003804922103881836,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
servo,outer_2,streed,4,134,3,0.05,0.01,0.001,0.5646656547199714,1.1698123903485709,0.002642393112182617,1.048222611003308,0.6099198978767268,0.6603482055320683,0.4378641871947023,2
servo,outer_2,streed,4,134,3,0.05,0.001,0.1,0.4896841526300462,1.3697227236470562,0.0037164688110351562,1.3373985456683057,0.502307471907641,0.8117159164186385,0.3090091218233354,2
servo,outer_2,streed,4,134,3,0.05,0.001,0.001,0.5617479014900116,1.1776185781742203,0.002832651138305664,1.0481447259864196,0.609948881601198,0.6568687842945286,0.44082612041276936,2
servo,outer_2,streed,4,134,3,0.05,0.0001,0.1,0.4898175942733049,1.3694068434363587,0.003947257995605469,1.3369148095761707,0.5024874869371204,0.8118673748622498,0.30888018951975316,2
servo,outer_2,streed,4,134,3,0.05,0.0001,0.001,0.562831395053899,1.1749021337470211,0.0027761459350585938,1.0417954701965695,0.6123116605766876,0.6353812873367429,0.45911782086160113,2
servo,outer_2,streed,4,134,3,0.05,1e-05,0.1,0.4898307833909023,1.3693756837358226,0.0039806365966796875,1.3368667104668241,0.5025053862891178,0.8118830007169217,0.30886688767014836,2
servo,outer_2,streed,4,134,3,0.05,1e-05,0.001,0.5628123000526585,1.1749548649484076,0.002894163131713867,1.041788912643139,0.612314100870462,0.6354423585926829,0.45906583262295775,2
servo,outer_2,streed,4,134,3,0.03,0.1,0.1,0.46542833146747437,1.4312569066910594,0.003578662872314453,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.03,0.1,0.001,0.5799445713614843,1.1288152086127898,0.0026111602783203125,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.03,0.01,0.1,0.42820474645367446,1.552408073149664,0.0038552284240722656,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
servo,outer_2,streed,4,134,3,0.03,0.01,0.001,0.5646656547199714,1.1698123903485709,0.0028600692749023438,1.048222611003308,0.6099198978767268,0.6603482055320683,0.4378641871947023,2
servo,outer_2,streed,4,134,3,0.03,0.001,0.1,0.42398838583178505,1.565852601919688,0.003920078277587891,1.3373985456683057,0.502307471907641,0.8117159164186385,0.3090091218233354,2
servo,outer_2,streed,4,134,3,0.03,0.001,0.001,0.5617479014900116,1.1776185781742203,0.0028061866760253906,1.0481447259864196,0.609948881601198,0.6568687842945286,0.44082612041276936,2
servo,outer_2,streed,4,134,3,0.03,0.0001,0.1,0.42350883087882396,1.5673667779463625,0.003843069076538086,1.3369148095761707,0.5024874869371204,0.8118673748622498,0.30888018951975316,2
servo,outer_2,streed,4,134,3,0.03,0.0001,0.001,0.562831395053899,1.1749021337470211,0.0029289722442626953,1.0417954701965695,0.6123116605766876,0.6353812873367429,0.45911782086160113,2
servo,outer_2,streed,4,134,3,0.03,1e-05,0.1,0.4234602595897994,1.5675199993958338,0.003991603851318359,1.3368667104668241,0.5025053862891178,0.8118830007169217,0.30886688767014836,2
servo,outer_2,streed,4,134,3,0.03,1e-05,0.001,0.5628123000526585,1.1749548649484076,0.0028667449951171875,1.041788912643139,0.612314100870462,0.6354423585926829,0.45906583262295775,2
servo,outer_2,streed,4,134,3,0.01,0.1,0.1,0.436122129923412,1.518748415224944,0.003767728805541992,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.01,0.1,0.001,0.5799445713614843,1.1288152086127898,0.0031015872955322266,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.01,0.01,0.1,0.3966890734593919,1.6317326783585553,0.003966093063354492,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
servo,outer_2,streed,4,134,3,0.01,0.01,0.001,0.5646656547199714,1.1698123903485709,0.003026247024536133,1.048222611003308,0.6099198978767268,0.6603482055320683,0.4378641871947023,2
servo,outer_2,streed,4,134,3,0.01,0.001,0.1,0.3883105729571232,1.6557528903636978,0.003857851028442383,1.3373985456683057,0.502307471907641,0.8117159164186385,0.3090091218233354,2
servo,outer_2,streed,4,134,3,0.01,0.001,0.001,0.5617479014900116,1.1776185781742203,0.0029654502868652344,1.0481447259864196,0.609948881601198,0.6568687842945286,0.44082612041276936,2
servo,outer_2,streed,4,134,3,0.01,0.0001,0.1,0.3873550435584208,1.658476680473643,0.0038962364196777344,1.3369148095761707,0.5024874869371204,0.8118673748622498,0.30888018951975316,2
servo,outer_2,streed,4,134,3,0.01,0.0001,0.001,0.562831395053899,1.1749021337470211,0.003046751022338867,1.0417954701965695,0.6123116605766876,0.6353812873367429,0.45911782086160113,2
servo,outer_2,streed,4,134,3,0.01,1e-05,0.1,0.387258220008792,1.6587525293799106,0.003978252410888672,1.3368667104668241,0.5025053862891178,0.8118830007169217,0.30886688767014836,2
servo,outer_2,streed,4,134,3,0.01,1e-05,0.001,0.5628123000526585,1.1749548649484076,0.002902984619140625,1.041788912643139,0.612314100870462,0.6354423585926829,0.45906583262295775,2
servo,outer_2,streed,4,134,3,0.008,0.1,0.1,0.41746351058185366,1.5654863483430372,0.0036983489990234375,1.4073093777917896,0.47629121901633076,0.8290747984747929,0.2942319948586831,2
servo,outer_2,streed,4,134,3,0.008,0.1,0.001,0.5799445713614843,1.1288152086127898,0.003040313720703125,1.0495384165909944,0.6094302408395371,0.6814584101279533,0.41989366509805726,2
servo,outer_2,streed,4,134,3,0.008,0.01,0.1,0.3966890734593919,1.6317326783585553,0.003935337066650391,1.3424932253971733,0.5004115643322264,0.8106578850897698,0.3099097940687424,2
