dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
synch,outer_0,streed,4,445.0,3,0.1,0.1,0.1,0.55433714521465,0.0142487786556592,599.9055509567261,0.0150055015797369,0.5340610427491821,0.0146275267489634,0.5595617909575044,2.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.1,0.001,0.9743147407332572,0.0008321390688108,0.0203993320465087,0.0008045166636595,0.975018785385846,0.0008146815187236,0.97546975129804,1.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.01,0.1,0.5682772940861911,0.013783019390424,599.8973743915558,0.0144906581975408,0.5500475519220491,0.0141515740777615,0.5738928358218058,2.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.01,0.001,0.986668465478836,0.0004303851839828,0.0221245288848876,0.0004084383599347,0.9873174953520903,0.0004027483166681,0.9878731551592768,1.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.001,0.1,0.5698362645576508,0.0137309084027468,599.8952105045319,0.0144322598649367,0.5518608907200994,0.0140976351898812,0.5755169481945568,2.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.001,0.001,0.9905043693579124,0.0003065639399785,0.0227265357971191,0.0002887955140273,0.9910325502983314,0.0002837364308434,0.9914566305305405,1.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.0001,0.1,0.5699946740206902,0.01372561332744,599.895519733429,0.0144263415451137,0.5520446617025185,0.014092169335091,0.5756815263447808,2.0,full
synch,outer_0,streed,4,445.0,3,0.1,0.0001,0.001,0.9906497837182416,0.000301840648582,0.0228412151336669,0.0002842184091902,0.9911746749346644,0.0002790841134634,0.9915967128814336,1.0,full
synch,outer_0,streed,4,445.0,3,0.1,1e-05,0.1,0.5700105408766094,0.0137250829540562,599.8951144218445,0.014425748917664,0.5520630635009849,0.0140916220202809,0.5756980061201283,2.0,full
synch,outer_0,streed,4,445.0,3,0.1,1e-05,0.001,0.9906644148049608,0.0003013654346465,0.0230798721313476,0.0002837580770443,0.9911889688040773,0.0002786164413191,0.9916107945977202,1.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.1,0.1,0.55433714521465,0.0142487786556592,599.8947236537933,0.0150055015797369,0.5340610427491821,0.0146275267489634,0.5595617909575044,2.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.1,0.001,0.9743147407332572,0.0008321390688108,0.0231587886810302,0.0008045166636595,0.975018785385846,0.0008146815187236,0.97546975129804,1.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.01,0.1,0.5682772940861911,0.013783019390424,599.8939430713654,0.0144906581975408,0.5500475519220491,0.0141515740777615,0.5738928358218058,2.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.01,0.001,0.986668465478836,0.0004303851839828,0.0231745243072509,0.0004084383599347,0.9873174953520903,0.0004027483166681,0.9878731551592768,1.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.001,0.1,0.5698362645576508,0.0137309084027468,599.8927359580994,0.0144322598649367,0.5518608907200994,0.0140976351898812,0.5755169481945568,2.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.001,0.001,0.9905043693579124,0.0003065639399785,0.0235297679901123,0.0002887955140273,0.9910325502983314,0.0002837364308434,0.9914566305305405,1.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.0001,0.1,0.5699946740206902,0.01372561332744,599.890593290329,0.0144263415451137,0.5520446617025185,0.014092169335091,0.5756815263447808,2.0,full
synch,outer_0,streed,4,445.0,3,0.08,0.0001,0.001,0.9906497837182416,0.000301840648582,0.023705244064331,0.0002842184091902,0.9911746749346644,0.0002790841134634,0.9915967128814336,1.0,full
synch,outer_0,streed,4,445.0,3,0.08,1e-05,0.1,0.5700105408766094,0.0137250829540562,599.890772819519,0.014425748917664,0.5520630635009849,0.0140916220202809,0.5756980061201283,2.0,full
