dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_2,streed,4,246,3,0.1,0.1,0.1,0.8810785672181147,24.365221040874626,0.022431135177612305,18.810822779157487,0.9107243334810103,26.49754661539178,0.9109647408408137,2
yacht,outer_2,streed,4,246,3,0.1,0.1,0.001,0.8821748167982686,24.160191613830943,0.022202253341674805,18.4372932345064,0.912497094803296,25.76752510138006,0.9134177096244995,2
yacht,outer_2,streed,4,246,3,0.1,0.01,0.1,0.9793684643245183,4.218306851129338,0.0036351680755615234,3.556980875321919,0.9831186630075792,10.172018078804927,0.9658206746849445,2
yacht,outer_2,streed,4,246,3,0.1,0.01,0.001,0.9806558673116111,3.9617820331427196,0.0035812854766845703,3.1564422106939056,0.9850196088976714,9.038869987618048,0.9696282020545144,2
yacht,outer_2,streed,4,246,3,0.1,0.001,0.1,0.9859910098989841,2.8436848371810566,0.003628253936767578,2.4641679321728605,0.9883051242817936,7.513143644467417,0.9747548442429466,2
yacht,outer_2,streed,4,246,3,0.1,0.001,0.001,0.9861065015970066,2.8212932707874376,0.0036177635192871094,2.340506240929607,0.9888920193920298,6.9455801460933095,0.9766619326198637,2
yacht,outer_2,streed,4,246,3,0.1,0.0001,0.1,0.9851123653123072,3.078842666189004,0.003602743148803711,2.416853810176949,0.9885296758512032,7.36225750207901,0.9752618416259903,2
yacht,outer_2,streed,4,246,3,0.1,0.0001,0.001,0.9862180668873123,2.793993222475216,0.003627300262451172,2.3297014888634977,0.9889432984590647,6.8700249043592,0.9769158082192266,2
yacht,outer_2,streed,4,246,3,0.1,1e-05,0.1,0.9851409671076118,3.072377789351149,0.0035858154296875,2.4129501960445623,0.9885482023004496,7.348729981243347,0.9753072958841096,2
yacht,outer_2,streed,4,246,3,0.1,1e-05,0.001,0.9862234014190578,2.7924258155010926,0.0035774707794189453,2.3295547497364604,0.9889439948790738,6.864245378864159,0.9769352281888464,2
yacht,outer_2,streed,4,246,3,0.08,0.1,0.1,0.8810785672181147,24.365221040874626,0.022589683532714844,18.810822779157487,0.9107243334810103,26.49754661539178,0.9109647408408137,2
yacht,outer_2,streed,4,246,3,0.08,0.1,0.001,0.8821748167982686,24.160191613830943,0.02248525619506836,18.4372932345064,0.912497094803296,25.76752510138006,0.9134177096244995,2
yacht,outer_2,streed,4,246,3,0.08,0.01,0.1,0.9793684643245183,4.218306851129338,0.0037496089935302734,3.556980875321919,0.9831186630075792,10.172018078804927,0.9658206746849445,2
yacht,outer_2,streed,4,246,3,0.08,0.01,0.001,0.9806558673116111,3.9617820331427196,0.00371551513671875,3.1564422106939056,0.9850196088976714,9.038869987618048,0.9696282020545144,2
yacht,outer_2,streed,4,246,3,0.08,0.001,0.1,0.9859910098989841,2.8436848371810566,0.003673553466796875,2.4641679321728605,0.9883051242817936,7.513143644467417,0.9747548442429466,2
yacht,outer_2,streed,4,246,3,0.08,0.001,0.001,0.9861065015970066,2.8212932707874376,0.0036818981170654297,2.340506240929607,0.9888920193920298,6.9455801460933095,0.9766619326198637,2
yacht,outer_2,streed,4,246,3,0.08,0.0001,0.1,0.9851123653123072,3.078842666189004,0.0036895275115966797,2.416853810176949,0.9885296758512032,7.36225750207901,0.9752618416259903,2
yacht,outer_2,streed,4,246,3,0.08,0.0001,0.001,0.9862180668873123,2.793993222475216,0.0036618709564208984,2.3297014888634977,0.9889432984590647,6.8700249043592,0.9769158082192266,2
yacht,outer_2,streed,4,246,3,0.08,1e-05,0.1,0.9851409671076118,3.072377789351149,0.003673553466796875,2.4129501960445623,0.9885482023004496,7.348729981243347,0.9753072958841096,2
