dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,streed_s,4,20,3,0.1,0.1,0.0,0.8139617747921069,27186320.76887515,0.04177975654602051,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.1,0.01,0.0,0.8139617747921069,27186320.76887515,0.04346299171447754,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.1,0.001,0.0,0.8139617747921069,27186320.76887515,0.044168710708618164,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.1,0.0001,0.0,0.8139617747921069,27186320.76887515,0.044648170471191406,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.1,1e-05,0.0,0.8139617747921069,27186320.76887515,0.04454803466796875,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.08,0.1,0.0,0.8139617747921069,27186320.76887515,0.7695693969726562,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.08,0.01,0.0,0.8139617747921069,27186320.76887515,0.7656755447387695,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.08,0.001,0.0,0.8139617747921069,27186320.76887515,0.7728977203369141,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.08,0.0001,0.0,0.8139617747921069,27186320.76887515,0.7738540172576904,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.08,1e-05,0.0,0.8139617747921069,27186320.76887515,0.770841121673584,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.05,0.1,0.0,0.8139617747921069,27186320.76887515,6.057031154632568,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.05,0.01,0.0,0.8139617747921069,27186320.76887515,6.119912147521973,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.05,0.001,0.0,0.8139617747921069,27186320.76887515,6.241688013076782,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.05,0.0001,0.0,0.8139617747921069,27186320.76887515,6.328027009963989,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.05,1e-05,0.0,0.8139617747921069,27186320.76887515,6.344588041305542,26773249.689815428,0.8160883089710395,26965475.45307758,0.8204465396657671,2
insurance,outer_0,streed_s,4,20,3,0.03,0.1,0.0,0.8465689901611194,22441644.917309936,19.64079737663269,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.03,0.01,0.0,0.8465689901611194,22441644.917309936,20.156423807144165,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.03,0.001,0.0,0.8465689901611194,22441644.917309936,19.977245092391968,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.03,0.0001,0.0,0.8465689901611194,22441644.917309936,20.01231575012207,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.03,1e-05,0.0,0.8465689901611194,22441644.917309936,19.83366298675537,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.01,0.1,0.0,0.8465689901611194,22441644.917309936,26.76057267189026,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.01,0.01,0.0,0.8465689901611194,22441644.917309936,26.740413188934326,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.01,0.001,0.0,0.8465689901611194,22441644.917309936,27.659074783325195,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.01,0.0001,0.0,0.8465689901611194,22441644.917309936,27.53131413459778,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.01,1e-05,0.0,0.8465689901611194,22441644.917309936,27.774681568145752,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
insurance,outer_0,streed_s,4,20,3,0.008,0.1,0.0,0.8465689901611194,22441644.917309936,30.170344352722168,20695069.142823465,0.8578407475329468,20441109.294732388,0.8638899613201309,3
