dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_0,streed_s,4,20,3,0.1,0.1,0.0,0.5447889609493622,1.0786160604471242,0.0056486129760742,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.1,0.01,0.0,0.5447889609493622,1.0786160604471242,0.0057260990142822,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.1,0.001,0.0,0.5447889609493622,1.0786160604471242,0.0057437419891357,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.1,0.0001,0.0,0.5447889609493622,1.0786160604471242,0.005735158920288,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.1,1e-05,0.0,0.5447889609493622,1.0786160604471242,0.0057694911956787,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.08,0.1,0.0,0.5447889609493622,1.0786160604471242,0.0055274963378906,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.08,0.01,0.0,0.5447889609493622,1.0786160604471242,0.0055713653564453,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.08,0.001,0.0,0.5447889609493622,1.0786160604471242,0.0056118965148925,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.08,0.0001,0.0,0.5447889609493622,1.0786160604471242,0.0055263042449951,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.08,1e-05,0.0,0.5447889609493622,1.0786160604471242,0.0055494308471679,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.05,0.1,0.0,0.5447889609493622,1.0786160604471242,0.0063915252685546,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.05,0.01,0.0,0.5447889609493622,1.0786160604471242,0.0064113140106201,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.05,0.001,0.0,0.5447889609493622,1.0786160604471242,0.0064368247985839,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.05,0.0001,0.0,0.5447889609493622,1.0786160604471242,0.0064551830291748,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.05,1e-05,0.0,0.5447889609493622,1.0786160604471242,0.0064921379089355,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.03,0.1,0.0,0.5447889609493622,1.0786160604471242,0.0066754817962646,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.03,0.01,0.0,0.5447889609493622,1.0786160604471242,0.006702184677124,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.03,0.001,0.0,0.5447889609493622,1.0786160604471242,0.0066349506378173,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.03,0.0001,0.0,0.5447889609493622,1.0786160604471242,0.0066170692443847,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.03,1e-05,0.0,0.5447889609493622,1.0786160604471242,0.0066113471984863,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.01,0.1,0.0,0.5466487257660755,1.0740053373463416,0.0066957473754882,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.01,0.01,0.0,0.5466487257660755,1.0740053373463416,0.0066864490509033,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.01,0.001,0.0,0.5466487257660755,1.0740053373463416,0.0066823959350585,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.01,0.0001,0.0,0.5466487257660755,1.0740053373463416,0.0066633224487304,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.01,1e-05,0.0,0.5466487257660755,1.0740053373463416,0.006657600402832,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.008,0.1,0.0,0.5466487257660755,1.0740053373463416,0.0070245265960693,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.008,0.01,0.0,0.5466487257660755,1.0740053373463416,0.0070223808288574,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.008,0.001,0.0,0.5466487257660755,1.0740053373463416,0.006986379623413,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.008,0.0001,0.0,0.5466487257660755,1.0740053373463416,0.0070481300354003,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.008,1e-05,0.0,0.5466487257660755,1.0740053373463416,0.0070276260375976,0.9707554227840433,0.5899821882752008,0.9030660914220264,0.6501490796941722,2.0
servo,outer_0,streed_s,4,20,3,0.005,0.1,0.0,0.5525137310991017,1.060816805975852,0.007359504699707,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.005,0.01,0.0,0.5525137310991017,1.060816805975852,0.0073912143707275,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.005,0.001,0.0,0.5525137310991017,1.060816805975852,0.0074274539947509,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.005,0.0001,0.0,0.5525137310991017,1.060816805975852,0.0073533058166503,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.005,1e-05,0.0,0.5525137310991017,1.060816805975852,0.0074226856231689,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.003,0.1,0.0,0.5525137310991017,1.060816805975852,0.007587194442749,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.003,0.01,0.0,0.5525137310991017,1.060816805975852,0.0075907707214355,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.003,0.001,0.0,0.5525137310991017,1.060816805975852,0.0076367855072021,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.003,0.0001,0.0,0.5525137310991017,1.060816805975852,0.0076162815093994,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.003,1e-05,0.0,0.5525137310991017,1.060816805975852,0.0075979232788085,0.952639047465884,0.5976339988033704,0.9187451921593376,0.6440749419598251,3.0
servo,outer_0,streed_s,4,20,3,0.001,0.1,0.0,0.5550169528447897,1.0548729943248814,0.0083940029144287,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.001,0.01,0.0,0.5550169528447897,1.0548729943248814,0.0084345340728759,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.001,0.001,0.0,0.5550169528447897,1.0548729943248814,0.0084443092346191,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.001,0.0001,0.0,0.5550169528447897,1.0548729943248814,0.0084555149078369,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.001,1e-05,0.0,0.5550169528447897,1.0548729943248814,0.0084891319274902,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.0005,0.1,0.0,0.5550169528447897,1.0548729943248814,0.0087802410125732,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.0005,0.01,0.0,0.5550169528447897,1.0548729943248814,0.008744478225708,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
servo,outer_0,streed_s,4,20,3,0.0005,0.001,0.0,0.5550169528447897,1.0548729943248814,0.0086996555328369,0.9465942639698284,0.6001871330359817,0.925639340692253,0.6414041250264071,4.0
