dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_1,streed_s,4,20,3,0.1,0.1,0.0,0.7857610494807172,1.3270685885703732,45.79156041145325,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.1,0.01,0.0,0.7857610494807172,1.3270685885703732,50.49880313873291,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.1,0.001,0.0,0.7857610494807172,1.3270685885703732,53.976155042648315,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.1,0.0001,0.0,0.7857610494807172,1.3270685885703732,49.47953510284424,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.1,1e-05,0.0,0.7857610494807172,1.3270685885703732,49.77947378158569,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.08,0.1,0.0,0.7857610494807172,1.3270685885703732,49.63798904418945,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.08,0.01,0.0,0.7857610494807172,1.3270685885703732,52.11002826690674,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.08,0.001,0.0,0.7857610494807172,1.3270685885703732,56.241132736206055,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.08,0.0001,0.0,0.7857610494807172,1.3270685885703732,55.01472091674805,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.08,1e-05,0.0,0.7857610494807172,1.3270685885703732,46.852646827697754,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.05,0.1,0.0,0.7857610494807172,1.3270685885703732,599.7349934577942,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.05,0.01,0.0,0.7857610494807172,1.3270685885703732,599.7275199890137,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.05,0.001,0.0,0.7857610494807172,1.3270685885703732,599.7268600463867,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.05,0.0001,0.0,0.7857610494807172,1.3270685885703732,599.730363368988,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.05,1e-05,0.0,0.7857610494807172,1.3270685885703732,599.7263510227203,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.03,0.1,0.0,0.7857610494807172,1.3270685885703732,599.7188563346863,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.03,0.01,0.0,0.7857610494807172,1.3270685885703732,599.7224037647247,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.03,0.001,0.0,0.7857610494807172,1.3270685885703732,599.7184119224548,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
temperature_min,outer_1,streed_s,4,20,3,0.03,0.0001,0.0,0.7857610494807172,1.3270685885703732,599.7185478210449,1.3268949541466424,0.7857646911343126,1.2925194629944128,0.789514376618512,1
