dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,streed_s,4,20,3,0.1,0.1,0.0,0.0104043776292064,315258490381.3539,405.6978678703308,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.1,0.01,0.0,0.0104043776292064,315258490381.3539,518.7066538333893,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.1,0.001,0.0,0.0104043776292064,315258490381.3539,536.7382102012634,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.1,0.0001,0.0,0.0104043776292064,315258490381.3539,567.974502325058,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.1,1e-05,0.0,0.0104043776292064,315258490381.3539,590.3803360462189,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.08,0.1,0.0,0.0104043776292064,315258490381.3539,599.8261063098907,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.08,0.01,0.0,0.0104043776292064,315258490381.3539,599.375378370285,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.08,0.001,0.0,0.0104043776292064,315258490381.3539,599.806077003479,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.08,0.0001,0.0,0.0104043776292064,315258490381.3539,599.4896194934845,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.08,1e-05,0.0,0.0104043776292064,315258490381.3539,599.9092695713043,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
walmart,outer_0,streed_s,4,20,3,0.05,0.1,0.0,0.026240072869893,310667312893.0244,599.3637437820435,314897855386.1718,0.0122195433719669,314825722409.34784,0.0068472227918823,1.0
