dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_4,streed_s,4,5,3,0.1,0.1,0.0,0.8549074909286934,15602577.670267278,0.07113981246948242,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.1,0.01,0.0,0.8549074909286934,15602577.670267278,0.07718515396118164,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.1,0.001,0.0,0.8549074909286934,15602577.670267278,0.07221388816833496,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.1,0.0001,0.0,0.8549074909286934,15602577.670267278,0.0718684196472168,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.1,1e-05,0.0,0.8549074909286934,15602577.670267278,0.07350730895996094,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.08,0.1,0.0,0.8549074909286934,15602577.670267278,0.07479405403137207,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.08,0.01,0.0,0.8549074909286934,15602577.670267278,0.07569003105163574,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.08,0.001,0.0,0.8549074909286934,15602577.670267278,0.07775068283081055,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.08,0.0001,0.0,0.8549074909286934,15602577.670267278,0.07777857780456543,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.08,1e-05,0.0,0.8549074909286934,15602577.670267278,0.07754826545715332,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.05,0.1,0.0,0.8549074909286934,15602577.670267278,0.2555351257324219,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.05,0.01,0.0,0.8549074909286934,15602577.670267278,0.256697416305542,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.05,0.001,0.0,0.8549074909286934,15602577.670267278,0.2574431896209717,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.05,0.0001,0.0,0.8549074909286934,15602577.670267278,0.2564356327056885,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.05,1e-05,0.0,0.8549074909286934,15602577.670267278,0.2565934658050537,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.03,0.1,0.0,0.8549074909286934,15602577.670267278,0.7270030975341797,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.03,0.01,0.0,0.8549074909286934,15602577.670267278,0.7334015369415283,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.03,0.001,0.0,0.8549074909286934,15602577.670267278,0.7284867763519287,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
auction,outer_4,streed_s,4,5,3,0.03,0.0001,0.0,0.8549074909286934,15602577.670267278,0.7343697547912598,15524496.455971163,0.8562774297932061,14822104.325919198,0.8599935133521766,3
