dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_0,streed_s,4,5,3,0.1,0.1,0.0,0.4582525877729495,93.2902357425249,0.5839650630950928,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.1,0.01,0.0,0.4582525877729495,93.2902357425249,0.594874382019043,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.1,0.001,0.0,0.4582525877729495,93.2902357425249,0.6007375717163086,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.1,0.0001,0.0,0.4582525877729495,93.2902357425249,0.5980374813079834,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.1,1e-05,0.0,0.4582525877729495,93.2902357425249,0.5940995216369629,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.08,0.1,0.0,0.4582525877729495,93.2902357425249,0.8856155872344971,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.08,0.01,0.0,0.4582525877729495,93.2902357425249,0.8886599540710449,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.08,0.001,0.0,0.4582525877729495,93.2902357425249,0.8809266090393066,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.08,0.0001,0.0,0.4582525877729495,93.2902357425249,0.8768911361694336,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.08,1e-05,0.0,0.4582525877729495,93.2902357425249,0.8812046051025391,71.85173903130558,0.5855379091989373,91.56432108669759,0.5869758813896182,2
real_estate,outer_0,streed_s,4,5,3,0.05,0.1,0.0,0.5370444542472766,79.54602841862356,1.2336156368255615,60.254051088938,0.6524368048673864,126.02253735350384,0.4315433479139652,3
real_estate,outer_0,streed_s,4,5,3,0.05,0.01,0.0,0.5370444542472766,79.54602841862356,1.2130413055419922,60.254051088938,0.6524368048673864,126.02253735350384,0.4315433479139652,3
real_estate,outer_0,streed_s,4,5,3,0.05,0.001,0.0,0.5370444542472766,79.54602841862356,1.2242774963378906,60.254051088938,0.6524368048673864,126.02253735350384,0.4315433479139652,3
real_estate,outer_0,streed_s,4,5,3,0.05,0.0001,0.0,0.5370444542472766,79.54602841862356,1.217540979385376,60.254051088938,0.6524368048673864,126.02253735350384,0.4315433479139652,3
real_estate,outer_0,streed_s,4,5,3,0.05,1e-05,0.0,0.5370444542472766,79.54602841862356,1.223792314529419,60.254051088938,0.6524368048673864,126.02253735350384,0.4315433479139652,3
real_estate,outer_0,streed_s,4,5,3,0.03,0.1,0.0,0.5153699724859082,83.0434356494024,1.7683734893798828,54.51099665219009,0.6855644421595302,120.6116401041347,0.45595057379396686,4
real_estate,outer_0,streed_s,4,5,3,0.03,0.01,0.0,0.5153699724859082,83.0434356494024,1.7751538753509521,54.51099665219009,0.6855644421595302,120.6116401041347,0.45595057379396686,4
real_estate,outer_0,streed_s,4,5,3,0.03,0.001,0.0,0.5153699724859082,83.0434356494024,1.7684605121612549,54.51099665219009,0.6855644421595302,120.6116401041347,0.45595057379396686,4
real_estate,outer_0,streed_s,4,5,3,0.03,0.0001,0.0,0.5153699724859082,83.0434356494024,1.7663195133209229,54.51099665219009,0.6855644421595302,120.6116401041347,0.45595057379396686,4
