dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_0,streed_s,4,5,3,0.1,0.1,0.0,0.4586323033904079,225251.78939730139,31.402780532836914,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.1,0.01,0.0,0.4586323033904079,225251.78939730139,46.30588912963867,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.1,0.001,0.0,0.4586323033904079,225251.78939730139,51.37226486206055,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.1,0.0001,0.0,0.4586323033904079,225251.78939730139,53.88246512413025,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.1,1e-05,0.0,0.4586323033904079,225251.78939730139,54.797269344329834,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.08,0.1,0.0,0.4586323033904079,225251.78939730139,55.795838594436646,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.08,0.01,0.0,0.4586323033904079,225251.78939730139,56.44926595687866,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.08,0.001,0.0,0.4586323033904079,225251.78939730139,56.31308031082153,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.08,0.0001,0.0,0.4586323033904079,225251.78939730139,56.18317461013794,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.08,1e-05,0.0,0.4586323033904079,225251.78939730139,56.311296701431274,224271.68649233974,0.46101300102940035,220986.51349548897,0.4681080811982672,2
seoul_bike,outer_0,streed_s,4,5,3,0.05,0.1,0.0,0.5455653525728915,189045.0276156295,59.681291818618774,194628.64540296132,0.5322534416173921,193277.95334742405,0.5347997493515291,3
seoul_bike,outer_0,streed_s,4,5,3,0.05,0.01,0.0,0.5455653525728915,189045.0276156295,59.67845606803894,194628.64540296132,0.5322534416173921,193277.95334742405,0.5347997493515291,3
seoul_bike,outer_0,streed_s,4,5,3,0.05,0.001,0.0,0.5455653525728915,189045.0276156295,60.21653342247009,194628.64540296132,0.5322534416173921,193277.95334742405,0.5347997493515291,3
seoul_bike,outer_0,streed_s,4,5,3,0.05,0.0001,0.0,0.5455653525728915,189045.0276156295,60.524497747421265,194628.64540296132,0.5322534416173921,193277.95334742405,0.5347997493515291,3
seoul_bike,outer_0,streed_s,4,5,3,0.05,1e-05,0.0,0.5455653525728915,189045.0276156295,60.45228958129883,194628.64540296132,0.5322534416173921,193277.95334742405,0.5347997493515291,3
seoul_bike,outer_0,streed_s,4,5,3,0.03,0.1,0.0,0.5797061028640512,174882.47108970748,71.45002937316895,174672.56037132817,0.5802134429471607,172850.14718734185,0.5839673878808268,4
seoul_bike,outer_0,streed_s,4,5,3,0.03,0.01,0.0,0.5797061028640512,174882.47108970748,69.89305400848389,174672.56037132817,0.5802134429471607,172850.14718734185,0.5839673878808268,4
seoul_bike,outer_0,streed_s,4,5,3,0.03,0.001,0.0,0.5797061028640512,174882.47108970748,70.39924693107605,174672.56037132817,0.5802134429471607,172850.14718734185,0.5839673878808268,4
seoul_bike,outer_0,streed_s,4,5,3,0.03,0.0001,0.0,0.5797061028640512,174882.47108970748,69.84926438331604,174672.56037132817,0.5802134429471607,172850.14718734185,0.5839673878808268,4
seoul_bike,outer_0,streed_s,4,5,3,0.03,1e-05,0.0,0.5797061028640512,174882.47108970748,70.1685049533844,174672.56037132817,0.5802134429471607,172850.14718734185,0.5839673878808268,4
seoul_bike,outer_0,streed_s,4,5,3,0.01,0.1,0.0,0.6445988130849475,147879.42372821504,76.6225221157074,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.01,0.01,0.0,0.6445988130849475,147879.42372821504,76.87764120101929,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.01,0.001,0.0,0.6445988130849475,147879.42372821504,77.5057942867279,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.01,0.0001,0.0,0.6445988130849475,147879.42372821504,76.94721555709839,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.01,1e-05,0.0,0.6445988130849475,147879.42372821504,77.19883394241333,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.008,0.1,0.0,0.6565224374508455,142916.9398420656,79.65703892707825,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.008,0.01,0.0,0.6565224374508455,142916.9398420656,80.80000686645508,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.008,0.001,0.0,0.6565224374508455,142916.9398420656,78.93153190612793,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.008,0.0001,0.0,0.6565224374508455,142916.9398420656,79.57097911834717,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.008,1e-05,0.0,0.6565224374508455,142916.9398420656,79.2870123386383,143588.4907977029,0.6549170742316825,147041.84951772197,0.6460853187507603,8
seoul_bike,outer_0,streed_s,4,5,3,0.005,0.1,0.0,0.6587606994016312,141980.2074694805,82.88140201568604,140312.59394702574,0.6627899619782328,144119.27261818628,0.6531196622061648,9
seoul_bike,outer_0,streed_s,4,5,3,0.005,0.01,0.0,0.6587606994016312,141980.2074694805,83.43430662155151,140312.59394702574,0.6627899619782328,144119.27261818628,0.6531196622061648,9
seoul_bike,outer_0,streed_s,4,5,3,0.005,0.001,0.0,0.6587606994016312,141980.2074694805,83.65873074531555,140312.59394702574,0.6627899619782328,144119.27261818628,0.6531196622061648,9
seoul_bike,outer_0,streed_s,4,5,3,0.005,0.0001,0.0,0.6587606994016312,141980.2074694805,83.14228630065918,140312.59394702574,0.6627899619782328,144119.27261818628,0.6531196622061648,9
seoul_bike,outer_0,streed_s,4,5,3,0.005,1e-05,0.0,0.6587606994016312,141980.2074694805,83.70486903190613,140312.59394702574,0.6627899619782328,144119.27261818628,0.6531196622061648,9
seoul_bike,outer_0,streed_s,4,5,3,0.003,0.1,0.0,0.6637339607061487,139915.82523040436,86.34629392623901,134424.31367496648,0.6769411308688427,140787.30706244372,0.6611393622538846,13
seoul_bike,outer_0,streed_s,4,5,3,0.003,0.01,0.0,0.6637339607061487,139915.82523040436,89.77555751800537,134424.31367496648,0.6769411308688427,140787.30706244372,0.6611393622538846,13
seoul_bike,outer_0,streed_s,4,5,3,0.003,0.001,0.0,0.6637339607061487,139915.82523040436,86.27777743339539,134424.31367496648,0.6769411308688427,140787.30706244372,0.6611393622538846,13
seoul_bike,outer_0,streed_s,4,5,3,0.003,0.0001,0.0,0.6637339607061487,139915.82523040436,87.62498354911804,134424.31367496648,0.6769411308688427,140787.30706244372,0.6611393622538846,13
seoul_bike,outer_0,streed_s,4,5,3,0.003,1e-05,0.0,0.6637339607061487,139915.82523040436,86.58156847953796,134424.31367496648,0.6769411308688427,140787.30706244372,0.6611393622538846,13
seoul_bike,outer_0,streed_s,4,5,3,0.001,0.1,0.0,0.6709873495969664,136881.80512631763,90.79686188697815,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
seoul_bike,outer_0,streed_s,4,5,3,0.001,0.01,0.0,0.6709873495969664,136881.80512631763,88.32523322105408,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
seoul_bike,outer_0,streed_s,4,5,3,0.001,0.001,0.0,0.6709873495969664,136881.80512631763,87.70813918113708,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
seoul_bike,outer_0,streed_s,4,5,3,0.001,0.0001,0.0,0.6709873495969664,136881.80512631763,88.6043951511383,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
seoul_bike,outer_0,streed_s,4,5,3,0.001,1e-05,0.0,0.6709873495969664,136881.80512631763,88.14982223510742,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
seoul_bike,outer_0,streed_s,4,5,3,0.0005,0.1,0.0,0.6709873495969664,136881.80512631763,89.45891547203064,131726.7728816554,0.6834240687712032,139223.92798038712,0.6649022556839697,16
