dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_4,streed_s,4,5,3,0.1,0.1,0.0,0.012155965855893772,314258369105.10736,0.557957649230957,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.1,0.01,0.0,0.012155965855893772,314258369105.10736,0.5773553848266602,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.1,0.001,0.0,0.012155965855893772,314258369105.10736,0.5800800323486328,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.1,0.0001,0.0,0.012155965855893772,314258369105.10736,0.5772349834442139,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.1,1e-05,0.0,0.012155965855893772,314258369105.10736,0.5841066837310791,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.08,0.1,0.0,0.012155965855893772,314258369105.10736,0.7005603313446045,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.08,0.01,0.0,0.012155965855893772,314258369105.10736,0.6907095909118652,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.08,0.001,0.0,0.012155965855893772,314258369105.10736,0.6934733390808105,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.08,0.0001,0.0,0.012155965855893772,314258369105.10736,0.6981782913208008,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.08,1e-05,0.0,0.012155965855893772,314258369105.10736,0.7119262218475342,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.05,0.1,0.0,0.012155965855893772,314258369105.10736,0.9248778820037842,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.05,0.01,0.0,0.012155965855893772,314258369105.10736,0.932037353515625,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.05,0.001,0.0,0.012155965855893772,314258369105.10736,0.9297914505004883,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.05,0.0001,0.0,0.012155965855893772,314258369105.10736,0.9273064136505127,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.05,1e-05,0.0,0.012155965855893772,314258369105.10736,0.9277710914611816,313883168494.5585,0.014265128513420544,319118511168.45715,-0.0019940200188399704,1
walmart,outer_4,streed_s,4,5,3,0.03,0.1,0.0,0.05747778472392976,299709738572.7021,1.0816030502319336,299205050212.8748,0.06036104728299008,305220146327.9229,0.04164518601551048,2
walmart,outer_4,streed_s,4,5,3,0.03,0.01,0.0,0.05747778472392976,299709738572.7021,1.0776567459106445,299205050212.8748,0.06036104728299008,305220146327.9229,0.04164518601551048,2
walmart,outer_4,streed_s,4,5,3,0.03,0.001,0.0,0.05747778472392976,299709738572.7021,1.0856571197509766,299205050212.8748,0.06036104728299008,305220146327.9229,0.04164518601551048,2
walmart,outer_4,streed_s,4,5,3,0.03,0.0001,0.0,0.05747778472392976,299709738572.7021,1.076324701309204,299205050212.8748,0.06036104728299008,305220146327.9229,0.04164518601551048,2
walmart,outer_4,streed_s,4,5,3,0.03,1e-05,0.0,0.05747778472392976,299709738572.7021,1.0832910537719727,299205050212.8748,0.06036104728299008,305220146327.9229,0.04164518601551048,2
walmart,outer_4,streed_s,4,5,3,0.01,0.1,0.0,0.1141415667679141,281839688518.6036,1.2813844680786133,283832741054.377,0.10863703884214393,286223520460.93024,0.10129232290383039,5
walmart,outer_4,streed_s,4,5,3,0.01,0.01,0.0,0.1141415667679141,281839688518.6036,1.2905607223510742,283832741054.377,0.10863703884214393,286223520460.93024,0.10129232290383039,5
walmart,outer_4,streed_s,4,5,3,0.01,0.001,0.0,0.1141415667679141,281839688518.6036,1.2834477424621582,283832741054.377,0.10863703884214393,286223520460.93024,0.10129232290383039,5
walmart,outer_4,streed_s,4,5,3,0.01,0.0001,0.0,0.1141415667679141,281839688518.6036,1.2952673435211182,283832741054.377,0.10863703884214393,286223520460.93024,0.10129232290383039,5
walmart,outer_4,streed_s,4,5,3,0.01,1e-05,0.0,0.1141415667679141,281839688518.6036,1.2901511192321777,283832741054.377,0.10863703884214393,286223520460.93024,0.10129232290383039,5
walmart,outer_4,streed_s,4,5,3,0.008,0.1,0.0,0.12240159959084351,279140400348.7561,1.2958436012268066,273495232832.12985,0.14110148218207064,278197012145.5813,0.12649460059108641,9
walmart,outer_4,streed_s,4,5,3,0.008,0.01,0.0,0.12240159959084351,279140400348.7561,1.3296103477478027,273495232832.12985,0.14110148218207064,278197012145.5813,0.12649460059108641,9
walmart,outer_4,streed_s,4,5,3,0.008,0.001,0.0,0.12240159959084351,279140400348.7561,1.3047184944152832,273495232832.12985,0.14110148218207064,278197012145.5813,0.12649460059108641,9
walmart,outer_4,streed_s,4,5,3,0.008,0.0001,0.0,0.12240159959084351,279140400348.7561,1.2975988388061523,273495232832.12985,0.14110148218207064,278197012145.5813,0.12649460059108641,9
walmart,outer_4,streed_s,4,5,3,0.008,1e-05,0.0,0.12240159959084351,279140400348.7561,1.2994472980499268,273495232832.12985,0.14110148218207064,278197012145.5813,0.12649460059108641,9
