dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
airfoil,outer_0,streed_s,4,1202.0,3,0.1,0.1,0.0,0.5045796130683579,22.97552507677676,599.6201822757721,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.1,0.01,0.0,0.5045796130683579,22.97552507677676,599.3687002658844,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.1,0.001,0.0,0.5045796130683579,22.97552507677676,599.3524973392487,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.1,0.0001,0.0,0.5045796130683579,22.97552507677676,599.69557762146,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.1,1e-05,0.0,0.5045796130683579,22.97552507677676,599.9858181476593,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.08,0.1,0.0,0.5045796130683579,22.97552507677676,599.7948594093323,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.08,0.01,0.0,0.5045796130683579,22.97552507677676,599.4235780239105,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.08,0.001,0.0,0.5045796130683579,22.97552507677676,599.3698358535767,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.08,0.0001,0.0,0.5045796130683579,22.97552507677676,599.0400333404541,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.08,1e-05,0.0,0.5045796130683579,22.97552507677676,599.6608753204346,22.818591067499217,0.5094165520522089,27.559638767383657,0.4671233534489766,3.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.05,0.1,0.0,0.5594911189093392,20.368523502408205,599.5942335128784,18.036950677026955,0.6122184131603405,21.340969864182394,0.5873638057683597,5.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.05,0.01,0.0,0.5594911189093392,20.368523502408205,599.5812945365906,18.036950677026955,0.6122184131603405,21.340969864182394,0.5873638057683597,5.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.05,0.001,0.0,0.5594911189093392,20.368523502408205,599.5781638622284,18.036950677026955,0.6122184131603405,21.340969864182394,0.5873638057683597,5.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.05,0.0001,0.0,0.5594911189093392,20.368523502408205,599.57879114151,18.036950677026955,0.6122184131603405,21.340969864182394,0.5873638057683597,5.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.05,1e-05,0.0,0.5594911189093392,20.368523502408205,599.580620765686,18.036950677026955,0.6122184131603405,21.340969864182394,0.5873638057683597,5.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.03,0.1,0.0,0.6186338842891753,17.733288408412303,599.6051676273346,14.686551412040236,0.6842496099400575,18.604366210769104,0.640277132756375,7.0,full
airfoil,outer_0,streed_s,4,1202.0,3,0.03,0.01,0.0,0.6186338842891753,17.733288408412303,599.6243367195129,14.686551412040236,0.6842496099400575,18.604366210769104,0.640277132756375,7.0,full
