dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_1,streed_s,4,614,3,0.1,0.1,0.0,0.835653685859422,14.94621717854256,0.004929780960083008,16.979217830792575,0.8113273785252156,21.36269037562935,0.7666211824831184,1
energe_c,outer_1,streed_s,4,614,3,0.1,0.01,0.0,0.835653685859422,14.94621717854256,0.004868745803833008,16.979217830792575,0.8113273785252156,21.36269037562935,0.7666211824831184,1
energe_c,outer_1,streed_s,4,614,3,0.1,0.001,0.0,0.835653685859422,14.94621717854256,0.005029439926147461,16.979217830792575,0.8113273785252156,21.36269037562935,0.7666211824831184,1
energe_c,outer_1,streed_s,4,614,3,0.1,0.0001,0.0,0.835653685859422,14.94621717854256,0.004991769790649414,16.979217830792575,0.8113273785252156,21.36269037562935,0.7666211824831184,1
energe_c,outer_1,streed_s,4,614,3,0.1,1e-05,0.0,0.835653685859422,14.94621717854256,0.005020618438720703,16.979217830792575,0.8113273785252156,21.36269037562935,0.7666211824831184,1
energe_c,outer_1,streed_s,4,614,3,0.08,0.1,0.0,0.9026370485748174,8.741352666597136,0.012678861618041992,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.08,0.01,0.0,0.9026370485748174,8.741352666597136,0.012628316879272461,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.08,0.001,0.0,0.9026370485748174,8.741352666597136,0.012768745422363281,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.08,0.0001,0.0,0.9026370485748174,8.741352666597136,0.012674808502197266,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.08,1e-05,0.0,0.9026370485748174,8.741352666597136,0.012870073318481445,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.05,0.1,0.0,0.9026370485748174,8.741352666597136,0.013813018798828125,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.05,0.01,0.0,0.9026370485748174,8.741352666597136,0.013703107833862305,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.05,0.001,0.0,0.9026370485748174,8.741352666597136,0.013849496841430664,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.05,0.0001,0.0,0.9026370485748174,8.741352666597136,0.013756990432739258,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.05,1e-05,0.0,0.9026370485748174,8.741352666597136,0.013858318328857422,8.539923034667929,0.9051046000940267,9.765595828615014,0.8933147854153262,2
energe_c,outer_1,streed_s,4,614,3,0.03,0.1,0.0,0.9234677472219927,6.867183514922568,0.4357337951660156,5.7252117695032005,0.9363815975614918,6.249688534985121,0.9317246613372464,3
energe_c,outer_1,streed_s,4,614,3,0.03,0.01,0.0,0.9234677472219927,6.867183514922568,0.43115997314453125,5.7252117695032005,0.9363815975614918,6.249688534985121,0.9317246613372464,3
energe_c,outer_1,streed_s,4,614,3,0.03,0.001,0.0,0.9234677472219927,6.867183514922568,0.438448429107666,5.7252117695032005,0.9363815975614918,6.249688534985121,0.9317246613372464,3
energe_c,outer_1,streed_s,4,614,3,0.03,0.0001,0.0,0.9234677472219927,6.867183514922568,0.43195247650146484,5.7252117695032005,0.9363815975614918,6.249688534985121,0.9317246613372464,3
energe_c,outer_1,streed_s,4,614,3,0.03,1e-05,0.0,0.9234677472219927,6.867183514922568,0.4339256286621094,5.7252117695032005,0.9363815975614918,6.249688534985121,0.9317246613372464,3
energe_c,outer_1,streed_s,4,614,3,0.01,0.1,0.0,0.943932030110514,5.032000850192074,1.3829288482666016,4.816383982245763,0.9464804680041583,5.249502780451968,0.9426512892378439,4
energe_c,outer_1,streed_s,4,614,3,0.01,0.01,0.0,0.943932030110514,5.032000850192074,1.3842835426330566,4.816383982245763,0.9464804680041583,5.249502780451968,0.9426512892378439,4
energe_c,outer_1,streed_s,4,614,3,0.01,0.001,0.0,0.943932030110514,5.032000850192074,1.3934295177459717,4.816383982245763,0.9464804680041583,5.249502780451968,0.9426512892378439,4
energe_c,outer_1,streed_s,4,614,3,0.01,0.0001,0.0,0.943932030110514,5.032000850192074,1.4063994884490967,4.816383982245763,0.9464804680041583,5.249502780451968,0.9426512892378439,4
energe_c,outer_1,streed_s,4,614,3,0.01,1e-05,0.0,0.943932030110514,5.032000850192074,1.3923306465148926,4.816383982245763,0.9464804680041583,5.249502780451968,0.9426512892378439,4
energe_c,outer_1,streed_s,4,614,3,0.008,0.1,0.0,0.9459861475860779,4.848098997511389,1.322526454925537,4.066193287117356,0.9548165672559846,4.382910988449735,0.9521184567214881,5
energe_c,outer_1,streed_s,4,614,3,0.008,0.01,0.0,0.9459861475860779,4.848098997511389,1.3288123607635498,4.066193287117356,0.9548165672559846,4.382910988449735,0.9521184567214881,5
energe_c,outer_1,streed_s,4,614,3,0.008,0.001,0.0,0.9459861475860779,4.848098997511389,1.332702398300171,4.066193287117356,0.9548165672559846,4.382910988449735,0.9521184567214881,5
energe_c,outer_1,streed_s,4,614,3,0.008,0.0001,0.0,0.9459861475860779,4.848098997511389,1.3247482776641846,4.066193287117356,0.9548165672559846,4.382910988449735,0.9521184567214881,5
energe_c,outer_1,streed_s,4,614,3,0.008,1e-05,0.0,0.9459861475860779,4.848098997511389,1.3258073329925537,4.066193287117356,0.9548165672559846,4.382910988449735,0.9521184567214881,5
energe_c,outer_1,streed_s,4,614,3,0.005,0.1,0.0,0.9538574481787739,4.170631466476639,1.6209769248962402,3.4247028710909015,0.9619447918684968,3.3394294276662135,0.9635180739267323,6
energe_c,outer_1,streed_s,4,614,3,0.005,0.01,0.0,0.9538574481787739,4.170631466476639,1.6016883850097656,3.4247028710909015,0.9619447918684968,3.3394294276662135,0.9635180739267323,6
energe_c,outer_1,streed_s,4,614,3,0.005,0.001,0.0,0.9538574481787739,4.170631466476639,1.6048991680145264,3.4247028710909015,0.9619447918684968,3.3394294276662135,0.9635180739267323,6
energe_c,outer_1,streed_s,4,614,3,0.005,0.0001,0.0,0.9538574481787739,4.170631466476639,1.6104938983917236,3.4247028710909015,0.9619447918684968,3.3394294276662135,0.9635180739267323,6
energe_c,outer_1,streed_s,4,614,3,0.005,1e-05,0.0,0.9538574481787739,4.170631466476639,1.607414722442627,3.4247028710909015,0.9619447918684968,3.3394294276662135,0.9635180739267323,6
energe_c,outer_1,streed_s,4,614,3,0.003,0.1,0.0,0.9616028171463654,3.4499985671727234,1.946643352508545,3.13952850826016,0.9651136418796616,3.7527536394536005,0.9590026728184486,7
energe_c,outer_1,streed_s,4,614,3,0.003,0.01,0.0,0.9616028171463654,3.4499985671727234,1.932823896408081,3.13952850826016,0.9651136418796616,3.7527536394536005,0.9590026728184486,7
energe_c,outer_1,streed_s,4,614,3,0.003,0.001,0.0,0.9616028171463654,3.4499985671727234,1.9508957862854004,3.13952850826016,0.9651136418796616,3.7527536394536005,0.9590026728184486,7
energe_c,outer_1,streed_s,4,614,3,0.003,0.0001,0.0,0.9616028171463654,3.4499985671727234,1.9406976699829102,3.13952850826016,0.9651136418796616,3.7527536394536005,0.9590026728184486,7
energe_c,outer_1,streed_s,4,614,3,0.003,1e-05,0.0,0.9616028171463654,3.4499985671727234,1.9565763473510742,3.13952850826016,0.9651136418796616,3.7527536394536005,0.9590026728184486,7
energe_c,outer_1,streed_s,4,614,3,0.001,0.1,0.0,0.9662161466426947,3.0284604947316187,2.67136812210083,1.918861622573161,0.9786776601733875,3.8662454437316076,0.9577628204115404,13
energe_c,outer_1,streed_s,4,614,3,0.001,0.01,0.0,0.9662161466426947,3.0284604947316187,2.7628860473632812,1.918861622573161,0.9786776601733875,3.8662454437316076,0.9577628204115404,13
energe_c,outer_1,streed_s,4,614,3,0.001,0.001,0.0,0.9662161466426947,3.0284604947316187,2.730365753173828,1.918861622573161,0.9786776601733875,3.8662454437316076,0.9577628204115404,13
energe_c,outer_1,streed_s,4,614,3,0.001,0.0001,0.0,0.9662161466426947,3.0284604947316187,2.7213804721832275,1.918861622573161,0.9786776601733875,3.8662454437316076,0.9577628204115404,13
energe_c,outer_1,streed_s,4,614,3,0.001,1e-05,0.0,0.9662161466426947,3.0284604947316187,2.6803691387176514,1.918861622573161,0.9786776601733875,3.8662454437316076,0.9577628204115404,13
energe_c,outer_1,streed_s,4,614,3,0.0005,0.1,0.0,0.9658455281111893,3.056845334199172,2.761634111404419,1.872676532416018,0.9791908676791653,3.9922674198818338,0.9563860809064529,14
