dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_0,streed_s,4,614,3,0.1,0.1,0.0,0.9178811357353952,8.48766547259231,0.006211757659912109,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.1,0.01,0.0,0.9178811357353952,8.48766547259231,0.006469011306762695,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.1,0.001,0.0,0.9178811357353952,8.48766547259231,0.006485700607299805,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.1,0.0001,0.0,0.9178811357353952,8.48766547259231,0.0064716339111328125,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.1,1e-05,0.0,0.9178811357353952,8.48766547259231,0.006451129913330078,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.08,0.1,0.0,0.9178811357353952,8.48766547259231,0.012616157531738281,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.08,0.01,0.0,0.9178811357353952,8.48766547259231,0.012617111206054688,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.08,0.001,0.0,0.9178811357353952,8.48766547259231,0.012842893600463867,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.08,0.0001,0.0,0.9178811357353952,8.48766547259231,0.012753725051879883,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.08,1e-05,0.0,0.9178811357353952,8.48766547259231,0.012669801712036133,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.05,0.1,0.0,0.9178811357353952,8.48766547259231,0.013472318649291992,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.05,0.01,0.0,0.9178811357353952,8.48766547259231,0.013782739639282227,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.05,0.001,0.0,0.9178811357353952,8.48766547259231,0.013856887817382812,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.05,0.0001,0.0,0.9178811357353952,8.48766547259231,0.013677358627319336,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.05,1e-05,0.0,0.9178811357353952,8.48766547259231,0.013808250427246094,8.37700164897419,0.9191771433978962,9.251115207210265,0.900708679339483,2
energe_h,outer_0,streed_s,4,614,3,0.03,0.1,0.0,0.9552431833834802,4.6261253424251985,0.12053442001342773,4.511042716797432,0.9564766280462258,5.2311002064267695,0.9438551097494929,3
energe_h,outer_0,streed_s,4,614,3,0.03,0.01,0.0,0.9552431833834802,4.6261253424251985,0.1195991039276123,4.511042716797432,0.9564766280462258,5.2311002064267695,0.9438551097494929,3
