dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_0,streed_s,4,1070.0,3,0.1,0.1,0.0,0.8139617747921065,27186320.76887517,3.808825492858887,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.1,0.01,0.0,0.8139617747921065,27186320.76887517,3.850540161132813,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.1,0.001,0.0,0.8139617747921065,27186320.76887517,3.88473391532898,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.1,0.0001,0.0,0.8139617747921065,27186320.76887517,3.875900030136109,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.1,1e-05,0.0,0.8139617747921065,27186320.76887517,3.866341590881348,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.08,0.1,0.0,0.8139617747921065,27186320.76887517,357.2808771133423,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.08,0.01,0.0,0.8139617747921065,27186320.76887517,372.4699456691742,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.08,0.001,0.0,0.8139617747921065,27186320.76887517,385.97298550605774,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.08,0.0001,0.0,0.8139617747921065,27186320.76887517,393.79990243911743,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.08,1e-05,0.0,0.8139617747921065,27186320.76887517,395.3859241008759,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.05,0.1,0.0,0.8139617747921065,27186320.76887517,599.7494382858276,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.05,0.01,0.0,0.8139617747921065,27186320.76887517,599.7589735984802,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
insurance,outer_0,streed_s,4,1070.0,3,0.05,0.001,0.0,0.8139617747921065,27186320.76887517,599.751787185669,26773249.689815428,0.8160883089710395,26965475.45307756,0.8204465396657672,2.0,full
