dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_2,streed_s,4,1070,3,0.1,0.1,0.0,0.8064733787638589,28231909.10788924,3.9157345294952393,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.1,0.01,0.0,0.8064733787638589,28231909.10788924,4.048285007476807,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.1,0.001,0.0,0.8064733787638589,28231909.10788924,4.220189094543457,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.1,0.0001,0.0,0.8064733787638589,28231909.10788924,4.396992921829224,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.1,1e-05,0.0,0.8064733787638589,28231909.10788924,4.421836614608765,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.08,0.1,0.0,0.8064733787638589,28231909.10788924,381.90963912010193,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.08,0.01,0.0,0.8064733787638589,28231909.10788924,407.84608244895935,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.08,0.001,0.0,0.8064733787638589,28231909.10788924,415.87896609306335,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.08,0.0001,0.0,0.8064733787638589,28231909.10788924,429.53008127212524,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.08,1e-05,0.0,0.8064733787638589,28231909.10788924,439.81353735923767,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.05,0.1,0.0,0.8190963824938441,26192528.096094847,599.785392999649,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.05,0.01,0.0,0.8190963824938441,26192528.096094847,599.7664451599121,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.05,0.001,0.0,0.8190963824938441,26192528.096094847,599.7712335586548,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.05,0.0001,0.0,0.8190963824938441,26192528.096094847,599.7624695301056,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.05,1e-05,0.0,0.8190963824938441,26192528.096094847,599.771998167038,27810397.656201534,0.8098540468955032,22826715.06400852,0.8453302692228704,2
insurance,outer_2,streed_s,4,1070,3,0.03,0.1,0.0,0.8527858751447334,21549398.106365625,599.8255922794342,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.03,0.01,0.0,0.8527858751447334,21549398.106365625,599.807126045227,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.03,0.001,0.0,0.8527858751447334,21549398.106365625,599.8106834888458,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.03,0.0001,0.0,0.8527858751447334,21549398.106365625,599.8072772026062,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.03,1e-05,0.0,0.8527858751447334,21549398.106365625,599.8076748847961,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.01,0.1,0.0,0.8527858751447334,21549398.106365625,599.7879116535187,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.01,0.01,0.0,0.8527858751447334,21549398.106365625,599.7700107097626,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.01,0.001,0.0,0.8527858751447334,21549398.106365625,599.7609643936157,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.01,0.0001,0.0,0.8527858751447334,21549398.106365625,599.7678320407867,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.01,1e-05,0.0,0.8527858751447334,21549398.106365625,599.765501499176,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.008,0.1,0.0,0.8468825602687745,22503141.646508593,599.7670633792877,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.008,0.01,0.0,0.8468825602687745,22503141.646508593,599.7727048397064,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.008,0.001,0.0,0.8468825602687745,22503141.646508593,599.7639935016632,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.008,0.0001,0.0,0.8468825602687745,22503141.646508593,599.758175611496,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.008,1e-05,0.0,0.8468825602687745,22503141.646508593,599.7603335380554,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.005,0.1,0.0,0.8451705590137628,22742896.450787533,599.7549607753754,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.005,0.01,0.0,0.8451705590137628,22742896.450787533,599.751207113266,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.005,0.001,0.0,0.8451705590137628,22742896.450787533,599.7385005950928,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
insurance,outer_2,streed_s,4,1070,3,0.005,0.0001,0.0,0.8451705590137628,22742896.450787533,599.7501277923584,20997262.69450514,0.8564369852963298,18194476.820091844,0.8767174854768547,3
