dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
optical_net,outer_0,streed_s,4,504,3,0.1,0.1,0.0,0.6898462094260722,0.0131525795708379,599.7862944602966,0.0120110745389418,0.7192042969453202,0.0218805436933453,0.400214310783892,2.0,full
optical_net,outer_0,streed_s,4,504,3,0.1,0.01,0.0,0.6898462094260722,0.0131525795708379,599.6080937385559,0.0120110745389418,0.7192042969453202,0.0218805436933453,0.400214310783892,2.0,full
optical_net,outer_0,streed_s,4,504,3,0.1,0.001,0.0,0.6898462094260722,0.0131525795708379,599.6131925582886,0.0120110745389418,0.7192042969453202,0.0218805436933453,0.400214310783892,2.0,full
optical_net,outer_0,streed_s,4,504,3,0.1,0.0001,0.0,0.6898462094260722,0.0131525795708379,599.6144981384277,0.0120110745389418,0.7192042969453202,0.0218805436933453,0.400214310783892,2.0,full
optical_net,outer_0,streed_s,4,504,3,0.1,1e-05,0.0,0.6898462094260722,0.0131525795708379,599.6140530109406,0.0120110745389418,0.7192042969453202,0.0218805436933453,0.400214310783892,2.0,full
optical_net,outer_0,streed_s,4,504,3,0.08,0.1,0.0,0.7862799303539935,0.0090760143373189,599.6258311271667,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.08,0.01,0.0,0.7862799303539935,0.0090760143373189,599.6268694400787,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.08,0.001,0.0,0.7862799303539935,0.0090760143373189,599.6304395198822,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.08,0.0001,0.0,0.7862799303539935,0.0090760143373189,599.6299164295197,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.08,1e-05,0.0,0.7862799303539935,0.0090760143373189,599.631441116333,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.05,0.1,0.0,0.7862799303539935,0.0090760143373189,599.6387536525726,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.05,0.01,0.0,0.7862799303539935,0.0090760143373189,599.6443996429443,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.05,0.001,0.0,0.7862799303539935,0.0090760143373189,599.6482479572296,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.05,0.0001,0.0,0.7862799303539935,0.0090760143373189,599.6456727981567,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.05,1e-05,0.0,0.7862799303539935,0.0090760143373189,599.6390109062195,0.0083773202465275,0.804154447571587,0.0183858209666929,0.4960110473093143,3.0,full
optical_net,outer_0,streed_s,4,504,3,0.03,0.1,0.0,0.8139120324105131,0.0079027646468662,599.6448664665222,0.006885971646522,0.8390192947824215,0.0175009065312614,0.5202681691610915,4.0,full
optical_net,outer_0,streed_s,4,504,3,0.03,0.01,0.0,0.8139120324105131,0.0079027646468662,599.6442322731018,0.006885971646522,0.8390192947824215,0.0175009065312614,0.5202681691610915,4.0,full
optical_net,outer_0,streed_s,4,504,3,0.03,0.001,0.0,0.8139120324105131,0.0079027646468662,599.6424808502197,0.006885971646522,0.8390192947824215,0.0175009065312614,0.5202681691610915,4.0,full
optical_net,outer_0,streed_s,4,504,3,0.03,0.0001,0.0,0.8139120324105131,0.0079027646468662,599.6401786804199,0.006885971646522,0.8390192947824215,0.0175009065312614,0.5202681691610915,4.0,full
optical_net,outer_0,streed_s,4,504,3,0.03,1e-05,0.0,0.8139120324105131,0.0079027646468662,599.6405229568481,0.006885971646522,0.8390192947824215,0.0175009065312614,0.5202681691610915,4.0,full
optical_net,outer_0,streed_s,4,504,3,0.01,0.1,0.0,0.8458887601364937,0.0065446588328037,599.6443314552307,0.0043212489286468,0.8989775538350309,0.0127751618758318,0.6498094664405659,8.0,full
optical_net,outer_0,streed_s,4,504,3,0.01,0.01,0.0,0.8458887601364937,0.0065446588328037,599.6510467529297,0.0043212489286468,0.8989775538350309,0.0127751618758318,0.6498094664405659,8.0,full
optical_net,outer_0,streed_s,4,504,3,0.01,0.001,0.0,0.8458887601364937,0.0065446588328037,599.6473336219788,0.0043212489286468,0.8989775538350309,0.0127751618758318,0.6498094664405659,8.0,full
