dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_2,streed_s,4,504,3,0.1,0.1,0.0,0.6648708813387669,0.01380487430880882,599.7745106220245,0.013948653971791385,0.6700806591478679,0.012276036503869915,0.6789479648155352,2
optical_net,outer_2,streed_s,4,504,3,0.1,0.01,0.0,0.6648708813387669,0.01380487430880882,599.6032016277313,0.013948653971791385,0.6700806591478679,0.012276036503869915,0.6789479648155352,2
optical_net,outer_2,streed_s,4,504,3,0.1,0.001,0.0,0.6648708813387669,0.01380487430880882,599.6163549423218,0.013948653971791385,0.6700806591478679,0.012276036503869915,0.6789479648155352,2
optical_net,outer_2,streed_s,4,504,3,0.1,0.0001,0.0,0.6648708813387669,0.01380487430880882,599.6176555156708,0.013948653971791385,0.6700806591478679,0.012276036503869915,0.6789479648155352,2
optical_net,outer_2,streed_s,4,504,3,0.1,1e-05,0.0,0.6648708813387669,0.01380487430880882,599.610114812851,0.013948653971791385,0.6700806591478679,0.012276036503869915,0.6789479648155352,2
optical_net,outer_2,streed_s,4,504,3,0.08,0.1,0.0,0.7135411065152953,0.011861127637688517,599.6133432388306,0.010126756923415105,0.7604777510504263,0.010113380583302608,0.7355073506142811,3
optical_net,outer_2,streed_s,4,504,3,0.08,0.01,0.0,0.7135411065152953,0.011861127637688517,599.6339576244354,0.010126756923415105,0.7604777510504263,0.010113380583302608,0.7355073506142811,3
optical_net,outer_2,streed_s,4,504,3,0.08,0.001,0.0,0.7135411065152953,0.011861127637688517,599.633917093277,0.010126756923415105,0.7604777510504263,0.010113380583302608,0.7355073506142811,3
optical_net,outer_2,streed_s,4,504,3,0.08,0.0001,0.0,0.7135411065152953,0.011861127637688517,599.6252927780151,0.010126756923415105,0.7604777510504263,0.010113380583302608,0.7355073506142811,3
optical_net,outer_2,streed_s,4,504,3,0.08,1e-05,0.0,0.7135411065152953,0.011861127637688517,599.621200799942,0.010126756923415105,0.7604777510504263,0.010113380583302608,0.7355073506142811,3
optical_net,outer_2,streed_s,4,504,3,0.05,0.1,0.0,0.7923805351702807,0.008607381138351312,599.6332724094391,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.05,0.01,0.0,0.7923805351702807,0.008607381138351312,599.6357247829437,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.05,0.001,0.0,0.7923805351702807,0.008607381138351312,599.6309826374054,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.05,0.0001,0.0,0.7923805351702807,0.008607381138351312,599.6309041976929,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.05,1e-05,0.0,0.7923805351702807,0.008607381138351312,599.6351578235626,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.03,0.1,0.0,0.7923805351702807,0.008607381138351312,599.6364378929138,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.03,0.01,0.0,0.7923805351702807,0.008607381138351312,599.6226897239685,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.03,0.001,0.0,0.7923805351702807,0.008607381138351312,599.6275486946106,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.03,0.0001,0.0,0.7923805351702807,0.008607381138351312,599.6333110332489,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.03,1e-05,0.0,0.7923805351702807,0.008607381138351312,599.6339952945709,0.007423871568727723,0.8244075149129977,0.009225505086959797,0.7587277308242467,4
optical_net,outer_2,streed_s,4,504,3,0.01,0.1,0.0,0.8390214558606831,0.006707421073165674,599.6328406333923,0.004426612653513302,0.8952999241497953,0.006129660092823367,0.8396925712000318,8
optical_net,outer_2,streed_s,4,504,3,0.01,0.01,0.0,0.8390214558606831,0.006707421073165674,599.635856628418,0.004411259017716939,0.8956630747026633,0.00615653418576092,0.8389897399377902,8
optical_net,outer_2,streed_s,4,504,3,0.01,0.001,0.0,0.8390214558606831,0.006707421073165674,599.6453537940979,0.004411259017716939,0.8956630747026633,0.00615653418576092,0.8389897399377902,8
optical_net,outer_2,streed_s,4,504,3,0.01,0.0001,0.0,0.8390214558606831,0.006707421073165674,599.6428821086884,0.004411259017716939,0.8956630747026633,0.00615653418576092,0.8389897399377902,8
optical_net,outer_2,streed_s,4,504,3,0.01,1e-05,0.0,0.8390214558606831,0.006707421073165674,599.6371366977692,0.004411259017716939,0.8956630747026633,0.00615653418576092,0.8389897399377902,8
