dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_3,streed_s,4,331,3,0.1,0.1,0.0,0.28076096688009167,137.92457217092078,599.8217318058014,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.1,0.01,0.0,0.28076096688009167,137.92457217092078,599.6815252304077,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.1,0.001,0.0,0.28076096688009167,137.92457217092078,599.6847267150879,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.1,0.0001,0.0,0.28076096688009167,137.92457217092078,599.6824119091034,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.1,1e-05,0.0,0.28076096688009167,137.92457217092078,599.6849482059479,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.08,0.1,0.0,0.28076096688009167,137.92457217092078,599.7328131198883,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.08,0.01,0.0,0.28076096688009167,137.92457217092078,599.7125954627991,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.08,0.001,0.0,0.28076096688009167,137.92457217092078,599.7264838218689,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.08,0.0001,0.0,0.28076096688009167,137.92457217092078,599.7239582538605,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.08,1e-05,0.0,0.28076096688009167,137.92457217092078,599.7211697101593,77.87930575272038,0.6047986311331612,69.49456841836387,0.4771444972051624,2
real_estate,outer_3,streed_s,4,331,3,0.05,0.1,0.0,0.2722347524858076,139.5013817471325,599.7261388301849,52.51047259696132,0.7335336974361916,70.4913941431044,0.46964469071135995,4
real_estate,outer_3,streed_s,4,331,3,0.05,0.01,0.0,0.2722347524858076,139.5013817471325,599.7470636367798,52.51047259696132,0.7335336974361916,70.4913941431044,0.46964469071135995,4
real_estate,outer_3,streed_s,4,331,3,0.05,0.001,0.0,0.2722347524858076,139.5013817471325,599.7397558689117,52.51047259696132,0.7335336974361916,70.4913941431044,0.46964469071135995,4
real_estate,outer_3,streed_s,4,331,3,0.05,0.0001,0.0,0.2722347524858076,139.5013817471325,599.7406241893768,52.51047259696132,0.7335336974361916,70.4913941431044,0.46964469071135995,4
real_estate,outer_3,streed_s,4,331,3,0.05,1e-05,0.0,0.2722347524858076,139.5013817471325,599.7473788261414,52.51047259696132,0.7335336974361916,70.4913941431044,0.46964469071135995,4
