dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_1,streed_s,4,133,3,0.1,0.1,0.0,0.597863759915172,0.9880435136955307,0.0019268989562988281,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.1,0.01,0.0,0.597863759915172,0.9880435136955307,0.0019328594207763672,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.1,0.001,0.0,0.597863759915172,0.9880435136955307,0.0019490718841552734,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.1,0.0001,0.0,0.597863759915172,0.9880435136955307,0.0019614696502685547,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.1,1e-05,0.0,0.597863759915172,0.9880435136955307,0.0019459724426269531,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.08,0.1,0.0,0.597863759915172,0.9880435136955307,0.0020275115966796875,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.08,0.01,0.0,0.597863759915172,0.9880435136955307,0.0020148754119873047,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.08,0.001,0.0,0.597863759915172,0.9880435136955307,0.001996755599975586,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.08,0.0001,0.0,0.597863759915172,0.9880435136955307,0.002007007598876953,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.08,1e-05,0.0,0.597863759915172,0.9880435136955307,0.0020046234130859375,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.05,0.1,0.0,0.597863759915172,0.9880435136955307,0.0020630359649658203,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.05,0.01,0.0,0.597863759915172,0.9880435136955307,0.0020732879638671875,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.05,0.001,0.0,0.597863759915172,0.9880435136955307,0.002081155776977539,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.05,0.0001,0.0,0.597863759915172,0.9880435136955307,0.002068042755126953,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.05,1e-05,0.0,0.597863759915172,0.9880435136955307,0.0021042823791503906,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.03,0.1,0.0,0.597863759915172,0.9880435136955307,0.0023393630981445312,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.03,0.01,0.0,0.597863759915172,0.9880435136955307,0.002321481704711914,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.03,0.001,0.0,0.597863759915172,0.9880435136955307,0.0023260116577148438,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.03,0.0001,0.0,0.597863759915172,0.9880435136955307,0.002321958541870117,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.03,1e-05,0.0,0.597863759915172,0.9880435136955307,0.0023832321166992188,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.01,0.1,0.0,0.597863759915172,0.9880435136955307,0.0023729801177978516,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.01,0.01,0.0,0.597863759915172,0.9880435136955307,0.0023779869079589844,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.01,0.001,0.0,0.597863759915172,0.9880435136955307,0.002386331558227539,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.01,0.0001,0.0,0.597863759915172,0.9880435136955307,0.002370119094848633,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.01,1e-05,0.0,0.597863759915172,0.9880435136955307,0.00238037109375,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
servo,outer_1,streed_s,4,133,3,0.008,0.1,0.0,0.597863759915172,0.9880435136955307,0.002320528030395508,0.8935771874070536,0.6575099716094066,1.3814929480738494,0.14716285046888788,2
