dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_1,streed_s,4,445,3,0.1,0.1,0.0,1.0,7.995297582811003e-30,0.030874967575073242,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.1,0.01,0.0,1.0,7.995297582811003e-30,0.030933856964111328,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.1,0.001,0.0,1.0,7.995297582811003e-30,0.03057408332824707,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.1,0.0001,0.0,1.0,7.995297582811003e-30,0.030842304229736328,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.1,1e-05,0.0,1.0,7.995297582811003e-30,0.030650854110717773,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.08,0.1,0.0,1.0,7.995297582811003e-30,0.03069901466369629,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.08,0.01,0.0,1.0,7.995297582811003e-30,0.03130364418029785,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.08,0.001,0.0,1.0,7.995297582811003e-30,0.03145003318786621,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.08,0.0001,0.0,1.0,7.995297582811003e-30,0.030875444412231445,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.08,1e-05,0.0,1.0,7.995297582811003e-30,0.031052112579345703,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.05,0.1,0.0,1.0,7.995297582811003e-30,0.031046390533447266,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
synch,outer_1,streed_s,4,445,3,0.05,0.01,0.0,1.0,7.995297582811003e-30,0.03101372718811035,8.69630511949399e-31,1.0,1.1348679763726386e-30,1.0,1
