dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_0,streed_s,4,246,3,0.1,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031824111938476562,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.1,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031185150146484375,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.1,0.001,0.0,0.9776832384092818,4.905345381910516,0.003078460693359375,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.1,0.0001,0.0,0.9776832384092818,4.905345381910516,0.0030944347381591797,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.1,1e-05,0.0,0.9776832384092818,4.905345381910516,0.003099203109741211,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.08,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031261444091796875,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.08,0.01,0.0,0.9776832384092818,4.905345381910516,0.003139019012451172,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.08,0.001,0.0,0.9776832384092818,4.905345381910516,0.0031440258026123047,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.08,0.0001,0.0,0.9776832384092818,4.905345381910516,0.00313568115234375,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.08,1e-05,0.0,0.9776832384092818,4.905345381910516,0.003139495849609375,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.05,0.1,0.0,0.9776832384092818,4.905345381910516,0.003105640411376953,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
yacht,outer_0,streed_s,4,246,3,0.05,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031583309173583984,4.646365956182109,0.9802264278292859,3.528940022203487,0.9828238132362199,2
