dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
yacht,outer_0,streed_s,4,246.0,3,0.1,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031824111938476,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.1,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031185150146484,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.1,0.001,0.0,0.9776832384092818,4.905345381910516,0.0030784606933593,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.1,0.0001,0.0,0.9776832384092818,4.905345381910516,0.0030944347381591,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.1,1e-05,0.0,0.9776832384092818,4.905345381910516,0.0030992031097412,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.08,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031261444091796,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.08,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031390190124511,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.08,0.001,0.0,0.9776832384092818,4.905345381910516,0.0031440258026123,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.08,0.0001,0.0,0.9776832384092818,4.905345381910516,0.0031356811523437,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.08,1e-05,0.0,0.9776832384092818,4.905345381910516,0.0031394958496093,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.05,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031056404113769,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.05,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031583309173583,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.05,0.001,0.0,0.9776832384092818,4.905345381910516,0.0031580924987792,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.05,0.0001,0.0,0.9776832384092818,4.905345381910516,0.0031511783599853,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.05,1e-05,0.0,0.9776832384092818,4.905345381910516,0.0031638145446777,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.03,0.1,0.0,0.9776832384092818,4.905345381910516,0.0031695365905761,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.03,0.01,0.0,0.9776832384092818,4.905345381910516,0.0031664371490478,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.03,0.001,0.0,0.9776832384092818,4.905345381910516,0.003173828125,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.03,0.0001,0.0,0.9776832384092818,4.905345381910516,0.0031588077545166,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.03,1e-05,0.0,0.9776832384092818,4.905345381910516,0.0031657218933105,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.01,0.1,0.0,0.9791238980000708,4.4691633087254345,0.0204880237579345,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.01,0.01,0.0,0.9791238980000708,4.4691633087254345,0.0204088687896728,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.01,0.001,0.0,0.9791238980000708,4.4691633087254345,0.0204768180847167,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.01,0.0001,0.0,0.9791238980000708,4.4691633087254345,0.0204992294311523,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.01,1e-05,0.0,0.9791238980000708,4.4691633087254345,0.0205388069152832,4.646365956182109,0.980226427829286,3.528940022203487,0.98282381323622,2.0,full
yacht,outer_0,streed_s,4,246.0,3,0.008,0.1,0.0,0.9826683908516024,3.822061966555775,0.3987245559692383,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.008,0.01,0.0,0.9826683908516024,3.822061966555775,0.4008002281188965,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.008,0.001,0.0,0.9826683908516024,3.822061966555775,0.4033827781677246,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.008,0.0001,0.0,0.9826683908516024,3.822061966555775,0.401594877243042,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.008,1e-05,0.0,0.9826683908516024,3.822061966555775,0.4051897525787353,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.005,0.1,0.0,0.987658451043692,2.781441199058994,2.66057562828064,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
yacht,outer_0,streed_s,4,246.0,3,0.005,0.01,0.0,0.987658451043692,2.781441199058994,2.6659719944000244,2.459586771754675,0.9895327193337592,3.182237303190329,0.9845112974710928,3.0,full
