dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
airfoil,claritree,4,0.0001,1e-05,3,20,quantile,0.0,0.872650266542073,6.049841795380011,0.9278984201812349,0.8809793866783044,3.427499577150244,5.664580309842729,4412.504390259429,0.686193323135376,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0001,0.0001,3,20,quantile,0.0,0.8608441351561043,6.607875744022114,0.9166069304275448,0.8738207074843338,3.9657780637631888,5.994321264292965,5348.0238415455215,0.6950460910797119,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0001,0.001,3,20,quantile,0.0,0.8493009918803118,7.151591519019088,0.8964483873754988,0.8561930169803509,4.923560566540507,6.834664548961965,6975.063181652296,0.6933244228363037,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0001,0.01,3,20,quantile,0.0,0.8077078304708705,9.120822322981354,0.8591400466760843,0.8262015387616405,6.6989976856887266,8.282070650338817,10371.483272042637,0.6693590641021728,14.6,mean,5,,,,,,,,20
airfoil,claritree,4,0.0001,0.1,3,20,quantile,0.0,0.6895278932357407,14.710379337560761,0.7635518967395433,0.711819531527208,11.248453258662375,13.670615572626133,16831.81451216847,0.7045989513397217,14.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.0005,1e-05,3,20,quantile,0.0,0.867525889646964,6.3007913419312915,0.9278984201812349,0.8809793866783044,3.427499577150244,5.664580309842729,4778.4872619329735,0.6876709461212158,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0005,0.0001,3,20,quantile,0.0,0.8608253560423689,6.608834226696786,0.9166069304275448,0.8738207074843338,3.9657780637631888,5.994321264292965,5714.006713219065,0.6955382347106933,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0005,0.001,3,20,quantile,0.0,0.8525943753389782,6.993973946823017,0.8964483873754988,0.8561930169803509,4.923560566540507,6.834664548961965,7341.04605332584,0.6939484596252441,16.0,mean,5,,,,,,,,20
airfoil,claritree,4,0.0005,0.01,3,20,quantile,0.0,0.8072431804126163,9.142318918546817,0.8588293082688236,0.826138668667209,6.7138126639506295,8.285030651225966,10712.613076132631,0.6692379951477051,14.4,mean,5,,,,,,,,20
airfoil,claritree,4,0.0005,0.1,3,20,quantile,0.0,0.6912999481586953,14.614078865789944,0.7633813053556608,0.7106453627076099,11.256559877402967,13.726368195912887,17157.722574384177,0.7045745849609375,14.0,mean,5,,,,,,,,20
