dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_1,claritree,5,0.1,3,20,20,quantile,1,0.3172740725123124,32.39907931047813,54605.39331359022,0.16742634773254395,31.17425261965251,0.34390838287011716,30.289779481383526,0.36514028538349863,3
airfoil,outer_1,claritree,5,0.08,3,20,20,quantile,1,0.3172740725123124,32.39907931047813,51178.60498063662,0.17622780799865723,31.17425261965251,0.34390838287011716,30.289779481383526,0.36514028538349863,3
airfoil,outer_1,claritree,5,0.05,3,20,20,quantile,1,0.3776436547001418,29.579787860586645,45151.05709314895,0.17500877380371094,25.684502805747886,0.4594453574685896,26.587944809385217,0.44272902137501513,5
airfoil,outer_1,claritree,5,0.03,3,20,20,quantile,1,0.4413985518020878,26.442028367405147,39439.74320489296,0.18425798416137695,25.684502805747886,0.4594453574685896,26.587944809385217,0.44272902137501513,5
airfoil,outer_1,claritree,5,0.01,3,20,20,quantile,1,0.5825035185731439,19.786117075032273,28513.42240545065,0.20461177825927734,17.069536573953716,0.6407554660218889,18.899983350136072,0.6038651240990828,14
airfoil,outer_1,claritree,5,0.008,3,20,20,quantile,1,0.5900580581657263,19.444645451161033,26198.261695743313,0.19553613662719727,14.573265046251528,0.6932918601862494,17.18883019427829,0.6397300997705193,19
airfoil,outer_1,claritree,5,0.005,3,20,20,quantile,1,0.6717339784596562,15.560677581985061,22376.168107684956,0.18007588386535645,12.438818679660713,0.7382133017816368,17.205684310009392,0.6393768453300326,26
airfoil,outer_1,claritree,5,0.003,3,20,20,quantile,1,0.6589791563490185,16.203759573540605,18184.207426730514,0.1798570156097412,10.851934215723917,0.7716107854950469,15.576134037675445,0.6735314624504052,30
airfoil,outer_1,claritree,5,0.001,3,20,20,quantile,1,0.6818639894851403,15.088384700812242,14611.10338184661,0.18057990074157715,10.635177152749336,0.7761726427978156,15.438138328195167,0.6764237884507577,32
airfoil,outer_1,claritree,5,0.0005,3,20,20,quantile,1,0.6820260600198709,15.08271247570979,13697.293159725648,0.1806473731994629,10.635177152749336,0.7761726427978156,15.438138328195167,0.6764237884507577,32
airfoil,outer_1,claritree,5,0.0001,3,20,20,quantile,1,0.6820260600198709,15.08271247570979,12966.244982028882,0.18095183372497559,10.635177152749336,0.7761726427978156,15.438138328195167,0.6764237884507577,32
