dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_1,claritree,5,0.1,3,20,20,quantile,1,0.8620763229403021,15412240.199373221,97496639670.27777,0.08545827865600586,15233330.31137462,0.8628682203191919,17684577.776211593,0.8104600757308853,4
auction,outer_1,claritree,5,0.08,3,20,20,quantile,1,0.8620763229403021,15412240.199373221,82975564081.97943,0.08611369132995605,15233330.31137462,0.8628682203191919,17684577.776211593,0.8104600757308853,4
auction,outer_1,claritree,5,0.05,3,20,20,quantile,1,0.8620763229403021,15412240.199373221,61193950699.53191,0.08960270881652832,15233330.31137462,0.8628682203191919,17684577.776211593,0.8104600757308853,4
auction,outer_1,claritree,5,0.03,3,20,20,quantile,1,0.8620763229403021,15412240.199373221,46672875111.233574,0.09713101387023926,15233330.31137462,0.8628682203191919,17684577.776211593,0.8104600757308853,4
auction,outer_1,claritree,5,0.01,3,20,20,quantile,1,0.8847788140035333,12902708.180510871,31647128392.776627,0.12130284309387207,11591913.86353465,0.8956485715519356,15158600.854412409,0.8375330135483419,7
auction,outer_1,claritree,5,0.008,3,20,20,quantile,1,0.8979222137540916,11432670.085565478,28994811358.463562,0.1285390853881836,10635220.861581922,0.9042608061246995,14521478.073922193,0.8443615737261643,8
auction,outer_1,claritree,5,0.005,3,20,20,quantile,1,0.910165460961102,10156064.63010898,24589855025.082127,0.12962913513183594,9494603.905994875,0.9145287403095811,14366987.758263068,0.8460173713991928,10
auction,outer_1,claritree,5,0.003,3,20,20,quantile,1,0.9242000334824811,8523639.48684431,18070408554.141426,0.1380624771118164,6393417.301275766,0.9424458949655047,12728423.964519521,0.8635791849356196,14
auction,outer_1,claritree,5,0.001,3,20,20,quantile,1,0.9284645194625977,8035370.725234598,12946256069.191883,0.13996076583862305,6256765.236466199,0.9436760488754742,12597284.665595878,0.8649847108747306,15
auction,outer_1,claritree,5,0.0005,3,20,20,quantile,1,0.929980346161155,7867670.492608088,11302914805.231722,0.14470911026000977,5806475.126495833,0.9477296000616383,12077548.40062809,0.8705551448171467,20
auction,outer_1,claritree,5,0.0001,3,20,20,quantile,1,0.9280650317802165,8086219.429567183,9786359663.903307,0.15878987312316895,5733707.919669183,0.9483846568595001,12030889.249433799,0.871055228680937,23
