dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_3,claritree,5,0.1,3,20,20,quantile,1,0.4434093719821779,7326309030.418836,184047562017649.75,16.893260955810547,7309182485.339776,0.4448180995512915,7415346622.419047,0.46843720467725714,3
california_housing,outer_3,claritree,5,0.08,3,20,20,quantile,1,0.4434093719821779,7326309030.418836,171134690831689.2,17.83761215209961,7309182485.339776,0.4448180995512915,7415346622.419047,0.46843720467725714,3
california_housing,outer_3,claritree,5,0.05,3,20,20,quantile,1,0.495363816596615,6641910578.722064,150694577908643.22,20.926440477371216,6585408573.771644,0.49979362882909306,6540494377.561536,0.5311502413632118,4
california_housing,outer_3,claritree,5,0.03,3,20,20,quantile,1,0.5055622178144156,6508263746.734263,133411931325484.47,21.74827766418457,6186441142.753265,0.5300979066350159,6253349524.989454,0.551733975107267,5
california_housing,outer_3,claritree,5,0.01,3,20,20,quantile,1,0.5787268489155966,5544270080.009875,107477721061247.56,23.5605525970459,5521536641.583868,0.5806019055865439,5721372161.147718,0.5898683185130359,8
california_housing,outer_3,claritree,5,0.008,3,20,20,quantile,1,0.5887254414498366,5412928119.033357,103497194862911.88,23.59960699081421,5067388570.708981,0.6150975266192857,5277133254.355787,0.6217132054899315,12
california_housing,outer_3,claritree,5,0.005,3,20,20,quantile,1,0.6070725083052221,5173068403.745091,97405551706529.12,23.75680947303772,5168696428.737315,0.607402508843581,5481985086.743257,0.6070285766795055,12
california_housing,outer_3,claritree,5,0.003,3,20,20,quantile,1,0.6282175665371195,4893474143.873543,89747050891543.84,23.069072246551514,4700200630.426582,0.642987936923955,5008100405.220596,0.640998595722073,20
california_housing,outer_3,claritree,5,0.001,3,20,20,quantile,1,0.6475749708044847,4639366100.088725,82512755709137.5,23.230480909347534,4639451006.08013,0.6476022822305411,5070834915.589954,0.6365015258758273,31
california_housing,outer_3,claritree,5,0.0005,3,20,20,quantile,1,0.6477222939408935,4637388119.361947,79077325172293.25,23.259323358535767,4626775118.127969,0.6485651017493135,5045539690.35471,0.6383147925131162,32
california_housing,outer_3,claritree,5,0.0001,3,20,20,quantile,1,0.646502856360931,4653531060.9173,76322579319288.34,22.976810216903687,4626775118.127969,0.6485651017493135,5045539690.35471,0.6383147925131162,32
