dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_3,claritree,5,0.1,3,20,20,quantile,1,0.7601390168881396,35407587.63905538,84440342653.19939,0.12294745445251465,34552697.69036391,0.7659550670845613,37849660.463339746,0.733551690494753,3
insurance,outer_3,claritree,5,0.08,3,20,20,quantile,1,0.7601390168881396,35407587.63905538,74953461967.8354,0.13019371032714844,34552697.69036391,0.7659550670845613,37849660.463339746,0.733551690494753,3
insurance,outer_3,claritree,5,0.05,3,20,20,quantile,1,0.8308694135390103,25000393.75812404,57490184823.20122,0.1724987030029297,24152426.89572498,0.8364019740741854,34150797.42768302,0.7595903865062209,4
insurance,outer_3,claritree,5,0.03,3,20,20,quantile,1,0.8308694135390103,25000393.75812404,44841010576.04924,0.2081131935119629,24152426.89572498,0.8364019740741854,34150797.42768302,0.7595903865062209,4
insurance,outer_3,claritree,5,0.01,3,20,20,quantile,1,0.8360596941704784,24254757.74474794,32012887470.338516,0.25552964210510254,22509013.60025085,0.8475337403385268,33440889.466755886,0.7645878890935047,5
insurance,outer_3,claritree,5,0.008,3,20,20,quantile,1,0.8310811576971151,24944584.556886807,30431740689.44452,0.25948214530944824,22509013.60025085,0.8475337403385268,33440889.466755886,0.7645878890935047,5
insurance,outer_3,claritree,5,0.005,3,20,20,quantile,1,0.8384727084535403,23871806.669179033,27401136491.282524,0.26897120475769043,20417481.56690347,0.8617008678613018,31639986.170171883,0.7772656154742209,7
insurance,outer_3,claritree,5,0.003,3,20,20,quantile,1,0.8357217208993516,24317462.304464858,25028643162.984722,0.2704603672027588,19826228.65437834,0.8657057577106577,31408264.165280387,0.7788968569628547,8
insurance,outer_3,claritree,5,0.001,3,20,20,quantile,1,0.8050010308749785,28686149.211666882,20819183629.530777,0.283566951751709,15895827.596064758,0.8923285835249302,33295995.564316846,0.7656078912517774,24
insurance,outer_3,claritree,5,0.0005,3,20,20,quantile,1,0.7880076989760884,31207813.07912734,18654312456.678013,0.28408265113830566,15129351.023615638,0.8975203621694711,32251914.200286716,0.7729578571702621,31
insurance,outer_3,claritree,5,0.0001,3,20,20,quantile,1,0.7817081487351244,32117576.314727306,16663228917.16006,0.28536057472229004,15086145.609032696,0.8978130168399765,32234867.854055732,0.7730778574577385,32
