dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_2,claritree,5,0.1,3,20,20,quantile,1,0.4922812806248981,96.11564068510823,43558.80159136613,0.06434369087219238,94.72376337147489,0.48622761750344323,105.4581679302625,0.4123265730560721,2
real_estate,outer_2,claritree,5,0.08,3,20,20,quantile,1,0.5461682082628118,86.71511401357374,40602.69248961884,0.07366609573364258,78.41815526020949,0.5746676332841376,111.14357770876033,0.3806442073021006,3
real_estate,outer_2,claritree,5,0.05,3,20,20,quantile,1,0.19707959477594816,143.43280911162614,34813.443803641014,0.0897676944732666,68.30274286475274,0.6295326359125493,78.82294267370696,0.5607533323213608,4
real_estate,outer_2,claritree,5,0.03,3,20,20,quantile,1,0.22491542745755175,138.03303477758496,29931.349437477867,0.10033702850341797,68.30274286475274,0.6295326359125493,78.82294267370696,0.5607533323213608,4
real_estate,outer_2,claritree,5,0.01,3,20,20,quantile,1,0.11570991537499194,157.77642588104322,18778.177204122767,0.12140393257141113,34.607358473951756,0.8122930890599628,76.0095069988628,0.5764314103400812,12
real_estate,outer_2,claritree,5,0.008,3,20,20,quantile,1,0.24260515757950077,138.88234282810402,17254.57315517438,0.12285113334655762,31.479278074156905,0.8292594897015926,65.64379527380825,0.6341951042457439,14
real_estate,outer_2,claritree,5,0.005,3,20,20,quantile,1,0.1977820770362898,144.71740495927736,14058.718121187372,0.12874317169189453,24.03655638514656,0.8696280806266145,73.47363485632964,0.5905627450820197,20
real_estate,outer_2,claritree,5,0.003,3,20,20,quantile,1,0.3153387375131244,123.3763852915285,11567.63649083645,0.12921500205993652,21.119858074195154,0.8854479655942809,68.98497149775729,0.6155761530531711,25
real_estate,outer_2,claritree,5,0.001,3,20,20,quantile,1,0.33840906920500124,122.63201981646539,7896.240995830261,0.13197779655456543,17.95590105548357,0.9026089574907418,72.5291517068576,0.5958259471652199,32
real_estate,outer_2,claritree,5,0.0005,3,20,20,quantile,1,0.34854922310590536,121.03479905205593,6960.145018160409,0.1336674690246582,18.0777224922291,0.9019482099911892,64.30142361195882,0.64167556944094,32
real_estate,outer_2,claritree,5,0.0001,3,20,20,quantile,1,0.2989058260858301,130.16501586284275,6170.369296113484,0.132828950881958,18.051617889628403,0.9020897987899755,61.54090691156753,0.6570587525674255,32
