dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_1,claritree,5,0.1,3,20,20,quantile,1,0.41429159808965715,247237.8776002749,2628109884.256547,3.0331790447235107,248379.47445368159,0.41159132087041617,244355.46468621367,0.37363420457248775,3
seoul_bike,outer_1,claritree,5,0.08,3,20,20,quantile,1,0.48879951376878356,215781.4792960992,2436780360.3688593,3.6143853664398193,212635.47344906695,0.4962685288570766,217334.00120790795,0.4428993650097175,4
seoul_bike,outer_1,claritree,5,0.05,3,20,20,quantile,1,0.5443628059963862,192334.16943177267,2063065498.966005,3.683104991912842,188857.0290470073,0.5525994438537638,197166.79927754932,0.4945947322276254,5
seoul_bike,outer_1,claritree,5,0.03,3,20,20,quantile,1,0.584828693285143,175242.22118046493,1747768602.013143,4.238552570343018,173414.48139869637,0.5891826964921889,179168.8196304765,0.540729648228802,6
seoul_bike,outer_1,claritree,5,0.01,3,20,20,quantile,1,0.6152476456959439,162407.81963263618,1345847414.386223,4.6235973834991455,154053.5753710253,0.6350485039126743,164951.13280570082,0.5771743937088172,9
seoul_bike,outer_1,claritree,5,0.008,3,20,20,quantile,1,0.6196014439646548,160569.89489610234,1292599422.7491295,4.6838624477386475,154053.5753710253,0.6350485039126743,164951.13280570082,0.5771743937088172,9
seoul_bike,outer_1,claritree,5,0.005,3,20,20,quantile,1,0.6614558373328386,142888.00990750783,1183677938.8230274,4.651978254318237,139355.36754989345,0.6698684223806841,143554.08285048782,0.6320222778443725,14
seoul_bike,outer_1,claritree,5,0.003,3,20,20,quantile,1,0.658832886319917,144005.07526721837,1100847729.609771,4.733545780181885,139355.36754989345,0.6698684223806841,143554.08285048782,0.6320222778443725,14
seoul_bike,outer_1,claritree,5,0.001,3,20,20,quantile,1,0.6715423393094548,138639.51734538,973954791.2915978,4.620872974395752,127158.18808196318,0.698763427797767,138663.50306169066,0.6445584898069137,28
seoul_bike,outer_1,claritree,5,0.0005,3,20,20,quantile,1,0.667025116788137,140548.2575965315,932035057.8587809,4.73996901512146,126875.12020168391,0.6994340129896613,137582.9771027038,0.6473282437088779,29
seoul_bike,outer_1,claritree,5,0.0001,3,20,20,quantile,1,0.6669334558828526,140586.8562636581,896594618.1380513,4.751197338104248,126587.9435664579,0.7001143317840459,137244.17134114273,0.6481967175963275,32
