dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_1,claritree,5,0.1,3,20,20,quantile,1,0.5750753299367107,1.064165903472435,203.51130853856347,0.00033783912658691406,1.0083481246844095,0.6135205970813944,0.9331542797444228,0.4239357956046189,2
servo,outer_1,claritree,5,0.08,3,20,20,quantile,1,0.5750753299367107,1.064165903472435,189.6311069474561,0.0003237724304199219,1.0083481246844095,0.6135205970813944,0.9331542797444228,0.4239357956046189,2
servo,outer_1,claritree,5,0.05,3,20,20,quantile,1,0.5780925639081621,1.055806687900602,168.81080456079502,0.00033354759216308594,1.0083481246844095,0.6135205970813944,0.9331542797444228,0.4239357956046189,2
servo,outer_1,claritree,5,0.03,3,20,20,quantile,1,0.5780925639081621,1.055806687900602,150.4566426548093,0.00032401084899902344,0.8964375118407341,0.6564136672158933,1.3870669239472306,0.1437218675076375,3
servo,outer_1,claritree,5,0.01,3,20,20,quantile,1,0.5968931694493672,0.9903910037867943,129.63634026814822,0.0005908012390136719,0.8964375118407341,0.6564136672158933,1.3870669239472306,0.1437218675076375,3
servo,outer_1,claritree,5,0.008,3,20,20,quantile,1,0.5968931694493672,0.9903910037867943,127.55431002948211,0.0006060600280761719,0.8964375118407341,0.6564136672158933,1.3870669239472306,0.1437218675076375,3
servo,outer_1,claritree,5,0.005,3,20,20,quantile,1,0.5968931694493672,0.9903910037867943,124.43126467148295,0.0006933212280273438,0.8964375118407341,0.6564136672158933,1.3870669239472306,0.1437218675076375,3
servo,outer_1,claritree,5,0.003,3,20,20,quantile,1,0.5983672891292157,0.9867568722615393,122.31684595777708,0.0007252693176269531,0.8805396267752781,0.66250700440506,1.3558662387751785,0.16298298892172103,5
servo,outer_1,claritree,5,0.001,3,20,20,quantile,1,0.6034271205176139,0.9741638371489718,118.84679556000023,0.0008485317230224609,0.8805396267752781,0.66250700440506,1.3558662387751785,0.16298298892172103,5
servo,outer_1,claritree,5,0.0005,3,20,20,quantile,1,0.6016863623324183,0.9793302194645549,117.97928296055602,0.0008656978607177734,0.8805396267752781,0.66250700440506,1.3558662387751785,0.16298298892172103,5
servo,outer_1,claritree,5,0.0001,3,20,20,quantile,1,0.6014603695439279,0.9797393359484494,117.28527288100067,0.0008614063262939453,0.8805396267752781,0.66250700440506,1.3558662387751785,0.16298298892172103,5
