dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_2,claritree,5,0.1,3,20,20,quantile,1,0.8721159761875216,0.0040785204600575125,6.151274937089961,0.024622201919555664,0.003976992434706728,0.8784426787275277,0.0038268954828284993,0.8776007814270916,3
synch,outer_2,claritree,5,0.08,3,20,20,quantile,1,0.8721159761875216,0.0040785204600575125,5.275767674847808,0.0269320011138916,0.003976992434706728,0.8784426787275277,0.0038268954828284993,0.8776007814270916,3
synch,outer_2,claritree,5,0.05,3,20,20,quantile,1,0.8976120251696754,0.0031727913663925737,3.9625067814845796,0.029581308364868164,0.003976992434706728,0.8784426787275277,0.0038268954828284993,0.8776007814270916,3
synch,outer_2,claritree,5,0.03,3,20,20,quantile,1,0.9194806535482009,0.0025688560839405,2.7971267756695815,0.035593509674072266,0.0023455431640925675,0.9283081502826452,0.0027477481285021863,0.912116172162805,4
synch,outer_2,claritree,5,0.01,3,20,20,quantile,1,0.9619106265122589,0.001208622381034066,1.3686789691960803,0.05187106132507324,0.0011057661590895605,0.9662021051185155,0.001266035436872374,0.9595071909190853,6
synch,outer_2,claritree,5,0.008,3,20,20,quantile,1,0.9679311685256143,0.0010297122694421029,1.19357751674765,0.05357003211975098,0.0011057661590895605,0.9662021051185155,0.001266035436872374,0.9595071909190853,6
synch,outer_2,claritree,5,0.005,3,20,20,quantile,1,0.9769828928042311,0.0007330447779990815,0.8838852660752312,0.062455177307128906,0.0008367100816905822,0.9744258411646994,0.0009398806659051792,0.9699389075100763,7
synch,outer_2,claritree,5,0.003,3,20,20,quantile,1,0.9825635352205847,0.0005459934678728689,0.6346462638603594,0.08285927772521973,0.0005396143404739257,0.9835066133956427,0.0005392928840082656,0.982751285505254,9
synch,outer_2,claritree,5,0.001,3,20,20,quantile,1,0.9900631533661506,0.00031638868145687093,0.31288666234363083,0.07828259468078613,0.00027621843540626503,0.9915573454952938,0.00030209036854954123,0.9903379579571019,13
synch,outer_2,claritree,5,0.0005,3,20,20,quantile,1,0.9935476713916088,0.0002085359602476153,0.20916872513221252,0.08124804496765137,0.00020725207062771955,0.9936653119292301,0.00019819365562838418,0.9936609848155319,16
synch,outer_2,claritree,5,0.0001,3,20,20,quantile,1,0.9952809982014884,0.00015226493236065663,0.08187810611884595,0.08561563491821289,9.851896432377308e-05,0.9969887542925087,0.00010498317589705013,0.996642223768389,26
