dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_min,outer_2,claritree,5,0.1,3,20,20,quantile,1,0.6472022488796566,2.1896285121076358,24422.97614777065,15.970196962356567,2.1600102287121943,0.6520263980329899,2.293684457972754,0.6228269054883944,3
temperature_min,outer_2,claritree,5,0.08,3,20,20,quantile,1,0.6472022488796566,2.1896285121076358,22161.49733996432,17.894774436950684,2.1600102287121943,0.6520263980329899,2.293684457972754,0.6228269054883944,3
temperature_min,outer_2,claritree,5,0.05,3,20,20,quantile,1,0.6816321233642283,1.9759440924151759,18548.08462859805,19.64642095565796,1.8132117812766666,0.7078949783325634,1.943648095407653,0.6803868272995026,4
temperature_min,outer_2,claritree,5,0.03,3,20,20,quantile,1,0.705711591853695,1.8264890162916962,15532.779551522948,24.47757840156555,1.8132117812766666,0.7078949783325634,1.943648095407653,0.6803868272995026,4
temperature_min,outer_2,claritree,5,0.01,3,20,20,quantile,1,0.7534493010026951,1.5303459526513254,11531.56000669561,27.533819437026978,1.5266932145736691,0.7540525827553485,1.6607739233518155,0.7269026095645171,6
temperature_min,outer_2,claritree,5,0.008,3,20,20,quantile,1,0.7555501785191098,1.5170038507100865,11054.856293158398,27.831836462020874,1.4233551105896816,0.770700157746319,1.55919688102924,0.7436059216748515,8
temperature_min,outer_2,claritree,5,0.005,3,20,20,quantile,1,0.7709224951279429,1.421321156582657,10117.153237427985,27.8607976436615,1.3558279914785654,0.7815786501512183,1.5341852296720622,0.747718833504742,10
temperature_min,outer_2,claritree,5,0.003,3,20,20,quantile,1,0.783038317483458,1.3463383305846424,9215.627593254982,28.161304473876953,1.275636753653342,0.7944973083600143,1.4410718721123996,0.7630303786865862,13
temperature_min,outer_2,claritree,5,0.001,3,20,20,quantile,1,0.798353405994105,1.2515729233012223,7904.667332599529,27.68673086166382,1.1466377628480064,0.8152788041529321,1.382215470545955,0.7727087156668411,25
temperature_min,outer_2,claritree,5,0.0005,3,20,20,quantile,1,0.7991686109651844,1.2467884007272179,7259.212076994771,27.314910173416138,1.0962040615251867,0.8234035789695278,1.274710696720547,0.7903867829692359,32
temperature_min,outer_2,claritree,5,0.0001,3,20,20,quantile,1,0.8016683349218918,1.2316299108911484,6776.763264662756,27.286792039871216,1.0962040615251867,0.8234035789695278,1.274710696720547,0.7903867829692359,32
