dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_2,claritree,5,0.1,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1808670151124686.0,1.0624229907989502,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,claritree,5,0.08,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1775785239286055.5,1.1235921382904053,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,claritree,5,0.05,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1726457871528109.5,1.163764476776123,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,claritree,5,0.03,3,20,20,quantile,1,0.004322565447072398,317880374608.5324,1693572959689478.8,1.1821978092193604,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,claritree,5,0.01,3,20,20,quantile,1,0.0881212808636442,290928826362.0435,1581775453469969.2,1.2086608409881592,284902537302.7905,0.10799319199522661,278519172175.3371,0.11502305303539195,7
walmart,outer_2,claritree,5,0.008,3,20,20,quantile,1,0.09969906470030883,287226570722.94684,1562909272787234.5,1.2178840637207031,283154148194.1757,0.11346725692525672,273562526918.5945,0.1307724779393883,8
walmart,outer_2,claritree,5,0.005,3,20,20,quantile,1,0.12123702396134983,280314792851.1578,1506379986627923.2,1.21842360496521,265466027838.72263,0.1688473315544392,262514126709.0652,0.16587806657770676,17
walmart,outer_2,claritree,5,0.003,3,20,20,quantile,1,0.14073926273166296,273940779063.01456,1436664314381532.2,1.21766996383667,257992250449.505,0.1922471242548076,258438007939.03088,0.17882967459950283,22
walmart,outer_2,claritree,5,0.001,3,20,20,quantile,1,0.1397569665745002,274360908472.0275,1343643098427151.8,1.186115026473999,250782292052.32016,0.2148209210226648,254352318736.61694,0.1918116920612032,32
walmart,outer_2,claritree,5,0.0005,3,20,20,quantile,1,0.14295226508463624,273289362351.70737,1316826302599489.5,1.1581242084503174,250683444663.67288,0.21513040420404184,250169972362.50583,0.20510083153552006,32
walmart,outer_2,claritree,5,0.0001,3,20,20,quantile,1,0.14100912221894538,273901284673.4685,1295779959022766.0,1.1614830493927002,250683444663.67288,0.21513040420404184,250169972362.50583,0.20510083153552006,32
